"village_ID","household.CNT","HOUSEMEMBER_CNT","MOF_REG_CNT","MOF_VAL_CNT","ELDERLY_CNT","DISABLED_CNT","CHRONICPATIENT_CNT","happiness","indicator1.ALL","indicator2.ALL","indicator3.ALL","indicator4.ALL","indicator5.ALL","indicator6.ALL","indicator7.ALL","indicator8.ALL","indicator9.ALL","indicator10.ALL","indicator11.ALL","indicator12.ALL","indicator13.ALL","indicator14.ALL","indicator15.ALL","indicator16.ALL","indicator17.ALL","indicator18.ALL","indicator19.ALL","indicator20.ALL","indicator21.ALL","indicator22.ALL","indicator23.ALL","indicator24.ALL","indicator25.ALL","indicator26.ALL","indicator27.ALL","indicator28.ALL","indicator29.ALL","indicator30.ALL","indicator31.ALL","indicator1.CNT","indicator2.CNT","indicator3.CNT","indicator4.CNT","indicator5.CNT","indicator6.CNT","indicator7.CNT","indicator8.CNT","indicator9.CNT","indicator10.CNT","indicator11.CNT","indicator12.CNT","indicator13.CNT","indicator14.CNT","indicator15.CNT","indicator16.CNT","indicator17.CNT","indicator18.CNT","indicator19.CNT","indicator20.CNT","indicator21.CNT","indicator22.CNT","indicator23.CNT","indicator24.CNT","indicator25.CNT","indicator26.CNT","indicator27.CNT","indicator28.CNT","indicator29.CNT","indicator30.CNT","indicator31.CNT","province_ID"
"9101020101",787,1519,424,382,192,13,1,8.12452350698856,0,0,389,1519,1519,1334,1508,1519,1519,1519,1519,1519,1519,1519,130,392,19,0,1420,1416,360,1519,1514,1519,1519,1519,360,42,3,1519,1519,0,0,0,54,1,189,9,0,0,0,5,0,1,0,0,47,2,0,25,9,70,0,6,133,426,5,0,0,0,0,0,"91"
"9101020201",481,997,158,118,180,1,0,9.004158004158,0,0,206,997,997,943,974,997,997,997,997,997,997,997,53,220,9,0,928,910,327,997,996,997,997,997,327,3,0,997,997,0,0,0,3,0,8,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,890,32,79,0,0,0,0,0,0,"91"
"9101020301",505,1078,377,344,142,20,0,7.17029702970297,20,20,406,1078,1078,911,1046,1078,1078,1078,1078,1078,1078,1078,107,374,0,0,1003,993,244,1078,1078,1078,1078,1078,246,47,0,1078,1078,0,0,0,1,0,0,6,1039,0,0,5,0,0,0,0,101,0,0,0,0,55,0,0,52,243,28,0,0,0,296,0,"91"
"9101020401",1351,3081,498,423,505,1,1,8.13323464100666,0,0,820,3081,3081,2790,3079,3081,3081,3081,3081,3081,3081,3081,330,811,130,0,2881,2875,1046,3078,3080,3080,3080,3080,1046,2,2,3080,3077,0,0,6,4,3,2636,8,3,0,0,2,1,5,0,0,113,0,0,4,69,520,0,8,489,916,0,3,0,0,0,4,"91"
"9101020501",391,830,216,166,143,1,0,8.90281329923274,12,12,332,830,830,722,821,830,830,830,830,830,830,830,97,293,17,0,729,729,223,830,821,830,830,830,223,3,0,830,830,0,0,0,1,0,0,0,1,0,0,1,0,0,3,0,53,0,0,0,0,0,0,0,181,349,0,0,0,0,0,2,"91"
"9101020601",832,1888,275,216,247,5,0,8.80408653846154,0,0,540,1888,1888,1523,1884,1888,1888,1888,1888,1888,1888,1888,173,514,23,0,1765,1755,502,1888,1888,1888,1888,1888,505,17,0,1888,1888,0,0,0,0,0,87,3,1,0,0,2,0,0,0,0,114,0,0,9,13,89,0,998,239,264,3,0,3,0,0,0,"91"
"9101020701",762,1938,427,341,386,0,0,8.53018372703412,0,0,565,1938,1938,1874,1925,1938,1938,1938,1938,1938,1938,1938,149,514,9,0,1798,1783,909,1938,1938,1938,1938,1938,909,0,0,1938,1938,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,1585,0,21,0,0,0,0,0,0,"91"
"9101030101",327,1100,288,245,113,6,2,8,0,0,560,1100,1100,1062,1100,1100,1100,1100,1100,1100,1100,1100,218,502,0,0,1072,1071,366,1100,1100,1100,1100,1100,370,23,3,1100,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,"91"
"9101030201",186,770,181,145,103,7,12,7.99462365591398,60,60,448,770,770,744,770,770,770,770,770,770,770,770,157,398,0,0,758,754,421,770,770,770,770,770,421,36,55,770,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,"91"
"9101030301",350,1229,317,281,127,6,3,7.99714285714286,0,0,642,1229,1229,1173,1229,1229,1229,1229,1229,1229,1229,1229,223,629,0,0,1199,1197,458,1229,1229,1229,1229,1229,461,23,17,1229,1229,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,44,6,0,0,0,0,0,"91"
"9101030401",475,1493,422,371,191,9,10,7.98736842105263,6,6,666,1493,1493,1422,1493,1493,1493,1493,1493,1493,1493,1493,237,659,0,0,1435,1425,521,1493,1493,1493,1493,1493,521,38,45,1493,1493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,65,0,0,0,0,0,0,"91"
"9101030501",208,726,230,209,92,8,7,8.42307692307692,0,0,346,726,726,698,713,726,726,726,726,726,726,726,98,322,46,0,712,706,316,726,726,726,726,726,316,28,17,726,726,0,0,0,0,0,120,0,0,0,0,0,0,0,3,0,72,0,0,19,72,120,0,219,134,412,0,0,0,0,0,0,"91"
"9101030601",164,744,297,267,70,18,4,7.96341463414634,63,63,501,744,744,703,744,744,744,744,744,744,744,744,148,473,0,0,736,736,288,744,742,744,744,744,292,89,13,744,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,7,0,0,0,0,0,3,0,0,0,0,0,1,"91"
