"tumbol_ID","poor.household.CNT","poor.JPT.CNT","poor.JPT.MOFreg.CNT","poor.JPT.MOFval.CNT","poor.JPT.MOFval.health","poor.JPT.MOFval.living","poor.JPT.MOFval.education","poor.JPT.MOFval.income","poor.JPT.MOFval.accessibility","JPT.MOFval.pov.rate","poor.JPT.MOFval.ind1.CNT","poor.JPT.MOFval.ind2.CNT","poor.JPT.MOFval.ind3.CNT","poor.JPT.MOFval.ind4.CNT","poor.JPT.MOFval.ind5.CNT","poor.JPT.MOFval.ind6.CNT","poor.JPT.MOFval.ind7.CNT","poor.JPT.MOFval.ind8.CNT","poor.JPT.MOFval.ind9.CNT","poor.JPT.MOFval.ind10.CNT","poor.JPT.MOFval.ind11.CNT","poor.JPT.MOFval.ind12.CNT","poor.JPT.MOFval.ind13.CNT","poor.JPT.MOFval.ind14.CNT","poor.JPT.MOFval.ind15.CNT","poor.JPT.MOFval.ind16.CNT","poor.JPT.MOFval.ind17.CNT","poor.JPT.MOFval.ind18.CNT","poor.JPT.MOFval.ind19.CNT","poor.JPT.MOFval.ind20.CNT","poor.JPT.MOFval.ind21.CNT","poor.JPT.MOFval.ind22.CNT","poor.JPT.MOFval.ind23.CNT","poor.JPT.MOFval.ind24.CNT","poor.JPT.MOFval.ind25.CNT","poor.JPT.MOFval.ind26.CNT","poor.JPT.MOFval.ind27.CNT","poor.JPT.MOFval.ind28.CNT","poor.JPT.MOFval.ind29.CNT","poor.JPT.MOFval.ind30.CNT","poor.JPT.MOFval.ind31.CNT","province_ID"
"110110",189,686,86,66,0,0,22,44,0,0.545454545454546,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,22,0,0,0,4,40,0,6,2,3,0,0,0,0,0,0,"11"
"110111",249,1385,143,125,0,0,55,78,0,1.55067609477732,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,55,0,0,0,2,76,0,0,7,18,0,0,0,0,0,0,"11"
"110113",175,514,95,81,0,0,3,78,0,2.02905811623247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,77,1,0,4,2,0,0,0,0,0,0,"11"
"110115",217,780,76,61,0,0,22,39,0,0.418697233852701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,5,33,1,0,1,1,0,0,0,0,0,0,"11"
"110117",131,352,15,11,0,0,9,2,0,0.0648355534598609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,"11"
"110151",151,335,28,26,0,0,12,14,0,0.177075529523939,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,12,0,0,0,2,11,1,8,1,0,2,0,0,0,0,1,"11"
"110152",392,1242,198,156,0,0,2,155,0,1.16661681124738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,13,144,0,25,18,17,0,0,0,0,3,0,"11"
"110153",219,612,63,47,0,0,21,27,0,0.196045716192542,0,0,0,0,2,0,2,0,0,0,2,0,2,0,0,15,0,0,6,1,27,0,16,0,4,2,0,0,0,6,2,"11"
"110154",815,2849,437,367,0,0,57,323,0,1.65166516651665,0,0,0,8,4,81,29,0,1,0,98,8,3,0,0,53,0,0,4,45,288,1,222,20,13,1,2,0,0,25,2,"11"
"110155",757,811,203,156,0,0,0,156,0,0.433682688832671,0,0,0,0,0,72,46,0,0,0,0,0,0,1,0,0,0,0,0,1,155,0,84,1,3,1,0,0,0,7,70,"11"
"110156",101,378,26,23,0,0,23,0,0,0.226155358898722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"11"
"110157",242,742,61,43,0,0,15,28,0,0.28282031044462,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,2,26,0,2,8,7,0,0,0,0,0,0,"11"
"110201",41,42,5,3,0,0,0,3,0,0.0297560007934934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,"11"
"110202",14,73,12,10,0,0,10,0,0,0.280112044817927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,"11"
"110203",34,156,22,20,0,0,17,3,0,0.421674045962471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,"11"
"110204",48,154,25,19,0,0,15,4,0,0.192249317009005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,"11"
"110205",103,515,83,79,0,0,40,42,0,0.718704512372635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,4,9,32,0,19,18,0,0,0,0,0,0,"11"
"110206",19,124,7,4,0,0,4,0,0,0.148312940304042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11"
"110207",36,130,23,18,0,0,9,9,0,0.858778625954199,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,8,1,17,0,0,0,0,0,0,0,0,"11"
"110208",5,30,2,1,0,0,1,1,0,0.0408663669799755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,"11"
"110251",12,42,5,5,0,0,3,2,0,0.178954903364352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,"11"
"110252",461,2007,324,289,0,0,10,282,0,4.3205262371057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,36,261,0,1,39,82,0,0,0,0,0,0,"11"
"110301",857,2960,231,182,0,0,121,62,0,0.376235167652045,0,0,0,2,1,10,4,1,1,0,8,31,5,0,1,120,0,0,1,27,52,0,49,7,6,5,2,0,0,2,4,"11"
"110302",207,788,76,61,0,0,38,28,0,0.265911072362685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,4,24,0,13,16,17,0,2,0,0,0,0,"11"
"110303",151,541,35,33,0,0,17,17,0,0.219050779953535,0,0,0,2,0,0,2,0,0,0,2,0,10,0,0,17,0,0,0,3,14,0,16,6,8,0,0,0,0,6,0,"11"
"110304",98,357,49,43,0,0,31,14,0,0.248641147218689,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,31,0,0,0,4,12,0,3,3,2,0,0,0,0,0,0,"11"
"110308",503,2067,258,215,0,0,66,152,0,1.27377214289946,0,0,0,0,0,0,5,0,0,0,2,4,0,0,0,66,0,0,0,66,99,0,51,4,5,0,0,0,0,0,0,"11"
"110309",101,459,53,45,0,0,10,37,0,2.20913107511046,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,10,0,0,1,14,26,0,7,25,11,3,0,0,0,1,0,"11"
"110351",151,654,72,68,0,0,31,38,0,1.50709219858156,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,31,0,0,0,3,35,0,35,3,13,0,0,0,0,0,0,"11"
"110408",43,157,22,18,0,0,2,16,0,0.495594713656388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,15,0,0,0,2,2,0,0,0,0,0,"11"
"110409",28,78,16,13,0,0,2,11,0,0.596603946764571,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,11,0,10,0,0,0,0,0,0,0,0,"11"
"110410",9,46,3,3,0,0,3,0,0,0.124843945068664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,"11"
"110411",120,531,65,52,0,0,18,34,0,2.50723240115718,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,17,0,0,1,14,27,0,9,9,5,0,0,0,0,0,0,"11"
"110412",108,361,59,46,0,0,4,45,0,1.2568306010929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,45,0,0,7,7,0,0,0,0,0,0,"11"
"110413",64,329,57,51,0,0,50,1,0,1.10103626943005,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,50,0,0,0,0,1,0,0,9,16,0,0,0,0,0,0,"11"
"110451",154,424,65,58,0,0,6,57,0,2.04153467089053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,13,46,0,0,7,7,0,0,0,0,0,0,"11"
"110452",141,420,102,84,0,0,2,82,0,0.752485890889546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,79,0,1,23,23,0,0,0,0,0,0,"11"
"110453",1079,3216,615,487,0,0,78,451,0,3.00728664937631,0,2,0,2,3,44,41,25,0,0,41,57,55,1,3,44,4,0,32,176,362,0,278,105,116,27,0,2,0,82,49,"11"
"110501",191,718,165,140,0,0,25,120,0,2.39849237622066,0,0,0,2,59,2,0,0,0,0,4,0,0,0,1,23,0,0,1,32,88,2,83,34,36,0,0,0,0,0,2,"11"
"110502",369,1283,122,101,0,0,15,90,0,0.812354218611759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,41,58,0,17,2,0,0,0,0,0,0,0,"11"
"110503",24,91,16,15,0,0,4,11,0,0.605326876513317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,9,0,5,0,0,0,0,0,0,0,0,"11"
