"amphur_ID","household.CNT","HOUSEMEMBER_CNT","MOF_REG_CNT","MOF_VAL_CNT","ELDERLY_CNT","DISABLED_CNT","CHRONICPATIENT_CNT","happiness","indicator1.ALL","indicator2.ALL","indicator3.ALL","indicator4.ALL","indicator5.ALL","indicator6.ALL","indicator7.ALL","indicator8.ALL","indicator9.ALL","indicator10.ALL","indicator11.ALL","indicator12.ALL","indicator13.ALL","indicator14.ALL","indicator15.ALL","indicator16.ALL","indicator17.ALL","indicator18.ALL","indicator19.ALL","indicator20.ALL","indicator21.ALL","indicator22.ALL","indicator23.ALL","indicator24.ALL","indicator25.ALL","indicator26.ALL","indicator27.ALL","indicator28.ALL","indicator29.ALL","indicator30.ALL","indicator31.ALL","indicator1.CNT","indicator2.CNT","indicator3.CNT","indicator4.CNT","indicator5.CNT","indicator6.CNT","indicator7.CNT","indicator8.CNT","indicator9.CNT","indicator10.CNT","indicator11.CNT","indicator12.CNT","indicator13.CNT","indicator14.CNT","indicator15.CNT","indicator16.CNT","indicator17.CNT","indicator18.CNT","indicator19.CNT","indicator20.CNT","indicator21.CNT","indicator22.CNT","indicator23.CNT","indicator24.CNT","indicator25.CNT","indicator26.CNT","indicator27.CNT","indicator28.CNT","indicator29.CNT","indicator30.CNT","indicator31.CNT","province_ID"
4701,40622,112256,35862,27935,19171,1276,1688,8.4555659494855,2114,1615,44149,112256,112256,108240,111282,112255,112255,112255,112254,112255,112255,112255,13746,40444,1257,91,105466,104575,48504,112237,112074,112246,112245,112244,48671,4522,5425,112243,112244,0,7,2,393,1098,941,342,107,40,21,1115,797,399,22,13,4216,21,0,106,550,744,0,6984,23448,25464,195,38,14,0,16,81,"47"
4702,9520,28682,11864,9221,3720,279,267,8.17436974789916,197,149,13484,28682,28682,27637,28579,28682,28682,28682,28682,28682,28682,28682,4314,12524,609,0,27368,27127,10423,28672,28675,28682,28682,28682,10463,975,900,28682,28682,0,0,0,4,11,0,6,1,0,0,20,20,10,2,0,389,34,0,152,0,0,717,50,6730,7594,2,2,1,0,0,7,"47"
4703,7058,21642,10107,9499,4016,298,462,8.51331822045905,329,257,9386,21642,21642,21152,21358,21642,21642,21642,21635,21642,21642,21642,2565,8569,186,19,20202,19993,9816,21642,21593,21642,21642,21642,9865,949,1400,21642,21642,0,0,0,5943,670,4303,82,33,0,0,6107,106,271,15,0,156,10,0,0,242,210,65,4300,6035,8148,345,0,0,0,13,174,"47"
4704,19182,57390,22710,18416,10311,816,1304,9.05025544781566,795,669,24995,57390,57390,56297,57147,57390,57390,57390,57390,57390,57390,57390,7995,23048,608,4,53495,52706,26646,57370,57328,57389,57389,57388,26757,2807,3928,57389,57390,0,0,0,110,106,16,301,22,5,0,74,121,43,50,6,4964,5,0,51,249,323,0,651,8130,11739,19,3,7,0,3,196,"47"
4705,12259,37377,10935,8568,6169,334,577,8.77877477771433,532,391,16340,37377,37377,36465,36536,37377,37377,37377,37377,37377,37377,37377,5268,14856,580,37,35360,34963,17265,37341,37287,37377,37377,37377,17322,1256,1889,37377,37377,17,15,18,0,42,185,12,0,0,0,37,4,24,12,0,410,26,0,109,0,66,0,0,3030,3297,0,1,0,0,0,4,"47"
4706,10336,31425,11699,8837,6742,494,468,8.62229102167183,671,534,13519,31425,31425,30938,31168,31425,31425,31425,31425,31425,31425,31425,4241,12189,142,0,28854,28494,16565,31425,31375,31420,31417,31417,16659,1637,1482,31408,31413,0,2,6,26,44,29,34,1,7,6,59,377,71,23,0,2784,0,0,53,45,49,0,0,5868,8571,0,8,2,9,0,18,"47"
4707,3131,9944,4439,3570,1835,189,141,8.72245289045034,165,137,4809,9944,9944,9761,9910,9944,9944,9944,9944,9944,9944,9944,1641,4602,223,0,9254,9111,4709,9857,9939,9939,9939,9939,4721,642,471,9939,9939,0,0,0,0,0,0,9,0,0,2,27,0,7,8,0,958,10,0,27,29,436,8,33,1445,2099,0,0,0,0,0,0,"47"
4708,27705,92079,28345,22487,12739,1372,794,8.41162245082115,787,766,42955,92079,92079,90095,91937,92079,92079,92079,92079,92079,92079,92079,13366,40281,2536,5,88771,88017,39187,92023,92005,92079,92079,92079,39356,5392,2814,92079,92079,0,0,0,467,7,21,138,4,3,9,42,3,20,14,0,8776,0,0,7,15,12,0,434,11954,12041,0,0,0,0,0,11,"47"
4709,7800,23404,10031,8341,3911,287,379,8.32782051282051,262,183,10057,23404,23404,22913,23255,23404,23404,23404,23404,23404,23404,23404,3263,9025,308,9,22117,21898,10655,23401,23380,23404,23404,23404,10697,1059,1263,23404,23404,0,0,0,101,105,63,116,0,0,4,191,12,17,8,5,1374,19,0,59,83,119,56,16,4978,4764,95,5,2,0,3,15,"47"
4710,13161,34174,15492,12326,6322,138,145,8.41341843324975,54,54,12573,34174,34174,33489,34132,34174,34174,34174,34174,34174,34174,34174,3869,12040,304,22,31582,31360,14996,34174,34158,34174,34174,34174,15024,509,506,34174,34174,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,126,0,0,0,0,0,25,371,12719,5111,0,0,0,0,0,0,"47"
