"tumbol_ID","household.CNT","HOUSEMEMBER_CNT","MOF_REG_CNT","MOF_VAL_CNT","ELDERLY_CNT","DISABLED_CNT","CHRONICPATIENT_CNT","happiness","indicator1.ALL","indicator2.ALL","indicator3.ALL","indicator4.ALL","indicator5.ALL","indicator6.ALL","indicator7.ALL","indicator8.ALL","indicator9.ALL","indicator10.ALL","indicator11.ALL","indicator12.ALL","indicator13.ALL","indicator14.ALL","indicator15.ALL","indicator16.ALL","indicator17.ALL","indicator18.ALL","indicator19.ALL","indicator20.ALL","indicator21.ALL","indicator22.ALL","indicator23.ALL","indicator24.ALL","indicator25.ALL","indicator26.ALL","indicator27.ALL","indicator28.ALL","indicator29.ALL","indicator30.ALL","indicator31.ALL","indicator1.CNT","indicator2.CNT","indicator3.CNT","indicator4.CNT","indicator5.CNT","indicator6.CNT","indicator7.CNT","indicator8.CNT","indicator9.CNT","indicator10.CNT","indicator11.CNT","indicator12.CNT","indicator13.CNT","indicator14.CNT","indicator15.CNT","indicator16.CNT","indicator17.CNT","indicator18.CNT","indicator19.CNT","indicator20.CNT","indicator21.CNT","indicator22.CNT","indicator23.CNT","indicator24.CNT","indicator25.CNT","indicator26.CNT","indicator27.CNT","indicator28.CNT","indicator29.CNT","indicator30.CNT","indicator31.CNT","province_ID"
"620119",4034,11736,2743,2319,1669,81,156,8.75979176995538,27,27,5053,11736,11736,11171,11629,11736,11736,11736,11736,11736,11736,11736,1715,4663,147,26,11226,11112,4742,11736,11724,11736,11736,11735,4762,293,483,11736,11736,0,5,0,340,57,352,50,19,5,1,579,413,70,10,6,751,16,0,148,261,181,0,2662,2609,2750,43,0,0,0,0,26,"62"
"620151",2757,7702,1149,957,1495,40,80,7.71744649981864,24,24,2641,7702,7702,7416,7541,7702,7702,7702,7702,7702,7702,7702,813,2578,154,5,7212,7109,3860,7702,7694,7702,7702,7701,3868,151,242,7702,7700,0,0,12,323,265,2873,40,7,0,0,454,110,254,12,37,133,0,0,21,229,1019,0,51,1653,1401,228,81,0,0,58,78,"62"
"620153",816,2397,700,585,481,56,115,6.99877450980392,0,0,862,2397,2397,2351,2394,2397,2397,2397,2397,2397,2397,2397,241,850,0,11,2249,2209,1272,2397,2382,2382,2382,2382,1290,194,331,2382,2382,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,96,0,0,0,0,0,0,0,421,332,0,15,0,0,0,0,"62"
"620154",1569,3471,838,726,956,98,190,8.33460803059273,51,31,999,3471,3471,3349,3436,3471,3471,3471,3471,3471,3471,3471,316,941,4,28,3012,2985,1922,3471,3468,3471,3471,3471,1930,292,488,3471,3471,0,0,0,0,6,523,0,0,0,0,0,0,2,0,0,87,0,0,0,42,205,0,8,620,477,0,0,0,0,0,0,"62"
"620155",808,2320,566,471,492,50,243,7.92079207920792,8,19,823,2320,2320,2249,2246,2320,2320,2320,2320,2320,2320,2320,265,800,33,7,2148,2113,1253,2320,2320,2320,2320,2320,1255,151,640,2320,2320,0,0,0,8,2,633,2,5,0,0,4,7,11,0,19,52,0,0,64,88,222,0,260,225,216,0,22,0,0,0,7,"62"
"620201",1939,5353,1405,1234,1158,108,85,7.88602372356885,68,54,2399,5353,5353,5157,5326,5353,5353,5353,5353,5353,5353,5353,771,2109,38,0,4777,4681,2497,5353,5351,5353,5353,5353,2513,331,228,5353,5353,0,0,0,8,46,770,39,0,0,0,19,0,9,0,0,0,3,0,48,15,77,25,674,1803,1634,4,0,0,0,0,72,"62"
"620202",1079,3431,973,829,598,25,6,8.18535681186284,147,130,1546,3431,3431,3299,3415,3431,3431,3431,3431,3431,3431,3431,486,1375,7,27,3270,3228,1565,3431,3425,3431,3431,3431,1568,91,11,3431,3431,0,0,0,0,0,668,9,0,0,0,2,0,0,0,0,0,3,0,5,50,36,17,817,1687,1482,665,0,0,0,0,0,"62"
"620203",1517,4771,1452,1287,892,153,61,8.14634146341463,127,92,2393,4771,4771,4600,4695,4771,4771,4771,4771,4771,4771,4771,739,2043,49,0,4379,4336,2194,4771,4762,4771,4771,4771,2208,430,179,4771,4771,0,0,0,452,161,1844,16,4,0,0,497,456,313,0,0,0,21,0,25,150,286,7,1777,2381,1940,12,0,0,0,0,7,"62"
"620204",1398,4139,1296,1184,908,118,569,7.6480686695279,82,46,2089,4139,4139,3992,4064,4139,4139,4139,4139,4139,4139,4139,627,1893,29,0,3714,3621,2046,4139,4130,4139,4139,4139,2061,341,1371,4139,4139,0,0,0,134,158,1054,56,3,0,0,785,46,307,0,8,0,16,0,136,150,443,14,504,1954,1756,96,0,0,0,61,5,"62"
"620205",1571,4751,1188,1082,899,110,76,7.89051559516232,20,20,2217,4751,4751,4568,4736,4751,4751,4751,4751,4751,4751,4751,689,1986,39,0,4374,4339,2164,4751,4748,4751,4751,4751,2186,321,182,4751,4751,0,0,0,0,0,178,9,0,0,0,0,0,0,0,5,0,0,0,2,0,7,0,251,1433,1098,0,0,0,0,0,4,"62"
"620206",1571,5560,1409,1206,946,118,322,8.05219605346913,125,61,2901,5560,5560,5444,5541,5560,5560,5560,5560,5560,5560,5560,958,2634,19,0,5270,5187,2664,5560,5558,5560,5560,5560,2676,443,925,5560,5560,0,0,10,127,137,823,48,0,0,0,530,0,52,0,5,0,10,0,54,41,108,80,670,2159,1879,193,0,0,0,10,45,"62"
"620207",1608,4913,1678,1521,988,85,78,8.30845771144279,131,95,2379,4913,4913,4780,4857,4913,4913,4913,4913,4913,4913,4913,856,2054,53,2,4485,4408,2386,4913,4913,4913,4913,4913,2400,272,244,4913,4911,0,4,11,246,266,728,58,0,0,0,618,726,48,5,0,0,12,0,114,189,302,14,204,1594,1543,167,0,0,0,0,137,"62"
"620301",4235,12064,4122,3790,2456,327,230,8.16953955135773,62,27,5082,12064,12064,11717,12003,12064,12064,12064,12064,12064,12064,12064,1608,4739,31,0,10980,10797,5790,12064,12044,12064,12064,12064,5826,903,637,12064,12064,0,0,0,10,42,12,7,0,0,0,43,11,103,0,0,532,0,0,52,35,17,16,0,3007,2873,35,0,2,0,0,101,"62"
"620302",1679,5075,1664,1483,875,107,121,7.92972007147111,82,74,2611,5075,5075,4725,5010,5073,5073,5073,5073,5073,5073,5073,915,2408,78,0,4677,4629,2031,5075,5074,5072,5072,5072,2051,315,314,5072,5072,4,10,0,17,5,509,61,11,16,16,58,6,24,5,2,375,8,0,245,101,385,111,642,1553,1586,8,3,0,0,6,16,"62"
"620303",4392,13367,3852,3566,2561,416,694,8.05692167577413,106,56,6118,13363,13363,12903,13136,13367,13367,13367,13363,13367,13367,13367,1937,5628,307,35,12323,12118,6379,13367,13365,13367,13367,13367,6428,1269,1868,13367,13366,0,0,0,24,59,70,158,25,359,336,119,7,85,0,0,654,0,0,280,138,275,135,756,4316,4101,173,0,0,0,0,231,"62"
"620304",1893,5636,1608,1497,1175,152,109,7.90702588483888,164,127,2659,5636,5636,5477,5620,5636,5636,5636,5636,5636,5636,5636,800,2404,73,0,5128,5039,2682,5634,5626,5636,5636,5636,2725,511,316,5636,5636,3,10,28,58,203,75,19,16,22,208,221,25,39,12,14,220,12,0,157,145,433,356,1481,2120,2153,44,11,0,0,19,353,"62"
"620403",1487,3893,1533,1254,886,14,7,8.0221923335575,31,26,1674,3893,3893,3721,3859,3893,3893,3893,3893,3893,3893,3893,457,1536,0,0,3465,3402,1838,3893,3891,3893,3893,3893,1838,39,25,3893,3890,0,0,0,0,0,141,0,0,0,0,2,25,0,0,0,90,0,0,0,0,0,0,589,1101,963,0,0,0,0,0,6,"62"
"620404",1689,5138,1842,1493,1043,74,128,8.49200710479574,22,15,2208,5138,5138,5009,5110,5138,5138,5138,5138,5138,5138,5138,647,2115,4,0,4811,4725,2615,5138,5130,5138,5138,5138,2628,258,412,5138,5138,0,0,0,0,0,0,0,0,5,3,16,0,5,5,0,180,0,0,3,0,13,0,915,284,307,0,0,0,0,0,3,"62"
"620405",1158,3262,1054,827,741,29,53,7.52677029360967,76,34,1433,3262,3262,3166,3257,3262,3262,3262,3262,3262,3262,3262,375,1285,0,0,2933,2887,1696,3262,3241,3262,3262,3262,1700,91,143,3262,3262,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,94,0,0,1,0,3,0,0,1278,914,0,0,0,0,0,1,"62"
"620406",771,1861,664,476,418,19,11,8.28534370946822,15,15,465,1861,1861,1788,1857,1861,1861,1861,1861,1861,1861,1861,142,466,0,0,1673,1659,913,1861,1861,1861,1861,1861,915,58,38,1861,1861,0,0,0,0,0,0,0,0,0,6,52,8,0,0,0,54,0,0,0,6,15,0,132,370,190,3,0,0,0,0,0,"62"
"620407",2889,8814,2577,2224,1354,67,30,7.8276220145379,37,32,3730,8814,8814,8398,8750,8814,8814,8814,8814,8814,8814,8814,1192,3431,0,0,8428,8380,3623,8814,8814,8814,8814,8814,3634,247,101,8814,8812,0,0,0,3,0,0,4,0,0,0,22,0,11,2,0,355,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,"62"
"620408",1134,3041,995,734,752,42,127,7.00088183421517,15,15,1157,3041,3041,2913,3034,3041,3041,3041,3041,3041,3041,3041,386,1011,4,0,2661,2582,1535,3041,3035,3041,3041,3041,1542,121,331,3041,3041,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,112,0,0,0,0,0,0,0,1238,1537,0,0,0,0,1,0,"62"
"620409",2919,7799,2369,1932,1731,79,175,7.89174374785886,35,24,2924,7799,7799,7451,7673,7799,7799,7799,7799,7799,7799,7799,868,2813,139,0,6926,6751,3556,7799,7799,7799,7799,7799,3562,230,423,7799,7797,0,2,0,0,1,0,9,0,2,0,51,85,2,2,0,330,0,0,31,13,91,0,8,2693,2387,0,0,0,0,0,0,"62"
"620410",1431,4252,1151,900,872,15,1,8.31586303284416,159,114,1987,4252,4252,4085,4249,4252,4252,4252,4252,4252,4252,4252,590,1772,3,0,3881,3809,2008,4252,4225,4244,4244,4244,2008,47,5,4252,4252,0,0,3,3,0,0,0,0,0,0,268,235,202,3,5,85,0,0,0,7,0,3,1257,1812,1291,0,0,0,0,0,1,"62"
"620411",3333,9555,3144,2912,1905,96,112,8.30783078307831,141,98,4237,9554,9554,9190,9133,9555,9555,9555,9555,9555,9555,9555,1256,3897,114,0,8715,8591,4268,9555,9553,9555,9555,9555,4276,320,275,9555,9555,0,0,47,628,1408,897,39,18,145,356,749,606,673,0,0,262,0,0,259,158,319,0,113,2606,2670,479,5,13,1,44,11,"62"
"620412",1461,4065,1316,1086,794,12,59,8.492128678987,63,37,1723,4065,4065,3912,4062,4065,4065,4065,4065,4065,4065,4065,547,1571,6,0,3665,3610,1777,4065,4065,4065,4065,4065,1777,31,157,4065,4065,0,0,0,0,0,19,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,590,496,0,0,0,0,0,0,"62"
"620413",878,2496,792,629,654,7,5,8.28132118451025,79,45,1150,2496,2496,2420,2489,2496,2496,2496,2496,2496,2496,2496,312,1054,27,0,2204,2152,1347,2496,2492,2496,2496,2496,1350,23,10,2496,2493,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,141,5,0,0,0,0,0,815,967,764,0,0,0,0,0,0,"62"
