"tumbol_ID","poor.household.CNT","poor.JPT.CNT","poor.JPT.MOFreg.CNT","poor.JPT.MOFval.CNT","poor.JPT.MOFval.health","poor.JPT.MOFval.living","poor.JPT.MOFval.education","poor.JPT.MOFval.income","poor.JPT.MOFval.accessibility","JPT.MOFval.pov.rate","poor.JPT.MOFval.ind1.CNT","poor.JPT.MOFval.ind2.CNT","poor.JPT.MOFval.ind3.CNT","poor.JPT.MOFval.ind4.CNT","poor.JPT.MOFval.ind5.CNT","poor.JPT.MOFval.ind6.CNT","poor.JPT.MOFval.ind7.CNT","poor.JPT.MOFval.ind8.CNT","poor.JPT.MOFval.ind9.CNT","poor.JPT.MOFval.ind10.CNT","poor.JPT.MOFval.ind11.CNT","poor.JPT.MOFval.ind12.CNT","poor.JPT.MOFval.ind13.CNT","poor.JPT.MOFval.ind14.CNT","poor.JPT.MOFval.ind15.CNT","poor.JPT.MOFval.ind16.CNT","poor.JPT.MOFval.ind17.CNT","poor.JPT.MOFval.ind18.CNT","poor.JPT.MOFval.ind19.CNT","poor.JPT.MOFval.ind20.CNT","poor.JPT.MOFval.ind21.CNT","poor.JPT.MOFval.ind22.CNT","poor.JPT.MOFval.ind23.CNT","poor.JPT.MOFval.ind24.CNT","poor.JPT.MOFval.ind25.CNT","poor.JPT.MOFval.ind26.CNT","poor.JPT.MOFval.ind27.CNT","poor.JPT.MOFval.ind28.CNT","poor.JPT.MOFval.ind29.CNT","poor.JPT.MOFval.ind30.CNT","poor.JPT.MOFval.ind31.CNT","province_ID"
"510102",315,1115,266,213,0,0,0,213,0,1.65836188103395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,208,6,0,63,31,0,0,1,0,0,0,"51"
"510103",39,101,31,23,0,9,0,14,0,0.241064877895399,0,0,0,0,0,5,4,0,0,0,9,0,0,0,0,1,0,0,0,0,0,14,0,6,5,0,0,0,0,0,0,"51"
"510104",6,10,5,4,0,0,0,4,0,0.121102028458977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,"51"
"510105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51"
"510106",145,368,162,130,0,4,0,128,0,2.46352093992799,0,0,0,1,1,5,0,2,0,0,2,0,1,0,0,1,0,0,1,29,47,77,46,44,28,0,1,0,0,0,1,"51"
"510107",1,2,2,2,0,0,0,2,0,0.0207404334750596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"51"
"510108",13,33,12,11,0,0,0,11,0,0.243524463139252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,1,4,3,0,0,0,0,0,0,"51"
"510109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51"
"510110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51"
"510111",23,73,17,13,0,13,0,0,0,0.251256281407035,0,0,0,2,4,3,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,"51"
"510112",51,181,65,58,0,0,0,58,0,0.848697688030436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,19,45,0,2,27,10,0,0,0,0,0,0,"51"
"510113",207,693,223,159,0,13,0,153,0,1.32621569772291,0,0,1,6,7,12,10,0,0,0,13,2,5,0,0,3,0,0,3,75,88,6,32,55,35,0,0,0,0,2,1,"51"
"510116",12,36,14,9,0,1,0,8,0,0.1413982717989,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,6,2,0,0,4,0,0,2,0,0,0,1,"51"
"510117",42,128,52,36,0,1,0,35,0,0.910700733620035,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,14,21,0,11,15,3,0,0,0,0,0,0,"51"
"510151",180,551,129,114,0,109,0,5,0,1.56121610517666,0,0,0,9,17,21,0,2,0,0,109,30,33,0,0,0,0,0,0,0,0,5,0,40,34,0,0,0,0,0,0,"51"
"510201",85,327,114,76,0,0,0,76,0,1.30808950086059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,75,0,9,2,0,0,0,0,0,0,0,"51"
"510202",96,264,107,82,0,19,0,64,0,1.00391772771792,0,0,0,4,14,3,0,0,0,0,19,0,1,0,0,0,0,0,0,27,38,0,1,21,26,0,0,0,0,0,0,"51"
"510203",9,28,16,15,0,0,0,15,0,0.248180013236267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,"51"
"510204",97,305,126,103,0,4,0,100,0,1.9907228449942,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,10,23,86,0,36,0,0,0,0,0,0,0,0,"51"
"510205",106,292,135,94,0,0,0,94,0,3.06188925081433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,92,0,13,0,0,0,0,0,0,0,0,"51"
"510206",161,528,214,213,0,74,0,147,0,7.3020226259856,0,0,0,9,13,35,0,7,12,12,70,0,20,0,0,0,0,0,116,81,75,0,3,2,9,0,0,0,0,0,0,"51"
"510301",292,794,325,268,0,12,0,256,0,2.53691783415373,0,0,0,4,1,7,0,5,0,0,10,0,4,0,0,0,0,0,7,10,250,0,26,39,22,4,0,0,0,0,0,"51"
"510302",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51"
"510303",122,337,155,120,0,4,0,117,0,1.69252468265162,0,0,0,0,0,10,0,0,1,0,3,0,0,0,0,0,0,0,0,18,107,0,26,4,2,0,0,0,0,0,0,"51"
"510304",108,310,133,104,0,57,0,49,0,2.28621675093427,0,0,0,9,4,10,0,3,0,0,56,2,4,0,0,0,0,0,3,15,39,0,27,38,44,0,0,0,0,0,0,"51"
"510305",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51"
"510401",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51"
"510402",60,148,66,59,0,0,0,59,0,0.783012607830126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,56,0,0,5,14,0,0,0,0,0,0,"51"
"510403",272,917,435,375,0,276,0,99,0,2.93841090738129,0,0,0,179,185,201,6,0,0,0,276,0,8,0,0,0,0,0,36,2,97,0,11,185,211,0,0,0,0,0,0,"51"
"510404",1,5,1,1,0,0,0,1,0,0.0355492356914326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,"51"
"510405",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51"
"510406",15,38,15,14,0,14,0,0,0,0.506695620702135,0,0,0,0,0,2,0,10,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,4,7,0,0,0,0,0,0,"51"
"510408",124,360,116,98,0,51,0,49,0,1.30788736153743,0,0,0,0,0,7,0,13,0,0,41,8,3,0,0,0,0,0,2,10,39,0,1,0,0,0,0,0,0,0,0,"51"
"510409",130,388,112,95,0,28,0,71,0,1.55993431855501,0,0,0,0,8,3,1,4,0,0,26,0,8,1,0,0,0,0,0,1,71,0,57,37,43,0,0,0,0,1,0,"51"
"510501",1459,4166,1417,1315,0,1306,0,29,0,17.2368593524708,0,3,0,787,397,120,8,23,45,27,1298,9,318,1,0,7,0,0,749,16,17,0,2,674,874,0,0,0,0,2,5,"51"
"510502",115,347,137,108,0,0,0,108,0,2.98013245033113,0,0,0,10,4,5,0,0,0,0,0,0,0,0,0,0,0,0,26,35,77,0,0,47,43,0,0,0,0,0,0,"51"
"510503",407,1314,445,399,0,365,0,36,0,6.64335664335664,0,0,1,89,71,76,3,0,0,0,365,0,77,0,0,0,0,0,158,4,34,0,0,279,303,0,0,0,0,0,0,"51"
"510601",25,64,34,29,0,26,0,3,0,1.06500183621006,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,2,0,0,0,0,0,0,0,"51"
"510602",58,194,67,56,0,41,0,27,0,1.86294078509647,0,0,0,2,8,4,0,35,0,0,11,2,4,0,0,0,0,0,7,13,22,0,27,5,4,2,0,0,0,0,8,"51"
"510603",73,200,53,46,0,12,0,34,0,0.894767554950399,0,0,0,0,3,1,5,0,0,0,12,0,0,0,0,0,0,0,0,0,34,0,15,15,9,2,0,0,0,0,0,"51"
"510604",8,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51"
"510605",71,198,91,79,0,5,0,74,0,2.57077774162057,0,0,0,0,0,0,9,0,0,0,5,0,1,0,0,0,0,0,7,23,36,27,21,21,18,0,0,0,0,0,0,"51"
"510606",239,733,257,218,0,85,0,146,0,4.69422911283376,0,0,0,60,5,3,11,4,0,0,83,0,1,0,0,0,0,0,1,47,104,3,26,124,101,3,0,0,0,3,11,"51"
"510607",2,8,5,5,0,0,0,5,0,0.0749288176232579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,2,2,2,0,0,0,0,0,0,"51"
"510608",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51"
"510611",7,17,8,8,0,6,0,2,0,0.130293159609121,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"51"
"510701",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51"
"510702",241,756,244,183,0,12,0,174,0,2.69276044732195,0,0,0,0,0,14,0,0,0,0,12,2,0,0,0,0,0,0,1,50,132,0,15,102,65,0,0,0,0,0,0,"51"
"510801",5,13,7,4,0,2,0,2,0,0.0760745530620008,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,1,3,3,0,0,0,0,0,0,"51"
"510802",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51"
"510803",5,17,5,5,0,0,0,5,0,0.0798977309044423,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,"51"
