"tumbol_ID","poor.household.CNT","poor.JPT.CNT","poor.JPT.MOFreg.CNT","poor.JPT.MOFval.CNT","poor.JPT.MOFval.health","poor.JPT.MOFval.living","poor.JPT.MOFval.education","poor.JPT.MOFval.income","poor.JPT.MOFval.accessibility","JPT.MOFval.pov.rate","poor.JPT.MOFval.ind1.CNT","poor.JPT.MOFval.ind2.CNT","poor.JPT.MOFval.ind3.CNT","poor.JPT.MOFval.ind4.CNT","poor.JPT.MOFval.ind5.CNT","poor.JPT.MOFval.ind6.CNT","poor.JPT.MOFval.ind7.CNT","poor.JPT.MOFval.ind8.CNT","poor.JPT.MOFval.ind9.CNT","poor.JPT.MOFval.ind10.CNT","poor.JPT.MOFval.ind11.CNT","poor.JPT.MOFval.ind12.CNT","poor.JPT.MOFval.ind13.CNT","poor.JPT.MOFval.ind14.CNT","poor.JPT.MOFval.ind15.CNT","poor.JPT.MOFval.ind16.CNT","poor.JPT.MOFval.ind17.CNT","poor.JPT.MOFval.ind18.CNT","poor.JPT.MOFval.ind19.CNT","poor.JPT.MOFval.ind20.CNT","poor.JPT.MOFval.ind21.CNT","poor.JPT.MOFval.ind22.CNT","poor.JPT.MOFval.ind23.CNT","poor.JPT.MOFval.ind24.CNT","poor.JPT.MOFval.ind25.CNT","poor.JPT.MOFval.ind26.CNT","poor.JPT.MOFval.ind27.CNT","poor.JPT.MOFval.ind28.CNT","poor.JPT.MOFval.ind29.CNT","poor.JPT.MOFval.ind30.CNT","poor.JPT.MOFval.ind31.CNT","province_ID"
"660102",33,105,36,27,0,0,0,27,0,1.12970711297071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,0,0,4,3,0,0,0,0,0,0,"66"
"660103",57,175,76,53,0,7,0,46,0,1.33568548387097,0,0,0,0,0,3,0,0,0,0,7,10,0,0,0,0,0,0,3,22,26,1,0,14,24,0,0,0,0,0,0,"66"
"660104",265,716,262,205,0,34,0,182,0,6.50174437044085,0,0,0,0,0,3,0,0,0,0,34,0,0,0,0,0,0,0,4,57,142,10,7,47,60,0,0,0,0,0,0,"66"
"660105",105,268,100,82,18,7,0,64,0,2.30920867361307,0,0,0,1,4,0,13,5,1,2,1,0,0,0,0,1,0,0,2,18,50,12,37,9,25,1,3,0,0,0,0,"66"
"660106",140,394,125,96,9,0,0,87,0,2.07343412526998,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,12,74,11,3,19,23,0,0,0,0,0,1,"66"
"660107",318,953,389,308,20,11,0,292,0,7.84913353720693,0,0,0,1,7,13,12,1,0,0,10,0,1,0,0,15,0,0,13,51,249,13,6,47,43,4,0,0,0,0,0,"66"
"660108",363,1125,401,311,71,55,0,249,0,8.23404818639132,0,0,0,16,53,38,8,15,0,0,53,4,39,2,0,11,0,0,36,78,173,51,100,73,78,7,0,0,0,8,7,"66"
"660109",145,435,128,99,29,18,0,60,0,2.31850117096019,0,0,0,1,27,18,2,3,0,0,15,0,8,0,0,5,0,0,0,32,34,0,16,31,43,8,3,0,0,0,2,"66"
"660110",284,855,338,273,0,22,0,262,0,6.14588023412877,0,0,0,0,0,7,0,0,0,0,22,0,0,0,0,5,0,0,0,36,234,8,17,53,82,0,0,0,0,0,0,"66"
"660111",24,30,12,9,6,0,0,3,0,0.422336931018301,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,2,0,0,0,0,0,0,"66"
