"tumbol_ID","household.CNT","HOUSEMEMBER_CNT","MOF_REG_CNT","MOF_VAL_CNT","ELDERLY_CNT","DISABLED_CNT","CHRONICPATIENT_CNT","happiness","indicator1.ALL","indicator2.ALL","indicator3.ALL","indicator4.ALL","indicator5.ALL","indicator6.ALL","indicator7.ALL","indicator8.ALL","indicator9.ALL","indicator10.ALL","indicator11.ALL","indicator12.ALL","indicator13.ALL","indicator14.ALL","indicator15.ALL","indicator16.ALL","indicator17.ALL","indicator18.ALL","indicator19.ALL","indicator20.ALL","indicator21.ALL","indicator22.ALL","indicator23.ALL","indicator24.ALL","indicator25.ALL","indicator26.ALL","indicator27.ALL","indicator28.ALL","indicator29.ALL","indicator30.ALL","indicator31.ALL","indicator1.CNT","indicator2.CNT","indicator3.CNT","indicator4.CNT","indicator5.CNT","indicator6.CNT","indicator7.CNT","indicator8.CNT","indicator9.CNT","indicator10.CNT","indicator11.CNT","indicator12.CNT","indicator13.CNT","indicator14.CNT","indicator15.CNT","indicator16.CNT","indicator17.CNT","indicator18.CNT","indicator19.CNT","indicator20.CNT","indicator21.CNT","indicator22.CNT","indicator23.CNT","indicator24.CNT","indicator25.CNT","indicator26.CNT","indicator27.CNT","indicator28.CNT","indicator29.CNT","indicator30.CNT","indicator31.CNT","province_ID"
"430101",3900,6822,691,554,2197,24,76,8.25461538461538,56,56,1439,6822,6822,6547,6790,6822,6822,6822,6822,6822,6822,6822,430,1446,40,0,5273,5063,3812,6822,6816,6821,6821,6820,3812,83,225,6819,6820,0,0,0,1,3,2,1,0,0,0,17,6,16,1,0,0,0,0,6,15,15,0,2160,422,295,4,1,0,0,0,16,"43"
"430102",1505,3234,513,406,706,34,68,8.3202657807309,17,5,946,3234,3234,3115,3007,3234,3234,3234,3229,3234,3234,3234,299,931,17,0,2882,2864,1581,3234,3230,3234,3233,3233,1588,131,222,3233,3234,0,0,0,6,31,33,12,3,7,2,81,8,37,0,0,0,0,0,29,134,180,0,916,443,398,0,7,0,0,1,8,"43"
"430103",2755,6564,1028,846,1221,26,53,8.00036297640653,172,172,2120,6564,6564,6378,6452,6564,6564,6564,6564,6564,6564,6564,776,1867,0,0,5989,5959,3059,6564,6561,6561,6556,6556,3062,117,170,6564,6564,0,0,0,1,0,22,5,2,0,4,11,0,5,4,0,38,0,0,0,42,63,2,1662,554,591,0,6,0,0,3,0,"43"
"430104",1056,3734,914,678,779,29,82,8.43276515151515,79,69,1469,3734,3734,3684,3709,3734,3734,3734,3734,3734,3734,3734,491,1210,12,6,3607,3577,2383,3734,3711,3734,3734,3734,2386,119,320,3734,3734,0,8,17,0,0,0,0,0,0,0,0,34,7,6,7,0,0,0,0,23,41,0,265,574,522,0,0,6,6,0,0,"43"
"430105",1111,3272,982,764,777,35,132,7.92259225922592,45,26,1283,3272,3272,3234,3268,3272,3272,3272,3272,3272,3272,3272,413,1180,66,12,2966,2910,1926,3272,3242,3272,3272,3271,1938,146,376,3272,3272,0,0,0,2,0,29,4,0,0,0,9,0,5,0,0,0,0,0,20,242,364,55,1303,881,880,0,0,0,0,0,3,"43"
"430106",2075,6991,1476,1127,957,46,76,8.54602409638554,123,73,3278,6991,6991,6870,6984,6991,6991,6991,6991,6991,6991,6991,1062,2862,0,0,6761,6694,2981,6991,6991,6991,6991,6991,2991,183,261,6991,6991,0,0,0,31,24,0,1,0,0,0,7,0,7,0,0,31,0,0,0,0,0,46,724,580,644,0,0,0,0,0,0,"43"
"430107",3252,7863,2043,1619,1405,25,32,9.05473554735547,56,45,2138,7863,7863,7621,7756,7863,7863,7863,7863,7863,7863,7863,678,2003,7,0,7320,7263,3384,7863,7827,7863,7863,7863,3384,101,84,7863,7863,0,0,0,49,59,50,15,8,0,4,90,36,41,10,0,81,0,0,11,40,49,10,4766,501,486,6,5,7,0,1,10,"43"
"430108",903,2792,1089,785,541,34,159,8.79955703211517,61,43,1170,2792,2792,2760,2792,2792,2792,2792,2792,2792,2792,2792,410,1053,0,0,2615,2563,1446,2792,2792,2792,2792,2792,1450,97,467,2792,2792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0,0,0,0,0,0,802,694,0,0,0,0,0,0,"43"
"430109",1610,5104,1746,1289,908,88,205,8.76832298136646,80,50,2320,5104,5104,5020,5104,5104,5104,5104,5104,5104,5104,5104,679,2098,0,0,4822,4760,2630,5104,5099,5104,5104,5104,2644,304,629,5104,5104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,0,0,0,0,0,3,0,1043,1103,2,0,0,0,0,0,"43"
"430110",2727,8058,2542,1825,1288,72,124,8.42574257425743,49,30,3062,8056,8056,7873,7961,8058,8058,8058,8058,8058,8058,8058,930,2812,107,0,7662,7581,3562,8058,8047,8058,8058,8058,3572,260,456,8058,8058,0,0,0,6,6,7,27,11,4,5,48,6,22,5,0,609,21,0,16,295,251,22,684,462,439,0,3,0,0,9,17,"43"
