"tumbol_ID","poor.household.CNT","poor.JPT.CNT","poor.JPT.MOFreg.CNT","poor.JPT.MOFval.CNT","poor.JPT.MOFval.health","poor.JPT.MOFval.living","poor.JPT.MOFval.education","poor.JPT.MOFval.income","poor.JPT.MOFval.accessibility","JPT.MOFval.pov.rate","poor.JPT.MOFval.ind1.CNT","poor.JPT.MOFval.ind2.CNT","poor.JPT.MOFval.ind3.CNT","poor.JPT.MOFval.ind4.CNT","poor.JPT.MOFval.ind5.CNT","poor.JPT.MOFval.ind6.CNT","poor.JPT.MOFval.ind7.CNT","poor.JPT.MOFval.ind8.CNT","poor.JPT.MOFval.ind9.CNT","poor.JPT.MOFval.ind10.CNT","poor.JPT.MOFval.ind11.CNT","poor.JPT.MOFval.ind12.CNT","poor.JPT.MOFval.ind13.CNT","poor.JPT.MOFval.ind14.CNT","poor.JPT.MOFval.ind15.CNT","poor.JPT.MOFval.ind16.CNT","poor.JPT.MOFval.ind17.CNT","poor.JPT.MOFval.ind18.CNT","poor.JPT.MOFval.ind19.CNT","poor.JPT.MOFval.ind20.CNT","poor.JPT.MOFval.ind21.CNT","poor.JPT.MOFval.ind22.CNT","poor.JPT.MOFval.ind23.CNT","poor.JPT.MOFval.ind24.CNT","poor.JPT.MOFval.ind25.CNT","poor.JPT.MOFval.ind26.CNT","poor.JPT.MOFval.ind27.CNT","poor.JPT.MOFval.ind28.CNT","poor.JPT.MOFval.ind29.CNT","poor.JPT.MOFval.ind30.CNT","poor.JPT.MOFval.ind31.CNT","province_ID"
"250102",6,23,1,1,0,0,0,1,0,0.0232288037166086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"25"
"250103",10,23,3,2,0,0,0,2,0,0.0986193293885602,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,"25"
"250104",9,28,6,6,0,0,0,6,0,0.279459711224965,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,1,2,3,0,0,0,0,0,0,"25"
"250105",12,44,5,4,0,0,0,3,1,0.117405341943058,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,3,0,3,1,2,0,0,1,0,1,0,"25"
"250106",1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"25"
"250107",82,325,73,56,0,0,0,56,0,0.687116564417178,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,4,0,0,2,19,42,0,5,33,30,9,0,0,0,1,0,"25"
"250108",49,158,62,46,0,0,0,46,0,0.450053810781724,0,0,0,0,0,8,6,4,0,0,1,0,0,0,0,5,0,0,1,13,32,7,13,13,12,3,0,0,0,2,0,"25"
"250109",26,99,27,18,0,0,0,18,0,0.584605391360831,0,0,0,0,1,0,0,6,0,0,11,0,0,0,0,1,0,0,0,0,17,1,1,11,12,0,0,0,0,0,0,"25"
"250110",29,102,21,20,0,0,0,20,0,0.265041081367612,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,2,5,17,0,3,5,2,0,0,0,0,0,0,"25"
"250111",80,295,71,54,0,0,0,54,0,0.753138075313807,0,0,0,0,0,24,0,2,0,0,0,0,0,0,0,1,0,0,1,16,45,0,0,15,9,1,0,0,0,0,0,"25"
"250112",13,31,10,9,0,0,0,9,0,0.13949163050217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,4,2,1,0,0,0,0,0,0,"25"
"250113",2,5,1,1,0,0,0,1,0,0.0227014755959137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"25"
"250151",20,60,21,18,0,0,0,18,0,0.663472171028382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,0,0,8,0,0,0,0,0,0,0,"25"
"250201",30,84,19,13,0,0,0,13,0,0.161070499318548,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,11,0,0,2,2,0,0,0,0,1,0,"25"
"250202",82,269,74,53,0,0,0,53,0,0.501514004542014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,7,48,1,5,7,8,0,0,0,0,0,0,"25"
"250203",2,15,2,2,0,0,0,0,2,0.0339731612026499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,"25"
"250204",108,369,84,63,0,0,0,63,0,0.842358604091456,0,0,0,7,10,7,3,2,2,2,15,1,13,1,0,3,0,0,2,31,37,0,8,27,21,0,0,0,0,6,7,"25"
"250205",2,9,4,2,0,0,0,2,0,0.0305810397553517,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,"25"
"250206",75,265,92,72,0,0,0,72,0,0.869985500241663,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,5,0,0,13,38,45,0,17,29,35,0,0,0,0,0,0,"25"
"250207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"25"
