"tumbol_ID","household.CNT","HOUSEMEMBER_CNT","MOF_REG_CNT","MOF_VAL_CNT","ELDERLY_CNT","DISABLED_CNT","CHRONICPATIENT_CNT","happiness","indicator1.ALL","indicator2.ALL","indicator3.ALL","indicator4.ALL","indicator5.ALL","indicator6.ALL","indicator7.ALL","indicator8.ALL","indicator9.ALL","indicator10.ALL","indicator11.ALL","indicator12.ALL","indicator13.ALL","indicator14.ALL","indicator15.ALL","indicator16.ALL","indicator17.ALL","indicator18.ALL","indicator19.ALL","indicator20.ALL","indicator21.ALL","indicator22.ALL","indicator23.ALL","indicator24.ALL","indicator25.ALL","indicator26.ALL","indicator27.ALL","indicator28.ALL","indicator29.ALL","indicator30.ALL","indicator31.ALL","indicator1.CNT","indicator2.CNT","indicator3.CNT","indicator4.CNT","indicator5.CNT","indicator6.CNT","indicator7.CNT","indicator8.CNT","indicator9.CNT","indicator10.CNT","indicator11.CNT","indicator12.CNT","indicator13.CNT","indicator14.CNT","indicator15.CNT","indicator16.CNT","indicator17.CNT","indicator18.CNT","indicator19.CNT","indicator20.CNT","indicator21.CNT","indicator22.CNT","indicator23.CNT","indicator24.CNT","indicator25.CNT","indicator26.CNT","indicator27.CNT","indicator28.CNT","indicator29.CNT","indicator30.CNT","indicator31.CNT","province_ID"
"260102",1153,3551,735,596,795,100,206,9.22549869904597,90,62,1525,3551,3551,3458,3551,3551,3551,3551,3551,3551,3551,3551,487,1397,27,0,3280,3246,1991,3551,3551,3551,3551,3551,2014,339,512,3551,3551,0,0,0,0,0,71,23,0,0,0,0,0,0,7,0,79,0,0,33,160,474,4,1351,513,728,74,0,0,0,1,1,"26"
"260103",816,2404,516,419,454,57,25,8.31127450980392,30,18,938,2404,2404,2327,2392,2404,2404,2404,2404,2404,2404,2404,239,855,48,9,2277,2250,1239,2404,2371,2404,2404,2404,1239,204,78,2404,2404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,5,195,13,958,627,645,0,0,0,0,0,0,"26"
"260104",708,2046,438,357,485,53,106,6.13135593220339,82,62,986,2046,2046,1989,2046,2046,2046,2046,2046,2046,2046,2046,267,800,4,0,1848,1821,1129,2046,2046,2046,2046,2046,1132,194,300,2046,2046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"26"
"260105",874,2539,534,409,654,94,137,7.85011441647597,130,112,1019,2539,2539,2455,2512,2539,2539,2539,2539,2539,2539,2539,352,916,90,0,2301,2255,1433,2535,2519,2534,2534,2534,1440,293,344,2539,2539,0,0,0,0,0,7,3,0,0,0,0,182,9,0,0,0,0,0,2,173,261,3,651,767,794,0,5,0,0,217,0,"26"
"260106",1015,3236,667,520,666,69,47,8.60098522167488,63,38,1606,3236,3236,3140,3139,3236,3236,3236,3236,3236,3236,3236,676,1421,9,0,2987,2917,1680,3226,3219,3236,3236,3236,1686,230,154,3236,3236,0,0,0,0,0,1,16,9,0,0,107,339,48,0,0,53,0,0,42,144,318,10,1433,461,1257,23,0,0,0,0,2,"26"
"260107",1363,3872,551,440,823,54,105,7.98752751283932,59,37,1456,3872,3872,3744,3846,3872,3872,3872,3868,3872,3872,3872,465,1376,12,3,3537,3482,1898,3872,3872,3872,3872,3872,1903,164,270,3872,3872,0,0,0,48,167,91,39,57,0,0,219,25,26,4,0,58,8,0,48,133,357,2,974,924,1023,47,5,0,0,0,7,"26"
"260108",1902,5491,1337,1060,1316,106,183,8.00525762355415,52,43,2003,5491,5491,5401,5491,5491,5491,5491,5491,5491,5491,5491,570,2044,4,10,4953,4847,3124,5487,5486,5491,5491,5491,3139,337,441,5491,5491,0,0,0,30,676,97,1,8,0,0,714,2,32,0,7,335,0,0,22,129,110,0,2827,613,779,24,4,0,0,2,18,"26"
"260109",1173,3302,648,499,938,104,228,7.85592497868713,109,102,1317,3302,3302,3264,3293,3302,3302,3302,3302,3302,3302,3302,413,1170,103,21,2937,2890,2042,3302,3300,3302,3302,3302,2054,323,662,3302,3300,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,125,0,0,8,0,533,0,291,817,742,30,2,0,0,37,1,"26"
"260110",2305,7018,1336,1046,1592,88,68,8.05336225596529,40,40,2555,7018,7018,6908,6944,7018,7018,7018,7018,7018,7018,7018,658,2492,16,0,6536,6454,4131,7018,7018,7018,7018,7018,4148,333,203,7018,7018,0,0,0,0,0,25,1,6,0,3,15,0,13,9,0,385,0,0,0,33,228,0,900,1416,1078,1,0,0,0,14,9,"26"
"260111",1271,3736,573,459,694,88,118,7.21400472069237,102,76,1518,3736,3736,3652,3668,3736,3736,3736,3736,3736,3736,3736,540,1276,19,0,3530,3520,1776,3736,3706,3736,3736,3736,1795,312,348,3736,3736,0,0,0,25,4,9,23,4,0,0,27,5,25,0,0,167,3,0,12,64,153,0,351,632,614,235,0,0,0,25,6,"26"
