"province_ID","poor.household.CNT","poor.JPT.CNT","poor.JPT.MOFreg.CNT","poor.JPT.MOFval.CNT","poor.JPT.MOFval.health","poor.JPT.MOFval.living","poor.JPT.MOFval.education","poor.JPT.MOFval.income","poor.JPT.MOFval.accessibility","JPT.MOFval.pov.rate","poor.JPT.MOFval.ind1.CNT","poor.JPT.MOFval.ind2.CNT","poor.JPT.MOFval.ind3.CNT","poor.JPT.MOFval.ind4.CNT","poor.JPT.MOFval.ind5.CNT","poor.JPT.MOFval.ind6.CNT","poor.JPT.MOFval.ind7.CNT","poor.JPT.MOFval.ind8.CNT","poor.JPT.MOFval.ind9.CNT","poor.JPT.MOFval.ind10.CNT","poor.JPT.MOFval.ind11.CNT","poor.JPT.MOFval.ind12.CNT","poor.JPT.MOFval.ind13.CNT","poor.JPT.MOFval.ind14.CNT","poor.JPT.MOFval.ind15.CNT","poor.JPT.MOFval.ind16.CNT","poor.JPT.MOFval.ind17.CNT","poor.JPT.MOFval.ind18.CNT","poor.JPT.MOFval.ind19.CNT","poor.JPT.MOFval.ind20.CNT","poor.JPT.MOFval.ind21.CNT","poor.JPT.MOFval.ind22.CNT","poor.JPT.MOFval.ind23.CNT","poor.JPT.MOFval.ind24.CNT","poor.JPT.MOFval.ind25.CNT","poor.JPT.MOFval.ind26.CNT","poor.JPT.MOFval.ind27.CNT","poor.JPT.MOFval.ind28.CNT","poor.JPT.MOFval.ind29.CNT","poor.JPT.MOFval.ind30.CNT","poor.JPT.MOFval.ind31.CNT"
11,28767,67238,9012,7429,2385,1832,1071,3947,0,1.36773946487124,0,8,0,1003,526,496,1130,228,31,16,1776,521,628,114,14,995,7,0,62,797,3235,255,2711,897,969,89,11,9,1,268,380
12,8727,28700,4447,3670,874,273,464,2548,0,1.17876804285962,0,0,0,137,201,255,711,2,0,3,271,39,63,5,1,436,3,0,27,464,2222,44,1376,389,521,113,4,3,0,129,48
13,14509,45729,7288,5968,1283,1111,1660,3057,0,1.38277783570245,0,0,0,604,672,268,377,175,19,22,1049,77,446,91,4,1585,3,0,73,675,2280,568,2491,951,947,114,4,1,1,76,197
14,12665,45669,11335,9351,708,966,1835,6544,0,1.883023389281,1,0,4,47,160,282,526,99,65,10,825,349,90,6,0,1658,19,0,164,1422,5668,28,2755,2754,1819,242,14,2,0,108,47
15,8280,26703,7052,5848,805,886,590,4138,0,2.94169429116134,0,1,0,211,64,350,581,63,2,0,850,46,140,6,0,470,3,0,117,750,2716,1063,1947,1174,1344,108,0,2,0,14,14
16,20116,68095,17961,15200,4009,2843,4372,6742,0,3.30181404270201,4,32,15,1440,1336,4900,1867,212,25,41,2657,194,762,17,19,3480,67,1,844,1613,5388,242,4019,4048,4495,721,57,17,20,262,464
17,3480,11691,3410,2714,387,118,721,1700,0,1.92885824952916,0,0,0,142,30,266,227,4,0,0,116,7,10,1,0,656,4,0,61,314,1481,68,387,506,553,77,0,1,0,6,6
18,5169,15582,4987,3922,133,591,397,2983,0,1.63237105850231,1,2,1,5,6,64,124,102,223,107,219,73,85,1,2,272,8,0,118,202,2236,642,816,787,971,6,6,0,0,11,0
19,11770,42884,8541,6980,1193,1300,1969,3591,0,1.76535007296612,0,6,0,271,356,610,770,147,48,17,1212,307,637,14,9,1757,7,0,211,921,2767,240,1974,1623,1494,268,14,8,2,75,163
20,14463,48240,7220,6056,1083,524,1985,3154,0,1.04005124691085,3,3,0,123,285,215,718,106,38,19,437,156,235,17,5,1725,10,1,254,620,2663,112,1742,976,1018,187,14,0,0,278,58
