"amphur_ID","poor.household.CNT","poor.JPT.CNT","poor.JPT.MOFreg.CNT","poor.JPT.MOFval.CNT","poor.JPT.MOFval.health","poor.JPT.MOFval.living","poor.JPT.MOFval.education","poor.JPT.MOFval.income","poor.JPT.MOFval.accessibility","JPT.MOFval.pov.rate","poor.JPT.MOFval.ind1.CNT","poor.JPT.MOFval.ind2.CNT","poor.JPT.MOFval.ind3.CNT","poor.JPT.MOFval.ind4.CNT","poor.JPT.MOFval.ind5.CNT","poor.JPT.MOFval.ind6.CNT","poor.JPT.MOFval.ind7.CNT","poor.JPT.MOFval.ind8.CNT","poor.JPT.MOFval.ind9.CNT","poor.JPT.MOFval.ind10.CNT","poor.JPT.MOFval.ind11.CNT","poor.JPT.MOFval.ind12.CNT","poor.JPT.MOFval.ind13.CNT","poor.JPT.MOFval.ind14.CNT","poor.JPT.MOFval.ind15.CNT","poor.JPT.MOFval.ind16.CNT","poor.JPT.MOFval.ind17.CNT","poor.JPT.MOFval.ind18.CNT","poor.JPT.MOFval.ind19.CNT","poor.JPT.MOFval.ind20.CNT","poor.JPT.MOFval.ind21.CNT","poor.JPT.MOFval.ind22.CNT","poor.JPT.MOFval.ind23.CNT","poor.JPT.MOFval.ind24.CNT","poor.JPT.MOFval.ind25.CNT","poor.JPT.MOFval.ind26.CNT","poor.JPT.MOFval.ind27.CNT","poor.JPT.MOFval.ind28.CNT","poor.JPT.MOFval.ind29.CNT","poor.JPT.MOFval.ind30.CNT","poor.JPT.MOFval.ind31.CNT","province_ID"
5201,3731,10318,3802,3091,1387,1466,583,0,3,2.19111079605869,0,0,0,308,332,408,860,86,19,19,1408,85,396,5,0,0,4,4,581,435,904,24,918,1207,770,227,2,1,0,42,137,"52"
5202,743,1974,881,757,381,375,191,0,2,2.48481864434597,0,0,0,48,249,79,106,0,0,2,373,26,42,0,0,104,0,0,93,80,113,0,124,341,310,30,0,2,0,0,0,"52"
5203,142,410,151,107,64,0,41,0,2,0.239197013390562,0,0,0,0,0,12,64,0,0,0,0,0,0,0,0,25,0,0,16,13,31,6,0,35,27,8,2,0,0,0,2,"52"
5204,19,65,29,23,0,23,0,0,0,0.103884372177055,0,0,0,0,0,0,0,5,0,0,18,0,4,0,0,0,0,0,0,6,2,0,0,16,11,0,0,0,0,0,0,"52"
5205,1065,2830,1353,1185,578,502,302,0,4,3.27991364278004,0,0,0,502,89,123,25,23,3,8,474,5,25,0,5,42,0,1,256,43,99,33,412,606,460,7,1,3,0,0,0,"52"
5206,391,1165,567,492,76,12,410,0,0,1.60026020491137,0,0,0,1,1,0,74,5,0,0,7,0,0,0,0,100,0,0,318,25,78,5,0,281,151,0,0,0,0,0,0,"52"
5207,11,30,25,19,4,0,17,0,0,0.0543385002573929,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,17,2,7,6,0,3,6,0,0,0,0,0,0,"52"
5208,1117,3318,1279,928,440,176,376,0,3,2.32581453634085,0,0,0,302,48,139,95,1,52,68,132,0,5,0,0,346,0,0,30,26,81,0,217,340,376,0,0,3,0,0,0,"52"
5209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"52"
5210,144,406,244,150,133,9,13,0,2,0.337913944582113,0,0,0,121,42,11,4,0,0,0,9,4,0,0,0,1,0,0,12,0,0,0,51,83,66,1,1,1,0,0,0,"52"
5211,4,17,8,7,0,0,6,0,1,0.0336651757803107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,"52"
5212,77,325,96,71,1,0,70,0,0,0.18433897600997,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,64,0,0,6,2,4,0,0,3,0,0,0,0,0,0,0,"52"
5213,733,2153,1161,921,542,167,254,0,0,3.94838377775872,0,0,0,455,79,249,28,5,130,130,33,0,0,0,0,98,0,0,162,7,45,12,24,643,324,0,0,0,0,0,0,"52"
