"province_ID","poor.household.CNT","poor.JPT.CNT","poor.JPT.MOFreg.CNT","poor.JPT.MOFval.CNT","poor.JPT.MOFval.health","poor.JPT.MOFval.living","poor.JPT.MOFval.education","poor.JPT.MOFval.income","poor.JPT.MOFval.accessibility","JPT.MOFval.pov.rate","poor.JPT.MOFval.ind1.CNT","poor.JPT.MOFval.ind2.CNT","poor.JPT.MOFval.ind3.CNT","poor.JPT.MOFval.ind4.CNT","poor.JPT.MOFval.ind5.CNT","poor.JPT.MOFval.ind6.CNT","poor.JPT.MOFval.ind7.CNT","poor.JPT.MOFval.ind8.CNT","poor.JPT.MOFval.ind9.CNT","poor.JPT.MOFval.ind10.CNT","poor.JPT.MOFval.ind11.CNT","poor.JPT.MOFval.ind12.CNT","poor.JPT.MOFval.ind13.CNT","poor.JPT.MOFval.ind14.CNT","poor.JPT.MOFval.ind15.CNT","poor.JPT.MOFval.ind16.CNT","poor.JPT.MOFval.ind17.CNT","poor.JPT.MOFval.ind18.CNT","poor.JPT.MOFval.ind19.CNT","poor.JPT.MOFval.ind20.CNT","poor.JPT.MOFval.ind21.CNT","poor.JPT.MOFval.ind22.CNT","poor.JPT.MOFval.ind23.CNT","poor.JPT.MOFval.ind24.CNT","poor.JPT.MOFval.ind25.CNT","poor.JPT.MOFval.ind26.CNT","poor.JPT.MOFval.ind27.CNT","poor.JPT.MOFval.ind28.CNT","poor.JPT.MOFval.ind29.CNT","poor.JPT.MOFval.ind30.CNT","poor.JPT.MOFval.ind31.CNT"
11,17759,36676,4092,3397,2385,0,1071,0,0,0.625415394019063,0,0,0,1003,526,299,1130,169,20,2,1022,363,460,100,14,995,7,0,62,141,397,104,1426,436,447,61,6,7,0,116,293
12,3606,11801,1587,1301,874,0,464,0,0,0.417868453340699,0,0,0,137,201,83,711,2,0,2,89,21,26,3,1,436,3,0,27,61,271,15,557,128,180,46,0,0,0,54,17
13,8064,26593,3517,2908,1283,0,1660,0,0,0.673779816726329,0,0,0,604,672,138,377,125,15,19,511,44,238,75,4,1585,3,0,73,110,298,73,1307,360,381,46,1,0,1,28,114
14,4096,15929,3030,2498,708,0,1835,0,0,0.503025604365731,1,0,1,47,160,78,526,8,3,1,110,122,35,0,0,1658,19,0,164,166,298,3,762,557,412,43,7,0,0,20,11
15,2170,6997,1668,1377,805,0,590,0,0,0.69266638832578,0,0,0,211,64,133,581,28,0,0,173,9,75,5,0,470,3,0,117,88,146,87,383,354,383,52,0,2,0,3,8
16,10836,38795,9484,8137,4009,0,4372,0,0,1.76755663588594,4,9,7,1440,1336,2532,1867,75,11,10,1156,143,478,9,19,3480,67,0,844,398,839,32,2166,2350,2509,506,15,2,9,151,235
17,1424,5290,1343,1095,387,0,721,0,0,0.778223943712022,0,0,0,142,30,106,227,0,0,0,48,2,2,0,0,656,4,0,61,38,116,3,145,175,204,49,0,0,0,1,1
18,675,2476,649,524,133,0,397,0,0,0.218093430559718,1,1,1,5,6,18,124,4,3,0,31,3,27,0,2,272,8,0,118,24,61,16,129,136,164,2,1,0,0,2,0
19,5554,21371,3716,3105,1193,0,1969,0,0,0.785302575438366,0,1,0,271,356,209,770,36,10,5,376,129,207,9,9,1757,7,0,211,194,356,22,852,603,535,129,13,6,0,41,84
20,8181,28045,3549,3012,1083,0,1985,0,0,0.517277799817613,3,3,0,123,285,97,718,34,16,7,147,86,97,13,5,1725,10,0,254,102,322,7,802,437,501,60,2,0,0,94,29
