"amphur_ID","poor.household.CNT","poor.JPT.CNT","poor.JPT.MOFreg.CNT","poor.JPT.MOFval.CNT","poor.JPT.MOFval.health","poor.JPT.MOFval.living","poor.JPT.MOFval.education","poor.JPT.MOFval.income","poor.JPT.MOFval.accessibility","JPT.MOFval.pov.rate","poor.JPT.MOFval.ind1.CNT","poor.JPT.MOFval.ind2.CNT","poor.JPT.MOFval.ind3.CNT","poor.JPT.MOFval.ind4.CNT","poor.JPT.MOFval.ind5.CNT","poor.JPT.MOFval.ind6.CNT","poor.JPT.MOFval.ind7.CNT","poor.JPT.MOFval.ind8.CNT","poor.JPT.MOFval.ind9.CNT","poor.JPT.MOFval.ind10.CNT","poor.JPT.MOFval.ind11.CNT","poor.JPT.MOFval.ind12.CNT","poor.JPT.MOFval.ind13.CNT","poor.JPT.MOFval.ind14.CNT","poor.JPT.MOFval.ind15.CNT","poor.JPT.MOFval.ind16.CNT","poor.JPT.MOFval.ind17.CNT","poor.JPT.MOFval.ind18.CNT","poor.JPT.MOFval.ind19.CNT","poor.JPT.MOFval.ind20.CNT","poor.JPT.MOFval.ind21.CNT","poor.JPT.MOFval.ind22.CNT","poor.JPT.MOFval.ind23.CNT","poor.JPT.MOFval.ind24.CNT","poor.JPT.MOFval.ind25.CNT","poor.JPT.MOFval.ind26.CNT","poor.JPT.MOFval.ind27.CNT","poor.JPT.MOFval.ind28.CNT","poor.JPT.MOFval.ind29.CNT","poor.JPT.MOFval.ind30.CNT","poor.JPT.MOFval.ind31.CNT","province_ID"
3101,2887,9793,2939,2419,0,1353,0,1319,22,1.7111489951686,5,4,0,161,401,261,109,119,189,83,1234,151,501,11,2,148,5,0,152,701,742,62,987,1076,1142,202,15,7,0,19,166,"31"
3102,177,685,163,142,0,3,0,139,0,0.317346801948778,0,0,0,0,0,6,2,1,0,0,2,2,0,0,0,10,0,0,3,19,76,47,8,56,50,0,0,0,0,0,0,"31"
3103,1278,4732,1573,1269,0,810,0,464,16,1.76316118544454,0,0,0,32,81,25,19,12,11,21,793,13,65,1,0,100,0,0,39,118,330,44,108,333,375,27,10,6,0,0,37,"31"
3104,1754,6415,2317,1913,0,657,0,1375,12,2.22049401058594,0,3,0,58,93,252,65,52,15,36,615,40,142,8,3,114,2,0,65,481,902,154,369,637,710,74,12,3,0,21,109,"31"
3105,1365,4884,1382,1223,0,820,0,575,1,2.58863371785374,0,0,0,45,206,229,15,39,18,5,796,33,127,4,0,87,9,0,69,262,353,17,26,593,627,149,0,1,1,47,63,"31"
3106,283,1093,449,402,0,41,0,362,2,0.840195627638674,0,0,0,0,0,4,8,11,0,0,34,0,5,0,0,0,0,0,3,23,301,45,48,194,198,2,0,2,0,0,4,"31"
3107,1184,4036,1344,1194,0,759,0,509,20,1.42729065805989,0,1,0,165,72,236,12,37,6,14,720,5,49,5,1,119,8,0,76,225,279,55,70,517,574,119,13,7,0,3,56,"31"
3108,662,2738,1015,841,0,148,0,682,21,1.85389295476589,0,0,0,5,4,5,3,2,2,1,145,21,0,0,1,91,0,0,33,106,316,295,395,194,232,0,19,3,2,0,4,"31"
3109,254,875,379,286,0,97,0,179,16,0.921243356418103,0,0,0,0,5,9,8,3,1,1,92,0,0,2,0,9,0,0,5,26,120,37,12,74,89,4,6,10,2,0,1,"31"
3110,563,2032,719,535,0,243,0,331,0,0.819810294365528,0,0,0,6,40,72,14,9,12,2,231,6,44,2,0,0,1,0,6,116,212,36,0,204,204,10,0,0,0,0,3,"31"
3111,1395,5573,1816,1436,0,925,0,588,18,1.76588497153187,2,2,0,62,117,165,17,33,36,22,874,49,163,8,0,92,0,0,56,237,356,44,292,648,655,81,9,9,3,19,99,"31"
3112,257,1039,255,237,0,57,0,180,3,0.642746725246115,0,0,0,0,3,2,0,5,3,8,41,0,2,2,0,20,0,0,3,11,131,39,17,64,70,0,3,0,0,0,2,"31"
3113,175,493,249,184,0,39,0,149,0,0.932684509326845,0,0,0,0,6,0,6,2,0,0,37,0,0,0,0,7,0,0,4,42,77,41,14,41,38,0,0,0,0,0,4,"31"
3114,563,2279,558,497,0,255,0,285,4,1.37213218850943,0,2,0,8,85,41,3,36,9,3,229,27,51,1,0,34,0,0,3,20,251,17,0,175,189,14,4,0,0,2,51,"31"
3115,84,270,91,82,0,29,0,57,0,0.303175952970755,0,0,0,1,0,0,0,4,7,0,20,1,0,0,0,5,0,0,1,5,7,45,26,28,16,0,0,0,0,0,0,"31"
