"amphur_ID","poor.household.CNT","poor.JPT.CNT","poor.JPT.MOFreg.CNT","poor.JPT.MOFval.CNT","poor.JPT.MOFval.health","poor.JPT.MOFval.living","poor.JPT.MOFval.education","poor.JPT.MOFval.income","poor.JPT.MOFval.accessibility","JPT.MOFval.pov.rate","poor.JPT.MOFval.ind1.CNT","poor.JPT.MOFval.ind2.CNT","poor.JPT.MOFval.ind3.CNT","poor.JPT.MOFval.ind4.CNT","poor.JPT.MOFval.ind5.CNT","poor.JPT.MOFval.ind6.CNT","poor.JPT.MOFval.ind7.CNT","poor.JPT.MOFval.ind8.CNT","poor.JPT.MOFval.ind9.CNT","poor.JPT.MOFval.ind10.CNT","poor.JPT.MOFval.ind11.CNT","poor.JPT.MOFval.ind12.CNT","poor.JPT.MOFval.ind13.CNT","poor.JPT.MOFval.ind14.CNT","poor.JPT.MOFval.ind15.CNT","poor.JPT.MOFval.ind16.CNT","poor.JPT.MOFval.ind17.CNT","poor.JPT.MOFval.ind18.CNT","poor.JPT.MOFval.ind19.CNT","poor.JPT.MOFval.ind20.CNT","poor.JPT.MOFval.ind21.CNT","poor.JPT.MOFval.ind22.CNT","poor.JPT.MOFval.ind23.CNT","poor.JPT.MOFval.ind24.CNT","poor.JPT.MOFval.ind25.CNT","poor.JPT.MOFval.ind26.CNT","poor.JPT.MOFval.ind27.CNT","poor.JPT.MOFval.ind28.CNT","poor.JPT.MOFval.ind29.CNT","poor.JPT.MOFval.ind30.CNT","poor.JPT.MOFval.ind31.CNT","province_ID"
5301,3804,11810,4070,3076,402,395,983,1677,0,3.60048224924795,2,2,1,9,46,394,349,30,2,1,382,47,24,0,0,894,2,0,90,446,1345,27,527,908,731,38,2,1,2,51,66,"53"
5302,1057,3565,1403,1019,100,19,114,845,0,3.97487907629895,0,0,0,4,9,20,89,11,0,0,12,2,0,1,0,95,0,0,19,34,791,38,9,231,138,9,0,0,0,0,2,"53"
5303,1762,4919,2519,1873,483,174,451,1052,0,7.10465425027501,0,0,0,77,166,93,254,36,0,0,145,0,21,0,0,279,0,0,189,58,982,52,92,881,843,63,0,2,0,0,0,"53"
5304,1526,5152,2518,1889,41,444,667,908,0,6.44314073265571,0,0,0,4,14,33,23,3,259,326,139,0,1,0,0,497,4,0,176,199,734,9,118,692,695,5,0,0,0,4,4,"53"
5305,2,9,4,3,0,0,3,0,0,0.0264433671220802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,"53"
5306,112,414,164,135,2,0,132,1,0,1.4033264033264,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,1,0,1,32,16,0,0,0,0,0,0,"53"
5307,3358,10331,4061,3025,316,295,860,2060,0,6.27554301599486,0,6,0,94,63,362,168,12,3,3,287,5,27,0,1,732,6,0,129,463,1728,3,204,938,790,64,3,4,0,6,12,"53"
5308,618,2354,725,537,33,18,406,85,0,1.30232332541107,0,0,0,2,2,36,29,0,0,0,18,0,0,0,0,383,0,0,26,43,55,0,42,129,100,0,0,0,0,0,0,"53"
5309,478,1641,840,618,84,40,275,277,0,2.99738092928509,9,0,0,0,66,7,11,6,0,0,34,0,3,0,0,239,2,0,34,64,215,6,62,247,227,0,0,0,0,2,0,"53"
