"village_ID","household.CNT","HOUSEMEMBER_CNT","MOF_REG_CNT","MOF_VAL_CNT","ELDERLY_CNT","DISABLED_CNT","CHRONICPATIENT_CNT","happiness","indicator1.ALL","indicator2.ALL","indicator3.ALL","indicator4.ALL","indicator5.ALL","indicator6.ALL","indicator7.ALL","indicator8.ALL","indicator9.ALL","indicator10.ALL","indicator11.ALL","indicator12.ALL","indicator13.ALL","indicator14.ALL","indicator15.ALL","indicator16.ALL","indicator17.ALL","indicator18.ALL","indicator19.ALL","indicator20.ALL","indicator21.ALL","indicator22.ALL","indicator23.ALL","indicator24.ALL","indicator25.ALL","indicator26.ALL","indicator27.ALL","indicator28.ALL","indicator29.ALL","indicator30.ALL","indicator31.ALL","indicator1.CNT","indicator2.CNT","indicator3.CNT","indicator4.CNT","indicator5.CNT","indicator6.CNT","indicator7.CNT","indicator8.CNT","indicator9.CNT","indicator10.CNT","indicator11.CNT","indicator12.CNT","indicator13.CNT","indicator14.CNT","indicator15.CNT","indicator16.CNT","indicator17.CNT","indicator18.CNT","indicator19.CNT","indicator20.CNT","indicator21.CNT","indicator22.CNT","indicator23.CNT","indicator24.CNT","indicator25.CNT","indicator26.CNT","indicator27.CNT","indicator28.CNT","indicator29.CNT","indicator30.CNT","indicator31.CNT","province_ID"
"3408020601",135,540,196,172,81,2,4,8.91111111111111,0,0,240,540,540,535,540,540,540,540,540,540,540,540,60,231,0,0,527,518,268,540,540,540,540,540,268,8,15,540,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,65,162,162,0,0,0,0,0,0,"34"
"3408020701",43,178,64,58,24,1,0,8.7906976744186,0,0,100,178,178,173,178,178,178,178,178,178,178,178,31,81,10,0,174,174,72,178,178,178,178,178,72,2,0,178,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34"
"3408020801",138,524,166,151,72,3,3,8.79710144927536,15,15,282,524,524,516,524,524,524,524,524,524,524,524,61,272,4,0,509,504,259,524,524,524,524,524,259,15,15,524,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34"
"3408020901",91,302,82,78,22,0,0,8.49450549450549,10,10,157,302,302,290,302,302,302,302,302,302,302,302,48,143,4,0,296,294,70,302,302,302,302,302,70,0,0,302,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,"34"
"3408021001",100,266,122,111,55,3,1,8.98,0,0,28,266,266,264,266,266,266,266,266,266,266,266,0,44,7,0,254,254,116,266,266,266,266,266,116,10,4,266,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,"34"
"3408021101",118,256,95,92,52,0,5,8.38983050847458,0,0,26,256,256,252,256,256,256,256,256,256,256,256,15,23,0,0,235,231,104,256,256,256,256,256,104,0,13,256,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34"
"3408030101",161,588,191,161,101,6,11,7.6583850931677,0,0,317,588,588,582,588,588,588,588,588,588,588,588,74,250,10,0,564,564,312,588,588,588,588,588,312,28,41,588,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,67,109,0,0,0,0,0,0,"34"
"3408030201",72,337,81,75,53,2,10,8.02777777777778,0,0,165,337,337,336,337,337,337,337,337,337,337,337,68,169,4,0,332,332,191,337,337,337,337,337,191,13,49,337,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,6,11,0,0,9,234,0,0,0,0,0,0,"34"
"3408030301",103,334,102,92,43,0,4,7.96116504854369,0,0,108,334,334,330,334,334,334,334,334,334,334,334,41,91,0,0,326,326,116,334,334,334,334,334,116,0,16,334,334,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,18,0,0,0,169,0,0,0,0,0,0,"34"
"3408030401",148,390,178,153,61,4,13,7.85135135135135,0,0,157,390,390,386,390,390,390,390,390,390,390,390,48,143,0,0,365,363,143,390,390,390,390,390,143,15,45,390,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,"34"
"3408030501",69,235,85,77,35,2,1,7.88405797101449,0,0,104,235,235,225,235,235,235,235,235,235,235,235,32,112,0,0,225,225,96,235,235,235,235,235,96,5,6,235,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,1,0,0,0,151,0,0,0,0,0,0,"34"
"3408030601",70,286,70,65,36,1,2,9.71428571428571,0,0,122,286,286,283,286,286,286,286,286,286,286,286,43,124,0,0,285,285,150,286,286,286,286,286,150,4,9,286,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34"
"3408030701",51,148,51,50,33,0,0,9.66666666666667,0,0,17,148,148,144,148,148,148,148,148,148,148,148,7,14,0,0,148,148,71,148,148,148,148,148,71,0,0,148,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34"
"3408030801",154,453,141,126,80,6,9,9.6038961038961,0,0,162,453,453,452,453,453,453,453,453,453,453,453,53,142,2,0,417,412,187,453,453,453,453,453,194,17,33,453,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34"
"3408030901",61,251,85,79,33,0,0,9.62295081967213,0,0,118,251,251,251,251,251,251,251,251,251,251,251,37,109,0,0,247,247,99,251,251,251,251,251,99,0,0,251,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34"
"3408031001",90,258,113,105,49,0,0,9.47777777777778,0,0,22,258,258,250,258,258,258,258,258,258,258,258,8,21,0,0,245,245,113,258,258,258,258,258,113,0,0,258,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34"
"3408040101",116,340,94,88,58,1,0,10,0,0,121,340,340,331,340,340,340,340,340,340,340,340,27,94,4,0,314,314,136,340,340,340,340,340,136,4,0,340,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34"
"3408040201",167,551,172,156,111,3,0,9.82634730538922,0,0,121,551,551,532,111,551,551,551,551,551,551,551,17,129,0,0,532,529,292,551,551,551,551,551,292,12,0,551,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34"
"3408040301",117,443,114,99,57,7,0,10,0,0,210,443,443,438,443,443,443,443,443,443,443,443,54,212,0,0,441,439,191,443,441,443,443,443,197,26,0,443,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34"
"3408040401",227,846,218,203,111,13,14,10,0,0,493,846,846,826,846,846,846,846,846,846,846,846,184,436,0,0,814,814,312,846,838,846,846,846,312,58,43,846,846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34"
"3408040501",154,586,262,241,83,1,0,10,0,0,235,586,586,580,549,586,586,586,586,586,586,586,63,241,0,0,576,574,262,586,586,586,586,586,262,4,0,586,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34"
"3408040601",115,347,107,103,54,6,3,10,0,0,142,347,347,340,347,347,347,347,347,347,347,347,33,154,0,0,333,327,138,347,347,347,347,347,140,18,10,347,347,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34"
