"amphur_ID","household.CNT","HOUSEMEMBER_CNT","MOF_REG_CNT","MOF_VAL_CNT","ELDERLY_CNT","DISABLED_CNT","CHRONICPATIENT_CNT","happiness","indicator1.ALL","indicator2.ALL","indicator3.ALL","indicator4.ALL","indicator5.ALL","indicator6.ALL","indicator7.ALL","indicator8.ALL","indicator9.ALL","indicator10.ALL","indicator11.ALL","indicator12.ALL","indicator13.ALL","indicator14.ALL","indicator15.ALL","indicator16.ALL","indicator17.ALL","indicator18.ALL","indicator19.ALL","indicator20.ALL","indicator21.ALL","indicator22.ALL","indicator23.ALL","indicator24.ALL","indicator25.ALL","indicator26.ALL","indicator27.ALL","indicator28.ALL","indicator29.ALL","indicator30.ALL","indicator31.ALL","indicator1.CNT","indicator2.CNT","indicator3.CNT","indicator4.CNT","indicator5.CNT","indicator6.CNT","indicator7.CNT","indicator8.CNT","indicator9.CNT","indicator10.CNT","indicator11.CNT","indicator12.CNT","indicator13.CNT","indicator14.CNT","indicator15.CNT","indicator16.CNT","indicator17.CNT","indicator18.CNT","indicator19.CNT","indicator20.CNT","indicator21.CNT","indicator22.CNT","indicator23.CNT","indicator24.CNT","indicator25.CNT","indicator26.CNT","indicator27.CNT","indicator28.CNT","indicator29.CNT","indicator30.CNT","indicator31.CNT","province_ID"
7201,42462,117771,22692,18153,25693,892,2826,8.01316471197777,500,425,40379,117771,117771,113921,117378,117771,117771,117771,117763,117771,117771,117771,12610,37547,590,148,109432,108438,65284,117663,117671,117771,117771,117767,65524,3304,8725,117771,117770,0,0,0,60,1477,165,323,34,15,17,268,36,110,16,6,3260,12,0,62,311,1563,2,1,18423,9672,427,12,0,0,23,42,"72"
7202,18195,55054,13200,10528,13747,600,1891,8.19989007969222,487,337,20373,55054,55054,53855,54752,55054,55054,55054,55054,55054,55054,55054,6087,18810,426,52,50679,49958,33905,55045,54968,55054,55054,55054,34010,2092,5130,55054,55054,0,0,0,24,131,307,1050,29,60,68,803,1358,34,27,0,4439,0,0,172,367,1653,4,386,6250,6490,155,7,0,4,17,42,"72"
7203,20416,48146,10626,9563,8349,496,946,8.09801136363636,460,287,16927,48146,48146,43957,47648,48144,48144,48144,48142,48138,48138,48138,5027,15297,268,3,44582,44165,19055,48121,48091,48125,48122,48122,19157,1593,2490,48101,48109,6,0,18,61,34,2048,1266,12,7,3,849,963,47,36,12,1886,16,0,236,187,767,77,24,12171,13141,68,15,2,3,134,264,"72"
7204,18742,51723,10447,8476,12805,567,1776,8.02411695656814,394,235,17568,51723,51723,50111,51347,51723,51723,51723,51723,51723,51723,51723,5588,16405,253,22,47034,46497,30669,51719,51645,51689,51682,51681,30765,2065,5202,51671,51667,4,0,0,12,306,1488,247,50,7,0,486,602,134,26,12,2977,4,0,93,583,2175,27,7440,5073,5390,168,28,2,6,569,85,"72"
7205,15727,42390,9401,7639,10484,367,1578,8.56164557766898,246,151,13758,42390,42390,41311,42213,42390,42390,42390,42388,42390,42390,42390,4034,12891,252,28,38715,38273,24937,42379,42356,42383,42383,42382,24985,1259,4004,42381,42382,0,0,4,1404,1242,1597,332,10,2,0,1751,117,1173,23,0,1802,9,0,94,652,2581,96,3755,6439,8352,1802,15,2,0,1126,157,"72"
7206,13280,32340,5645,4591,6648,359,1196,7.97048192771084,218,140,11034,32340,32340,30520,32162,32340,32340,32340,32328,32340,32340,32340,3273,10041,468,25,29712,29401,15206,32340,32314,32340,32340,32340,15347,1283,3022,32340,32340,0,0,0,77,351,674,195,86,100,52,719,579,276,16,4,1781,17,0,106,254,1507,69,1458,5768,6540,151,0,0,0,240,27,"72"
7207,29652,93831,18585,15291,17411,830,1714,8.18676649129907,1173,859,41621,93831,93831,90834,93510,93831,93831,93831,93831,93831,93831,93831,13654,38512,1029,46,88623,87876,49198,92800,93803,93826,93822,93822,49401,3365,5197,93822,93822,0,5,0,13,19,15,72,19,1,2,114,89,22,30,0,6548,0,0,119,240,357,37,327,8552,9976,2,5,5,4,6,9,"72"
7208,14820,43705,10726,8327,10115,385,984,7.92300944669366,290,217,15311,43705,43705,42459,43565,43705,43705,43705,43705,43705,43705,43705,4843,13806,441,0,40850,40491,25527,43693,43652,43690,43690,43690,25584,1403,3062,43690,43690,0,0,0,0,0,0,1,158,0,0,0,4,0,1,0,1469,0,0,6,4,142,0,8,3564,3053,4,6,7,0,0,0,"72"
7209,23790,75678,19521,14969,16148,1057,4176,8.39453551912568,573,366,29713,75678,75678,73970,75497,75678,75678,75678,75678,75678,75678,75678,9397,27600,1617,29,71332,70640,43559,75446,75653,75678,75678,75678,43812,3993,12260,75678,75667,0,0,0,63,100,156,224,25,1,0,364,35,37,3,17,2030,56,0,125,519,6834,59,7978,13716,13652,174,0,0,0,7,80,"72"
7210,12944,39489,9613,7747,7918,380,894,7.6209826946848,198,173,14233,39489,39489,38500,39282,39489,39489,39489,39487,39489,39489,39489,4868,13376,394,9,37397,37053,20627,39489,39437,39481,39481,39481,20716,1367,2626,39481,39481,0,0,0,248,657,217,328,45,47,32,5344,3916,2007,26,10,2294,27,0,417,487,2228,310,3738,7954,9195,605,32,7,4,308,680,"72"
