"amphur_ID","poor.household.CNT","poor.JPT.CNT","poor.JPT.MOFreg.CNT","poor.JPT.MOFval.CNT","poor.JPT.MOFval.health","poor.JPT.MOFval.living","poor.JPT.MOFval.education","poor.JPT.MOFval.income","poor.JPT.MOFval.accessibility","JPT.MOFval.pov.rate","poor.JPT.MOFval.ind1.CNT","poor.JPT.MOFval.ind2.CNT","poor.JPT.MOFval.ind3.CNT","poor.JPT.MOFval.ind4.CNT","poor.JPT.MOFval.ind5.CNT","poor.JPT.MOFval.ind6.CNT","poor.JPT.MOFval.ind7.CNT","poor.JPT.MOFval.ind8.CNT","poor.JPT.MOFval.ind9.CNT","poor.JPT.MOFval.ind10.CNT","poor.JPT.MOFval.ind11.CNT","poor.JPT.MOFval.ind12.CNT","poor.JPT.MOFval.ind13.CNT","poor.JPT.MOFval.ind14.CNT","poor.JPT.MOFval.ind15.CNT","poor.JPT.MOFval.ind16.CNT","poor.JPT.MOFval.ind17.CNT","poor.JPT.MOFval.ind18.CNT","poor.JPT.MOFval.ind19.CNT","poor.JPT.MOFval.ind20.CNT","poor.JPT.MOFval.ind21.CNT","poor.JPT.MOFval.ind22.CNT","poor.JPT.MOFval.ind23.CNT","poor.JPT.MOFval.ind24.CNT","poor.JPT.MOFval.ind25.CNT","poor.JPT.MOFval.ind26.CNT","poor.JPT.MOFval.ind27.CNT","poor.JPT.MOFval.ind28.CNT","poor.JPT.MOFval.ind29.CNT","poor.JPT.MOFval.ind30.CNT","poor.JPT.MOFval.ind31.CNT","province_ID"
9201,3222,10783,2122,1714,747,0,590,489,10,2.38224297766473,0,0,4,485,565,48,75,216,157,55,592,386,350,199,0,544,2,2,49,147,392,0,1004,262,369,62,7,3,0,50,126,"92"
9202,1812,6846,1458,1208,276,0,497,506,1,2.26475936931701,0,0,0,19,14,56,251,6,4,0,80,31,66,5,0,481,0,0,20,162,367,8,646,178,419,30,1,0,0,2,4,"92"
9203,1117,5038,944,725,2,0,533,206,2,1.88856182760687,0,0,0,0,0,2,2,0,0,0,0,2,0,2,0,533,0,0,0,17,198,0,42,189,278,0,0,2,0,0,0,"92"
9204,1526,6224,1481,1276,133,0,894,309,1,2.70442117756772,0,0,0,25,29,131,97,8,0,0,56,7,8,0,0,873,1,0,25,123,186,15,680,121,334,39,1,0,0,6,1,"92"
9205,961,3611,960,826,277,0,108,568,1,3.06288935034115,0,0,0,75,179,94,48,39,35,34,236,25,145,5,1,26,5,0,76,320,267,57,460,178,455,75,1,0,0,35,30,"92"
9206,1692,7094,1071,911,108,0,531,339,0,1.59684487291849,0,0,0,4,54,28,50,11,7,7,126,13,21,7,0,484,0,0,47,104,197,57,322,246,348,54,0,0,0,8,16,"92"
9207,1583,5078,1052,865,486,0,130,313,0,3.11106315638038,0,0,0,3,223,12,312,5,1,2,28,0,7,1,0,95,2,0,37,24,298,0,346,244,301,15,0,0,0,0,3,"92"
9208,1293,4409,1144,911,338,0,18,655,4,3.08907802380387,2,0,0,172,86,94,101,9,1,7,143,13,61,2,0,9,4,0,5,298,410,32,518,294,382,44,4,0,0,14,13,"92"
9209,534,2120,333,291,51,0,140,127,0,1.36741694469245,2,0,0,0,25,33,25,0,0,0,32,5,5,6,0,128,0,0,12,43,81,14,53,103,134,29,0,0,0,6,7,"92"
9210,593,2324,690,572,87,0,284,274,3,5.32390171258377,2,1,0,2,26,38,63,2,6,22,105,2,8,0,0,256,3,0,28,71,199,16,280,97,265,18,0,3,0,1,0,"92"
