"village_ID","household.CNT","HOUSEMEMBER_CNT","MOF_REG_CNT","MOF_VAL_CNT","ELDERLY_CNT","DISABLED_CNT","CHRONICPATIENT_CNT","happiness","indicator1.ALL","indicator2.ALL","indicator3.ALL","indicator4.ALL","indicator5.ALL","indicator6.ALL","indicator7.ALL","indicator8.ALL","indicator9.ALL","indicator10.ALL","indicator11.ALL","indicator12.ALL","indicator13.ALL","indicator14.ALL","indicator15.ALL","indicator16.ALL","indicator17.ALL","indicator18.ALL","indicator19.ALL","indicator20.ALL","indicator21.ALL","indicator22.ALL","indicator23.ALL","indicator24.ALL","indicator25.ALL","indicator26.ALL","indicator27.ALL","indicator28.ALL","indicator29.ALL","indicator30.ALL","indicator31.ALL","indicator1.CNT","indicator2.CNT","indicator3.CNT","indicator4.CNT","indicator5.CNT","indicator6.CNT","indicator7.CNT","indicator8.CNT","indicator9.CNT","indicator10.CNT","indicator11.CNT","indicator12.CNT","indicator13.CNT","indicator14.CNT","indicator15.CNT","indicator16.CNT","indicator17.CNT","indicator18.CNT","indicator19.CNT","indicator20.CNT","indicator21.CNT","indicator22.CNT","indicator23.CNT","indicator24.CNT","indicator25.CNT","indicator26.CNT","indicator27.CNT","indicator28.CNT","indicator29.CNT","indicator30.CNT","indicator31.CNT","province_ID"
"7601030101",229,919,186,146,177,3,0,8.35807860262009,0,0,459,919,919,907,910,919,919,919,919,919,919,919,107,418,49,0,889,884,618,919,905,919,919,919,618,13,0,919,919,0,0,0,0,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,4,82,0,0,160,220,0,0,0,0,0,0,"76"
"7601030201",129,446,165,108,94,4,0,8.24031007751938,0,0,168,446,446,437,446,446,446,446,446,446,446,446,53,165,0,0,436,436,278,446,446,446,446,446,278,23,0,446,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,40,0,0,83,154,0,0,0,0,0,0,"76"
"7601030301",129,376,85,67,78,7,25,8.29457364341085,0,0,107,376,376,372,376,376,376,376,376,376,376,376,15,125,0,17,356,354,213,376,376,376,376,376,213,23,88,376,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,63,0,0,101,131,0,0,0,0,0,0,"76"
"7601030401",64,249,30,27,59,4,0,8.46875,0,0,116,249,249,243,249,249,249,249,249,249,249,249,27,84,0,8,241,241,187,249,249,249,249,249,187,20,0,249,249,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,45,39,0,0,80,62,0,0,0,0,0,0,"76"
"7601030501",80,289,82,65,60,1,14,8.0625,0,0,94,289,289,289,289,289,289,289,289,289,289,289,31,83,0,0,274,274,194,289,289,289,289,289,194,4,53,289,289,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,181,164,0,0,0,0,0,0,"76"
"7601030601",84,241,57,44,69,1,0,8,0,0,92,241,241,237,241,241,241,241,241,241,241,241,24,69,0,0,215,214,169,241,241,241,241,241,169,10,0,241,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,90,0,0,13,8,0,0,0,0,0,0,"76"
"7601030701",68,193,39,32,57,3,0,8.32352941176471,0,0,64,193,193,191,193,193,193,193,193,193,193,193,5,69,0,17,171,165,134,193,193,193,193,193,134,11,0,193,193,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,15,38,0,0,48,98,0,0,0,0,0,0,"76"
"7601030801",39,145,28,22,32,1,0,8.23076923076923,0,0,60,145,145,140,145,145,145,145,145,145,145,145,21,47,0,0,144,144,101,145,145,145,145,145,101,3,0,145,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,"76"
"7601030901",178,703,115,93,133,6,0,8.40449438202247,0,0,315,703,703,691,703,703,703,703,703,703,703,703,142,288,0,0,684,683,483,703,703,703,703,703,486,37,0,703,703,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,"76"
"7601040101",86,304,54,38,68,1,6,7.94186046511628,0,0,125,304,304,298,300,304,304,304,304,304,304,304,25,125,9,0,296,296,186,304,304,304,304,304,186,5,13,304,304,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,36,0,0,0,0,0,0,"76"
"7601040201",49,187,40,29,34,1,1,7.97959183673469,0,0,100,187,187,186,187,187,187,187,187,187,187,187,47,52,5,0,184,181,101,187,187,187,187,187,101,3,1,187,187,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,28,0,0,0,0,0,0,"76"
"7601040301",116,335,37,25,87,0,0,8.57758620689655,0,0,108,335,335,330,331,335,335,335,335,335,335,335,26,93,0,0,312,312,201,335,335,335,335,335,201,0,0,335,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,103,0,0,0,0,0,0,"76"
