"amphur_ID","household.CNT","HOUSEMEMBER_CNT","MOF_REG_CNT","MOF_VAL_CNT","ELDERLY_CNT","DISABLED_CNT","CHRONICPATIENT_CNT","happiness","indicator1.ALL","indicator2.ALL","indicator3.ALL","indicator4.ALL","indicator5.ALL","indicator6.ALL","indicator7.ALL","indicator8.ALL","indicator9.ALL","indicator10.ALL","indicator11.ALL","indicator12.ALL","indicator13.ALL","indicator14.ALL","indicator15.ALL","indicator16.ALL","indicator17.ALL","indicator18.ALL","indicator19.ALL","indicator20.ALL","indicator21.ALL","indicator22.ALL","indicator23.ALL","indicator24.ALL","indicator25.ALL","indicator26.ALL","indicator27.ALL","indicator28.ALL","indicator29.ALL","indicator30.ALL","indicator31.ALL","indicator1.CNT","indicator2.CNT","indicator3.CNT","indicator4.CNT","indicator5.CNT","indicator6.CNT","indicator7.CNT","indicator8.CNT","indicator9.CNT","indicator10.CNT","indicator11.CNT","indicator12.CNT","indicator13.CNT","indicator14.CNT","indicator15.CNT","indicator16.CNT","indicator17.CNT","indicator18.CNT","indicator19.CNT","indicator20.CNT","indicator21.CNT","indicator22.CNT","indicator23.CNT","indicator24.CNT","indicator25.CNT","indicator26.CNT","indicator27.CNT","indicator28.CNT","indicator29.CNT","indicator30.CNT","indicator31.CNT","province_ID"
3301,25998,85553,33106,27544,15399,1451,954,8.59704592660974,1767,1317,37871,85553,85553,83665,84665,85553,85553,85553,85538,85553,85553,85553,12811,34127,1023,64,81403,80583,44397,85351,85399,85553,85553,85553,44643,5629,3295,85553,85553,7,46,10,4347,1688,3033,629,459,183,316,5487,1462,1797,206,27,8058,65,0,423,1745,1771,495,16200,37768,26931,1080,47,31,2,445,944,"33"
3302,7414,24054,11396,9227,4862,534,606,8.42608578365255,442,340,10159,24054,24054,23720,21188,24054,24054,24054,24053,24054,24054,24054,3147,8988,417,0,22544,22241,12912,24054,24039,24054,24054,24054,13000,1866,1864,24054,24054,0,10,0,371,88,13,201,10,1,1,337,4,10,3,0,1915,19,0,135,115,84,5,1010,7600,6881,14,0,0,0,0,6,"33"
3303,19157,62669,27067,21074,12688,759,890,8.48634963720833,1141,901,26825,62669,62669,61922,62315,62669,62669,62669,62669,62669,62669,62669,8463,24808,839,0,58669,57832,34341,62669,62598,62669,62669,62669,34523,2933,3037,62669,62669,0,10,0,9,7,0,18,5,5,0,20,10,12,11,0,2799,10,0,73,110,153,29,1496,6761,7059,4,6,0,0,4,0,"33"
3304,38859,134927,50636,44055,20677,1287,633,8.47067603386603,2531,1897,65981,134927,134927,132214,134144,134927,134927,134927,134913,134927,134927,134927,21575,60293,1567,8,129661,128589,63155,134927,134744,134927,134927,134927,63373,5258,2378,134927,134927,0,62,5,476,835,427,1150,66,55,50,1409,148,357,55,0,12732,70,0,533,1020,1046,197,17763,17643,20676,475,18,0,0,21,182,"33"
3305,30462,112707,44740,36527,19368,1634,795,7.98614667454533,2846,2054,56926,112707,112707,110906,111935,112707,112707,112707,112688,112707,112707,112707,18326,52025,1932,99,108096,107018,59429,111939,112210,112707,112707,112705,59783,6893,3100,112707,112707,0,21,22,1516,2902,754,169,262,759,592,6883,627,1726,96,7,1134,75,0,1546,2183,1029,2005,14800,28982,35022,508,28,10,0,118,1843,"33"
3306,7827,26312,10995,8602,5634,607,359,8.18372301009327,408,296,13104,26312,26312,26105,26076,26312,26312,26312,26312,26312,26312,26312,4230,11864,356,39,24283,23799,14938,26308,26288,26312,26312,26312,15022,2229,1237,26312,26312,0,2,0,11,37,187,56,6,3,14,553,33,42,16,0,3,10,0,325,380,456,70,5727,8925,9076,14,6,2,0,7,237,"33"
3307,12159,41608,17034,13874,8602,819,317,7.93807056501357,895,617,20392,41608,41608,41162,41285,41608,41608,41608,41607,41608,41608,41608,6544,18779,660,29,38608,37761,23257,41564,41399,41607,41607,41606,23382,3045,1104,41607,41608,0,18,15,77,385,97,462,164,78,37,482,232,367,23,3,4143,19,0,943,1322,878,520,7592,14274,11566,81,27,0,5,40,381,"33"
3308,19446,61013,28262,22898,11572,1013,672,8.99208063354932,984,696,28648,61013,61013,59693,60502,61013,61013,61013,61008,61013,61013,61013,9977,25187,686,19,56868,56014,30786,60921,60959,61013,61013,61012,30965,3764,2124,61013,61013,6,9,0,51,149,158,437,17,38,40,604,289,126,32,2,5805,18,0,411,300,3137,114,9020,6496,7640,301,0,27,7,25,290,"33"
3309,17750,60189,28808,20782,12336,1357,602,8.21233802816901,1907,1526,26085,60189,60189,59323,59787,60189,60189,60189,60181,60189,60189,60189,7925,23770,1246,0,56846,55942,34440,60137,60122,60189,60189,60189,34637,5171,2088,60189,60189,0,24,5,1682,686,292,1132,25,2,12,3061,50,509,32,0,5492,47,0,327,474,464,382,8050,16465,15976,297,20,4,0,145,50,"33"
3310,20064,67355,31930,24709,16193,1609,1676,8.40006977671451,2272,1789,31031,67355,67355,66530,66771,67355,67355,67355,67354,67355,67355,67355,9941,28241,859,16,62111,60628,42369,66883,67168,67355,67355,67354,42588,5983,5495,67355,67355,9,16,0,8,35,53,96,37,3,8,182,24,63,10,0,1686,3,0,167,246,319,133,1823,14282,16079,144,0,0,0,16,18,"33"
3311,2166,7183,3992,3216,1734,358,353,8.32963988919668,37,25,3151,7183,7183,7086,7107,7183,7183,7183,7183,7183,7183,7183,1066,2851,128,7,6662,6506,4654,7183,7156,7183,7183,7183,4667,1304,1118,7183,7183,0,0,0,104,10,76,53,7,2,0,18,2,7,3,0,0,3,0,19,173,168,28,1018,3003,2503,0,0,6,0,0,44,"33"
3312,7471,26821,11796,9573,5057,359,153,8.14897604069067,611,419,13607,26821,26821,26501,26642,26821,26821,26821,26821,26821,26821,26821,4419,12733,799,70,25150,24710,14861,26695,26659,26821,26821,26821,14928,1443,534,26821,26821,0,13,0,37,0,260,15,17,0,0,184,45,98,17,0,282,3,0,204,113,271,119,4645,8674,8634,34,0,4,0,7,105,"33"
3313,7605,29105,8215,6988,4727,449,763,8.27337278106509,815,594,15498,29105,29105,28676,28897,29105,29105,29105,29105,29105,29105,29105,4584,14072,95,18,28093,27833,15167,29102,29074,29096,29096,29096,15233,1987,2953,29091,29091,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3376,0,0,0,0,0,24,0,8288,8770,0,9,0,0,0,0,"33"
3314,9249,35852,11553,10292,5610,573,354,8.18553357119689,735,557,19193,35852,35852,35208,35651,35852,35852,35852,35852,35852,35852,35852,6685,17488,686,4,34405,34172,17813,35841,35809,35852,35852,35852,17984,2480,1278,35852,35852,0,21,0,102,219,61,22,16,18,1,1267,14,55,10,8,4508,63,0,239,119,520,271,5721,6588,7088,214,0,6,0,21,308,"33"
3315,8381,31917,14357,12303,4924,389,298,8.30461758740007,640,409,17707,31917,31917,31319,31760,31917,31917,31917,31917,31917,31917,31917,5904,16119,187,14,30769,30453,15651,31836,31864,31917,31917,31917,15683,1581,1139,31917,31917,0,11,0,435,157,393,51,21,0,0,594,35,350,17,10,3951,25,0,158,229,137,78,7410,10281,11152,97,0,0,0,0,161,"33"
3316,9067,35132,12523,10745,5862,618,275,8.15319289731995,613,400,19346,35132,35132,34744,34858,35132,35132,35132,35125,35132,35132,35132,6849,17129,360,22,33773,33335,18537,34861,35098,35132,35132,35132,18605,2581,1090,35132,35132,5,7,0,905,516,195,27,48,3,1,1417,38,149,12,0,3474,28,0,173,271,215,13,5186,13782,11452,51,12,11,0,25,875,"33"
3317,9465,31640,13742,12490,5000,610,214,7.57263602746962,867,734,16275,31640,31640,30609,31199,31640,31640,31640,31631,31640,31640,31640,5521,14434,414,40,29839,29494,13347,31640,31446,31640,31640,31640,13476,2010,697,31640,31640,0,9,0,81,213,451,113,166,129,126,695,80,288,17,0,1012,26,0,511,235,255,237,11974,9451,9150,68,0,8,0,3,126,"33"
3318,3374,10622,3900,3505,2719,299,415,8.08535862477771,236,168,5404,10622,10622,10470,10506,10622,10622,10622,10618,10622,10622,10622,1566,4999,158,0,9412,9088,6513,10587,10601,10622,10622,10622,6551,1015,1285,10622,10622,0,93,4,139,0,4737,4,53,0,0,303,21,0,0,8,590,0,0,98,22,62,60,400,3593,3743,0,0,0,0,0,1,"33"
3319,6593,22778,8353,7162,3552,211,226,8.32033975428485,276,219,10055,22778,22778,22479,22759,22778,22778,22778,22778,22778,22778,22778,3141,9323,38,12,21902,21758,10999,22778,22683,22778,22778,22778,11040,887,802,22778,22778,0,0,0,17,11,0,24,22,0,0,31,40,41,19,0,2123,0,0,28,51,185,119,2030,5651,5596,0,7,0,0,0,19,"33"
3320,6277,22251,9874,8424,4121,283,203,8.22749721204397,394,286,10573,22251,22251,22003,22028,22251,22251,22251,22248,22251,22251,22251,3573,9574,204,32,21096,20847,12097,22194,22251,22251,22251,22251,12136,1090,710,22251,22251,0,6,0,259,328,119,19,0,42,23,754,33,255,11,0,2180,11,0,306,186,189,144,5630,5510,6524,166,12,0,0,2,20,"33"
3321,4405,17223,7204,5751,3512,397,166,8.41248581157775,741,662,8933,17223,17223,17077,17084,17223,17223,17223,17223,17223,17223,17223,3043,7856,152,14,16464,16223,10791,17223,17195,17223,17223,17223,10864,1723,602,17223,17223,0,14,0,112,103,163,25,0,13,5,43,19,13,10,0,0,13,0,83,122,137,18,459,6281,7213,32,3,0,0,0,42,"33"
3322,4169,13594,6313,4448,3081,359,255,8.33437275125929,346,276,5737,13594,13594,13468,13488,13594,13594,13594,13594,13594,13594,13594,1903,5142,179,0,12483,12172,7910,13594,13579,13594,13594,13594,7975,1291,898,13594,13594,0,0,0,426,52,222,10,0,5,5,251,0,23,7,0,814,8,0,47,134,483,22,628,4004,3454,82,12,3,0,6,55,"33"
