"amphur_ID","poor.household.CNT","poor.JPT.CNT","poor.JPT.MOFreg.CNT","poor.JPT.MOFval.CNT","poor.JPT.MOFval.health","poor.JPT.MOFval.living","poor.JPT.MOFval.education","poor.JPT.MOFval.income","poor.JPT.MOFval.accessibility","JPT.MOFval.pov.rate","poor.JPT.MOFval.ind1.CNT","poor.JPT.MOFval.ind2.CNT","poor.JPT.MOFval.ind3.CNT","poor.JPT.MOFval.ind4.CNT","poor.JPT.MOFval.ind5.CNT","poor.JPT.MOFval.ind6.CNT","poor.JPT.MOFval.ind7.CNT","poor.JPT.MOFval.ind8.CNT","poor.JPT.MOFval.ind9.CNT","poor.JPT.MOFval.ind10.CNT","poor.JPT.MOFval.ind11.CNT","poor.JPT.MOFval.ind12.CNT","poor.JPT.MOFval.ind13.CNT","poor.JPT.MOFval.ind14.CNT","poor.JPT.MOFval.ind15.CNT","poor.JPT.MOFval.ind16.CNT","poor.JPT.MOFval.ind17.CNT","poor.JPT.MOFval.ind18.CNT","poor.JPT.MOFval.ind19.CNT","poor.JPT.MOFval.ind20.CNT","poor.JPT.MOFval.ind21.CNT","poor.JPT.MOFval.ind22.CNT","poor.JPT.MOFval.ind23.CNT","poor.JPT.MOFval.ind24.CNT","poor.JPT.MOFval.ind25.CNT","poor.JPT.MOFval.ind26.CNT","poor.JPT.MOFval.ind27.CNT","poor.JPT.MOFval.ind28.CNT","poor.JPT.MOFval.ind29.CNT","poor.JPT.MOFval.ind30.CNT","poor.JPT.MOFval.ind31.CNT","province_ID"
3101,3722,15761,4032,3373,0,1353,2164,0,22,2.38598824336656,3,4,0,167,394,242,92,119,189,83,1234,152,504,7,3,1818,19,0,372,248,226,5,1045,1338,1395,162,15,7,0,22,171,"31"
3102,640,3117,498,412,0,3,409,0,0,0.920752692978143,0,0,0,0,0,2,0,1,0,0,2,3,0,0,0,386,1,0,22,2,6,5,19,91,96,0,0,0,0,0,0,"31"
3103,2383,10645,3052,2473,0,810,1730,0,16,3.43601072624456,0,0,0,33,87,29,15,12,11,21,793,16,66,1,1,1476,18,0,261,35,43,5,150,528,573,27,10,6,0,1,36,"31"
3104,2233,10059,2919,2418,0,657,1829,0,12,2.80666728572755,0,0,0,48,112,190,21,52,15,36,615,38,141,6,9,1647,11,0,168,103,138,19,218,766,785,63,12,3,0,17,98,"31"
3105,1845,7469,1837,1637,0,820,927,0,1,3.46491692242565,0,0,0,47,199,227,13,39,18,5,796,36,120,4,0,807,12,0,110,137,118,3,66,694,747,145,0,1,1,45,59,"31"
3106,68,258,90,82,0,41,39,0,2,0.171383187727292,0,0,0,0,1,3,0,11,0,0,34,0,5,0,0,14,0,0,25,3,0,3,16,31,26,0,0,2,0,0,0,"31"
3107,2602,11336,3236,2865,0,759,2209,0,20,3.42478034785727,0,0,0,178,75,278,12,37,6,14,720,5,52,10,6,2015,22,0,187,95,86,12,128,909,1035,145,13,7,3,2,64,"31"
3108,957,4234,1304,1086,0,148,938,0,21,2.39396878582136,0,0,0,3,4,10,0,2,2,1,145,22,0,0,1,846,5,0,88,26,33,72,513,197,255,0,19,3,2,0,4,"31"
3109,603,2601,858,618,0,97,512,0,16,1.99065872121115,0,0,0,0,1,2,5,3,1,1,92,0,0,2,2,501,2,0,12,3,8,2,16,85,104,2,6,10,2,1,0,"31"
3110,281,995,355,249,0,243,11,0,0,0.381556566910311,0,0,0,6,32,69,2,9,12,2,231,5,42,2,0,0,2,0,9,32,15,0,0,104,105,9,0,0,0,0,1,"31"
3111,2214,10515,3040,2421,0,925,1554,0,18,2.97716400841132,0,2,0,63,133,139,12,33,36,22,874,60,156,6,0,1423,7,0,125,72,106,3,526,938,998,80,9,9,3,20,103,"31"
3112,849,4315,813,750,0,57,701,0,3,2.03400862419657,0,0,0,0,5,2,0,5,3,8,41,0,2,4,0,680,0,0,23,5,7,3,126,153,172,0,3,0,0,0,0,"31"
3113,348,1475,562,419,0,39,381,0,0,2.12388483373885,0,0,0,0,6,0,1,2,0,0,37,0,0,0,0,372,2,0,9,5,10,0,16,51,52,0,0,0,0,0,76,"31"
3114,1058,5114,1208,1078,0,255,835,0,4,2.97617404268242,0,2,0,8,70,37,2,36,9,3,229,20,47,1,0,812,3,0,24,4,64,2,8,213,241,13,4,0,0,2,38,"31"
3115,620,3011,757,643,0,29,614,0,0,2.37734314341701,0,0,0,1,0,0,0,4,7,0,20,1,1,0,0,603,5,0,8,2,2,6,115,287,171,0,0,0,0,0,0,"31"
3116,630,3212,795,676,0,89,593,0,3,2.43270476464661,0,0,0,1,4,4,5,0,0,2,87,0,1,0,0,553,2,0,40,20,31,3,3,198,183,3,0,3,0,1,0,"31"
3117,422,1724,427,387,0,187,205,0,3,2.19474848295809,0,0,0,14,15,21,14,12,3,2,177,2,8,0,0,165,0,0,46,25,18,20,40,181,181,6,0,3,0,0,4,"31"
3118,812,3854,963,835,0,225,634,0,11,3.45526773152363,0,0,0,1,44,35,2,7,8,6,215,5,14,0,0,564,16,0,65,86,65,3,101,329,329,7,6,5,1,0,15,"31"
3119,410,1781,578,389,0,66,331,0,2,2.02720308510084,0,0,0,2,18,7,0,3,1,1,63,1,7,0,0,317,1,0,13,10,15,21,2,85,99,0,2,0,2,0,2,"31"
3120,512,2769,862,769,0,10,757,0,2,3.56100949293818,0,0,0,1,1,0,0,1,0,0,9,0,0,0,0,754,0,0,4,17,10,0,20,430,347,0,0,2,0,0,0,"31"
3121,667,3173,1047,801,0,159,650,0,15,3.55368234250222,0,0,0,38,22,4,2,7,4,3,152,52,12,2,3,589,9,0,49,35,27,0,8,185,220,1,0,15,0,0,14,"31"
3122,227,1022,230,215,0,162,50,0,7,0.919392773145179,0,0,0,0,1,1,0,5,0,0,158,1,1,0,1,31,3,0,15,1,3,11,0,50,69,0,0,7,0,0,2,"31"
3123,604,3140,692,583,0,57,526,0,0,1.84441140181594,0,0,0,3,3,1,0,8,0,16,39,0,0,2,0,505,5,0,16,6,10,12,3,100,79,0,0,0,0,0,1,"31"
