"amphur_ID","household.CNT","HOUSEMEMBER_CNT","MOF_REG_CNT","MOF_VAL_CNT","ELDERLY_CNT","DISABLED_CNT","CHRONICPATIENT_CNT","happiness","indicator1.ALL","indicator2.ALL","indicator3.ALL","indicator4.ALL","indicator5.ALL","indicator6.ALL","indicator7.ALL","indicator8.ALL","indicator9.ALL","indicator10.ALL","indicator11.ALL","indicator12.ALL","indicator13.ALL","indicator14.ALL","indicator15.ALL","indicator16.ALL","indicator17.ALL","indicator18.ALL","indicator19.ALL","indicator20.ALL","indicator21.ALL","indicator22.ALL","indicator23.ALL","indicator24.ALL","indicator25.ALL","indicator26.ALL","indicator27.ALL","indicator28.ALL","indicator29.ALL","indicator30.ALL","indicator31.ALL","indicator1.CNT","indicator2.CNT","indicator3.CNT","indicator4.CNT","indicator5.CNT","indicator6.CNT","indicator7.CNT","indicator8.CNT","indicator9.CNT","indicator10.CNT","indicator11.CNT","indicator12.CNT","indicator13.CNT","indicator14.CNT","indicator15.CNT","indicator16.CNT","indicator17.CNT","indicator18.CNT","indicator19.CNT","indicator20.CNT","indicator21.CNT","indicator22.CNT","indicator23.CNT","indicator24.CNT","indicator25.CNT","indicator26.CNT","indicator27.CNT","indicator28.CNT","indicator29.CNT","indicator30.CNT","indicator31.CNT","province_ID"
3601,36927,114687,40117,32282,25344,3725,2848,8.55019362526065,1523,1058,44810,114687,114687,112881,113035,114687,114687,114687,114681,114687,114687,114687,14583,39961,1128,59,107156,106054,66576,114687,114630,114682,114682,114679,66922,12126,9457,114682,114681,0,14,17,6881,413,509,216,62,23,3,597,141,303,55,12,5476,15,0,209,336,1589,5,13223,25247,23275,210,25,14,5,47,2335,"36"
3602,12957,36491,11254,8950,8379,1089,1544,8.10681484911631,320,193,14473,36491,36491,35700,36296,36491,36491,36491,36468,36491,36491,36491,4574,12882,415,13,33052,32467,19662,36491,36475,36491,36491,36491,19762,3270,4153,36491,36491,0,0,0,13,66,43,48,34,0,0,761,3,20,7,0,864,7,0,51,79,219,57,2006,11195,7182,53,0,1,0,5,235,"36"
3603,13393,42339,16551,11706,9253,1000,1390,8.12842529679683,520,299,16979,42339,42339,41718,41780,42339,42339,42339,42335,42339,42339,42339,5035,15400,306,13,39745,39402,25174,42339,42270,42339,42339,42339,25313,3608,4653,42339,42339,6,0,0,1154,780,306,104,84,14,10,1824,435,274,15,0,2710,8,0,124,308,1215,117,5274,8420,9791,22,8,38,3,2,310,"36"
3604,26280,84604,30332,23992,15631,1217,1253,8.71978691019787,1628,978,34596,84604,84604,82797,83880,84604,84604,84604,84600,84604,84604,84604,10661,30204,536,39,80849,80256,44665,84604,84529,84589,84589,84589,44820,4963,4660,84590,84591,2,18,0,638,498,12131,96,61,0,40,2066,44,194,57,16,2445,10,7,365,1126,1420,128,6549,17837,23217,306,10,16,0,64,373,"36"
3605,20648,63138,22576,20483,10192,949,1123,8.10620883378535,809,558,25995,63138,63138,61793,62667,63138,63138,63138,63135,63138,63138,63138,8162,23376,559,49,60393,60026,29607,63138,63039,63133,63133,63133,29774,3683,4180,63133,63133,0,8,0,394,949,1062,184,76,214,0,1232,275,210,27,30,3157,46,0,265,283,1234,41,7274,14186,16279,100,39,6,10,5,113,"36"
3606,19989,55645,22016,15809,13183,1312,1438,8.34819150532793,907,632,21719,55645,55645,54407,54801,55645,55645,55645,55640,55642,55642,55642,6878,19269,357,49,50358,49756,31128,55645,55368,55636,55636,55635,31312,4325,4475,55636,55643,0,13,0,326,421,1165,252,40,41,18,727,426,358,42,0,4339,23,0,140,506,1197,335,5499,10914,9823,184,16,3,5,52,240,"36"
3607,13676,40797,12007,9551,8340,1174,1109,8.04855220824803,593,355,16870,40797,40797,39687,40399,40797,40797,40797,40797,40797,40797,40797,5513,15355,773,13,37828,37368,21522,40797,40761,40795,40795,40795,21640,4103,3631,40795,40792,0,0,0,441,1104,2434,561,49,8,7,2106,293,287,22,0,2742,29,0,348,792,2384,124,5395,10947,12189,661,14,0,0,165,146,"36"
3608,8877,26734,9550,8202,4456,367,638,7.92508730426946,443,297,11763,26734,26734,25617,26467,26734,26734,26734,26729,26734,26734,26734,3628,10783,302,13,25235,25076,11472,26734,26726,26729,26729,26729,11524,1342,1953,26734,26734,0,15,0,261,449,759,96,55,14,9,1270,164,241,2,19,511,18,2,54,521,1084,226,4419,6781,7547,281,4,0,7,194,315,"36"
3609,16392,42113,17508,15923,6769,144,104,7.9163616398243,161,158,14567,42113,42113,39806,41723,42113,42113,42113,42113,42113,42113,42113,4377,13691,147,2,39385,39224,16056,42113,42113,42113,42113,42113,16081,494,367,42113,42113,0,0,0,29,11,0,6,15,0,0,118,15,26,34,0,2617,0,0,12,3,5,99,8255,107,484,15,2,4,0,4,11,"36"
3610,28469,93485,31355,23228,18286,1919,2507,8.32832203449366,1403,1021,39005,93484,93484,91851,92871,93485,93485,93485,93482,93485,93485,93485,11700,35085,1136,58,88991,88323,52159,93478,93410,93464,93460,93459,52445,7582,9215,93458,93469,0,19,75,1116,1112,1398,543,101,20,33,8935,632,360,88,7,4065,21,0,905,739,3432,454,17476,23063,23559,560,31,23,16,111,715,"36"
