"amphur_ID","poor.household.CNT","poor.JPT.CNT","poor.JPT.MOFreg.CNT","poor.JPT.MOFval.CNT","poor.JPT.MOFval.health","poor.JPT.MOFval.living","poor.JPT.MOFval.education","poor.JPT.MOFval.income","poor.JPT.MOFval.accessibility","JPT.MOFval.pov.rate","poor.JPT.MOFval.ind1.CNT","poor.JPT.MOFval.ind2.CNT","poor.JPT.MOFval.ind3.CNT","poor.JPT.MOFval.ind4.CNT","poor.JPT.MOFval.ind5.CNT","poor.JPT.MOFval.ind6.CNT","poor.JPT.MOFval.ind7.CNT","poor.JPT.MOFval.ind8.CNT","poor.JPT.MOFval.ind9.CNT","poor.JPT.MOFval.ind10.CNT","poor.JPT.MOFval.ind11.CNT","poor.JPT.MOFval.ind12.CNT","poor.JPT.MOFval.ind13.CNT","poor.JPT.MOFval.ind14.CNT","poor.JPT.MOFval.ind15.CNT","poor.JPT.MOFval.ind16.CNT","poor.JPT.MOFval.ind17.CNT","poor.JPT.MOFval.ind18.CNT","poor.JPT.MOFval.ind19.CNT","poor.JPT.MOFval.ind20.CNT","poor.JPT.MOFval.ind21.CNT","poor.JPT.MOFval.ind22.CNT","poor.JPT.MOFval.ind23.CNT","poor.JPT.MOFval.ind24.CNT","poor.JPT.MOFval.ind25.CNT","poor.JPT.MOFval.ind26.CNT","poor.JPT.MOFval.ind27.CNT","poor.JPT.MOFval.ind28.CNT","poor.JPT.MOFval.ind29.CNT","poor.JPT.MOFval.ind30.CNT","poor.JPT.MOFval.ind31.CNT","province_ID"
5501,1839,5943,2880,2515,2515,0,0,0,0,4.59906738593764,0,0,0,1673,678,785,530,16,60,69,1053,62,248,0,0,4,0,0,184,194,493,3,691,1394,788,778,0,0,0,0,0,"55"
5502,107,164,95,89,89,0,0,0,0,0.779129825790073,0,0,0,68,4,67,20,1,0,0,2,0,0,0,0,0,0,0,2,2,11,0,5,13,4,13,0,0,0,0,1,"55"
5503,99,259,139,120,120,0,0,0,0,1.4058106841612,1,0,2,71,25,7,23,0,1,2,17,8,3,0,0,2,0,0,13,0,17,3,1,38,49,0,0,0,0,0,6,"55"
5504,4140,12474,6707,5431,5431,0,0,0,0,24.0575858250277,0,0,2,5411,7,0,32,5,1,2,14,0,4,10,0,89,0,0,24,40,901,128,1560,2505,1310,4,0,0,0,0,4,"55"
5505,406,1313,579,430,430,0,0,0,0,0.929609131788309,0,0,0,104,175,88,226,21,21,38,142,10,72,1,0,10,4,0,39,79,110,26,131,175,117,55,2,0,0,5,29,"55"
5506,321,1006,587,529,529,0,0,0,0,1.54142020455141,0,0,0,436,39,406,64,1,0,0,83,6,110,0,0,0,0,0,82,7,75,4,28,272,87,2,0,0,0,0,0,"55"
5507,1636,5546,3058,2508,2508,0,0,0,0,4.77896341463415,0,0,1,1460,675,236,569,171,108,98,519,367,372,4,4,130,0,0,149,250,567,43,365,1507,993,61,8,0,0,8,102,"55"
5508,10,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"55"
5509,6,16,7,3,3,0,0,0,0,0.0149164677804296,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"55"
5510,838,2315,1498,1329,1329,0,0,0,0,13.3985280774272,0,0,0,1310,14,203,19,0,0,0,43,7,86,0,0,1,0,0,0,3,32,3,24,874,338,9,0,2,0,0,0,"55"
5511,121,415,225,200,200,0,0,0,0,1.78794922224209,0,0,0,50,124,32,56,2,20,17,69,15,13,0,0,22,0,0,41,42,27,7,97,114,81,16,0,0,0,0,0,"55"
5512,160,678,390,378,378,0,0,0,0,2.98083747338538,8,0,0,61,315,11,16,36,274,2,181,3,85,2,0,11,0,0,268,10,30,27,80,268,223,5,0,0,0,0,0,"55"
5513,34,82,45,39,39,0,0,0,0,0.439238653001464,0,0,0,3,6,0,30,0,0,0,0,0,0,0,0,0,0,0,2,1,2,4,15,21,15,3,0,0,0,0,0,"55"
5514,966,2917,1653,1359,1359,0,0,0,0,5.20669706141527,0,0,0,607,404,150,670,1,11,3,84,8,37,1,0,3,2,0,31,113,590,35,124,785,383,32,2,0,0,0,12,"55"
5515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"55"
