"village_ID","poor.household.CNT","poor.JPT.CNT","poor.JPT.MOFreg.CNT","poor.JPT.MOFval.CNT","poor.JPT.MOFval.health","poor.JPT.MOFval.living","poor.JPT.MOFval.education","poor.JPT.MOFval.income","poor.JPT.MOFval.accessibility","JPT.MOFval.pov.rate","poor.JPT.MOFval.ind1.CNT","poor.JPT.MOFval.ind2.CNT","poor.JPT.MOFval.ind3.CNT","poor.JPT.MOFval.ind4.CNT","poor.JPT.MOFval.ind5.CNT","poor.JPT.MOFval.ind6.CNT","poor.JPT.MOFval.ind7.CNT","poor.JPT.MOFval.ind8.CNT","poor.JPT.MOFval.ind9.CNT","poor.JPT.MOFval.ind10.CNT","poor.JPT.MOFval.ind11.CNT","poor.JPT.MOFval.ind12.CNT","poor.JPT.MOFval.ind13.CNT","poor.JPT.MOFval.ind14.CNT","poor.JPT.MOFval.ind15.CNT","poor.JPT.MOFval.ind16.CNT","poor.JPT.MOFval.ind17.CNT","poor.JPT.MOFval.ind18.CNT","poor.JPT.MOFval.ind19.CNT","poor.JPT.MOFval.ind20.CNT","poor.JPT.MOFval.ind21.CNT","poor.JPT.MOFval.ind22.CNT","poor.JPT.MOFval.ind23.CNT","poor.JPT.MOFval.ind24.CNT","poor.JPT.MOFval.ind25.CNT","poor.JPT.MOFval.ind26.CNT","poor.JPT.MOFval.ind27.CNT","poor.JPT.MOFval.ind28.CNT","poor.JPT.MOFval.ind29.CNT","poor.JPT.MOFval.ind30.CNT","poor.JPT.MOFval.ind31.CNT","province_ID"
"9501020101",17,99,26,16,0,0,8,9,0,2.94659300184162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,3,0,12,0,9,0,0,0,0,0,0,"95"
"9501020201",21,99,40,31,0,0,13,26,0,7.65432098765432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,24,2,9,21,0,19,0,0,0,0,0,0,"95"
"9501020301",52,248,79,67,0,0,24,52,0,12.3388581952118,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,3,23,36,20,0,57,0,36,0,0,0,0,0,26,"95"
"9501020401",37,234,90,66,0,0,27,54,0,7.81065088757396,0,0,0,0,0,0,0,2,0,0,2,0,3,0,0,0,0,0,27,32,29,3,15,2,38,4,0,0,0,0,0,"95"
"9501020501",7,27,5,2,0,0,2,0,0,0.227790432801822,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,"95"
"9501020601",4,14,4,3,0,0,0,3,0,0.313152400835073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,"95"
"9501020701",20,83,20,16,0,0,13,5,0,1.15942028985507,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2,2,11,2,0,3,6,0,12,0,0,0,0,0,0,"95"
"9501020801",110,562,179,141,0,0,47,124,0,13.782991202346,0,0,0,0,0,6,2,0,4,5,32,1,28,2,0,1,0,0,46,110,32,12,105,0,88,5,0,0,0,1,0,"95"
"9501030101",3,8,2,2,0,0,2,0,0,0.235017626321974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"95"
"9501030201",54,205,55,49,0,0,8,41,0,4.76653696498054,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,5,10,33,0,21,3,22,0,0,0,0,0,0,"95"
"9501030301",2,14,3,3,0,0,3,0,0,0.379746835443038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"95"
"9501030401",3,13,3,3,0,0,0,3,0,0.504201680672269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,"95"
"9501030501",9,42,7,4,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,"95"
"9501030601",26,125,31,25,0,0,18,8,0,3.85208012326656,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8,0,0,10,2,6,0,8,0,20,0,0,0,0,0,0,"95"
"9501040101",35,132,43,34,0,0,34,0,0,4.48548812664908,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,34,0,0,0,12,0,22,0,0,0,0,0,0,"95"
"9501040201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"95"
"9501040301",8,41,10,7,0,0,6,4,0,0.404858299595142,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,1,3,0,4,0,5,0,0,0,0,0,0,"95"
"9501040401",17,76,18,8,0,0,3,5,0,1.47329650092081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,4,0,6,0,0,0,0,0,0,"95"
"9501040501",27,117,27,15,0,0,7,8,0,1.63755458515284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,8,0,4,0,10,0,0,0,0,0,0,"95"
"9501060101",35,147,32,28,0,0,24,5,0,3.39393939393939,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,23,0,0,1,1,0,5,7,0,13,0,0,0,0,0,0,"95"
"9501060201",16,82,26,16,0,0,7,9,0,2.73972602739726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,5,14,0,0,0,0,0,0,0,0,"95"
"9501060301",26,143,27,22,0,0,7,16,0,2.60047281323877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,1,0,15,1,0,9,0,0,0,0,0,0,"95"
"9501080101",20,90,31,26,0,0,10,16,0,2.42085661080074,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,2,0,2,16,18,2,11,3,0,0,0,0,0,"95"
"9501080201",4,15,6,6,0,0,4,2,0,1.07719928186715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,"95"
"9501080301",28,114,32,26,0,0,17,9,0,2.69430051813472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,10,2,2,6,7,0,11,0,0,0,0,0,0,"95"
"9501080401",41,182,55,43,0,0,34,10,0,3.54785478547855,0,0,7,0,0,1,0,4,0,0,27,2,2,0,0,8,0,0,26,0,4,6,9,2,40,2,0,0,0,0,0,"95"
"9501080501",34,160,41,33,0,0,31,7,0,4.82456140350877,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,15,0,0,18,4,2,1,2,0,22,0,0,0,0,0,0,"95"
"9501080601",13,45,5,4,0,0,3,1,0,0.851063829787234,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,2,0,2,0,0,0,0,0,0,"95"
"9501090101",3,9,5,4,0,0,1,3,0,0.496277915632754,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,3,0,0,0,0,0,0,"95"
"9501090102",67,210,57,45,0,0,1,45,0,12.9310344827586,0,0,0,6,34,5,0,8,0,0,33,0,24,2,0,0,0,2,1,27,17,36,33,8,16,0,0,0,0,5,7,"95"
"9501090103",14,37,19,13,0,0,0,13,0,15.6626506024096,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,5,10,4,7,5,0,0,0,0,0,2,"95"
"9501090201",6,24,5,3,0,0,0,3,0,0.423131170662906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,"95"
"9501090202",45,177,53,41,0,0,10,39,3,15.9533073929961,0,0,1,1,7,24,4,2,0,0,7,0,5,0,0,0,0,0,10,7,13,35,31,1,20,1,0,3,0,2,2,"95"
"9501090301",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"95"
"9501090401",6,32,7,6,0,0,3,6,0,0.69848661233993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,1,4,0,0,0,0,0,0,0,0,"95"
"9501090402",2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"95"
"9501090501",6,22,8,7,0,0,4,3,1,1.91256830601093,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,3,3,0,1,0,0,1,0,0,0,"95"
"9501090601",7,32,9,7,0,0,0,7,0,0.867410161090459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,1,0,0,0,0,0,0,"95"
"9501090701",2,7,4,2,0,0,0,2,0,1.11731843575419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,"95"
"9501100101",23,96,31,26,0,0,8,17,1,4.77064220183486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,2,15,0,1,11,14,3,1,0,0,0,1,"95"
"9501100201",5,21,3,3,0,0,3,0,0,0.783289817232376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,"95"
"9501100301",22,112,27,16,0,0,9,7,0,2.46153846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,7,0,1,0,10,0,0,0,0,0,0,"95"
"9501100401",49,137,35,27,0,0,1,26,0,5.51020408163265,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,1,0,0,0,5,23,0,18,4,6,0,0,0,0,0,0,"95"
"9501110101",29,103,40,30,0,0,0,30,0,6.63716814159292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,5,2,15,13,0,0,0,0,0,0,"95"
"9501110201",12,53,21,17,0,0,3,17,0,3.3203125,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,3,9,10,0,2,4,10,2,0,0,0,0,0,"95"
"9501110301",31,111,42,32,0,0,1,32,0,5.95903165735568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,29,1,0,13,13,0,0,0,0,0,0,"95"
"9501110401",44,131,59,38,0,0,4,34,0,5.6379821958457,1,1,0,0,0,0,14,0,0,0,5,0,0,0,0,0,1,0,3,11,25,3,22,5,14,2,0,0,0,1,0,"95"
"9501110501",23,66,13,8,0,0,1,7,0,1.12517580872011,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,5,0,1,0,2,1,0,0,0,3,0,"95"
"9501110601",19,50,19,16,0,0,0,16,0,3.93120393120393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,2,5,8,7,0,0,0,0,0,0,"95"
"9501110701",21,102,30,21,0,0,0,21,0,3.8961038961039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,11,0,11,0,0,0,0,0,0,"95"
"9501120101",32,115,40,36,0,0,24,12,0,4.27553444180523,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,12,6,0,6,0,0,4,0,0,0,0,0,0,"95"
"9501120201",21,136,27,24,0,0,20,4,0,1.80045011252813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,2,2,21,0,2,0,0,0,0,0,0,"95"
"9501120301",17,102,26,22,0,0,22,0,0,2.32312565997888,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13,0,0,9,0,0,0,1,0,6,0,0,0,0,0,0,"95"
"9501120401",36,160,38,23,0,0,7,19,0,3.16804407713499,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,5,10,8,1,0,0,11,0,0,0,0,0,0,"95"
"9501140101",14,70,24,16,0,0,12,6,0,4.73372781065089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,5,0,0,0,5,0,0,0,0,0,0,"95"
"9501140201",7,37,10,9,0,0,7,2,0,1.03806228373702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,2,0,0,2,0,3,0,0,0,0,0,0,"95"
"9501140301",18,84,27,18,0,0,3,15,0,2.06185567010309,0,0,0,2,0,0,1,0,0,0,11,0,0,0,0,0,0,0,3,13,4,0,8,0,1,0,0,0,0,0,0,"95"
"9501140401",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"95"
"9501140501",1,5,2,2,0,0,0,2,0,0.316455696202532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"95"
"9501140601",45,216,67,61,0,0,19,47,2,5.23156089193825,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,19,39,16,0,34,0,51,0,2,0,0,0,3,"95"
"9501150101",9,27,9,7,0,0,0,7,0,1.14566284779051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,6,0,2,0,0,0,0,0,0,"95"
"9501150201",3,9,5,5,0,0,0,5,0,0.727802037845706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,"95"
"9501150301",54,279,84,70,0,0,49,32,0,6.64767331433998,0,0,0,0,0,1,0,2,0,0,61,2,5,0,0,0,0,0,49,29,2,3,45,0,55,0,0,0,0,5,0,"95"
"9501150401",7,24,8,7,0,0,3,4,0,1.64319248826291,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,3,3,0,4,0,0,0,0,0,0,"95"
"9501150501",51,253,87,64,0,0,25,54,0,7.39030023094688,0,0,0,0,0,2,1,0,0,0,16,0,0,0,4,0,0,0,25,44,15,0,34,0,48,0,0,0,0,1,0,"95"
"9501150601",86,397,126,90,0,0,18,89,0,13.5542168674699,0,0,0,10,1,4,0,6,1,1,89,0,47,0,7,0,0,2,11,86,20,1,8,0,77,0,0,0,0,7,2,"95"
"9501160101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"95"
"9501160201",1,7,2,2,0,0,2,0,0,0.192492781520693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"95"
