"amphur_ID","poor.household.CNT","poor.JPT.CNT","poor.JPT.MOFreg.CNT","poor.JPT.MOFval.CNT","poor.JPT.MOFval.health","poor.JPT.MOFval.living","poor.JPT.MOFval.education","poor.JPT.MOFval.income","poor.JPT.MOFval.accessibility","JPT.MOFval.pov.rate","poor.JPT.MOFval.ind1.CNT","poor.JPT.MOFval.ind2.CNT","poor.JPT.MOFval.ind3.CNT","poor.JPT.MOFval.ind4.CNT","poor.JPT.MOFval.ind5.CNT","poor.JPT.MOFval.ind6.CNT","poor.JPT.MOFval.ind7.CNT","poor.JPT.MOFval.ind8.CNT","poor.JPT.MOFval.ind9.CNT","poor.JPT.MOFval.ind10.CNT","poor.JPT.MOFval.ind11.CNT","poor.JPT.MOFval.ind12.CNT","poor.JPT.MOFval.ind13.CNT","poor.JPT.MOFval.ind14.CNT","poor.JPT.MOFval.ind15.CNT","poor.JPT.MOFval.ind16.CNT","poor.JPT.MOFval.ind17.CNT","poor.JPT.MOFval.ind18.CNT","poor.JPT.MOFval.ind19.CNT","poor.JPT.MOFval.ind20.CNT","poor.JPT.MOFval.ind21.CNT","poor.JPT.MOFval.ind22.CNT","poor.JPT.MOFval.ind23.CNT","poor.JPT.MOFval.ind24.CNT","poor.JPT.MOFval.ind25.CNT","poor.JPT.MOFval.ind26.CNT","poor.JPT.MOFval.ind27.CNT","poor.JPT.MOFval.ind28.CNT","poor.JPT.MOFval.ind29.CNT","poor.JPT.MOFval.ind30.CNT","poor.JPT.MOFval.ind31.CNT","province_ID"
3201,2431,8622,3055,2513,544,897,0,1564,0,1.56311229154874,0,0,6,130,287,396,199,74,49,40,843,122,260,0,7,142,4,0,61,507,811,413,504,864,886,75,1,0,0,14,16,"32"
3202,256,1109,379,293,42,79,0,183,0,0.535991950974115,0,1,0,16,25,11,1,2,0,0,77,2,2,0,0,9,0,0,1,48,94,52,10,117,126,0,0,0,0,0,6,"32"
3203,1123,4044,1698,1364,352,670,0,661,0,2.11699337275535,2,0,2,184,117,92,71,43,12,7,633,19,52,0,6,88,2,0,20,314,320,103,100,581,490,21,10,0,0,0,70,"32"
3204,73,249,98,91,2,23,0,71,0,0.234029420841477,2,2,0,0,0,0,0,23,0,0,0,0,0,0,0,1,0,0,0,0,8,64,1,26,20,0,0,0,0,0,0,"32"
3205,76,184,58,51,3,10,0,46,0,0.0514938257893196,1,1,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,1,7,38,0,13,7,0,0,0,0,0,0,"32"
3206,87,328,106,84,14,10,0,65,0,0.23693340478944,1,0,0,1,4,13,8,4,5,2,3,0,1,0,0,0,0,0,1,17,13,42,2,18,21,6,0,0,0,1,2,"32"
3207,396,1118,435,378,56,138,0,221,0,0.704120408315327,0,0,0,4,45,5,7,36,20,5,90,4,5,0,0,0,0,0,13,53,50,128,6,89,75,9,0,0,0,0,28,"32"
3208,120,449,166,147,1,15,0,135,0,0.472061657032755,0,0,0,0,0,0,1,14,3,3,3,0,0,1,0,0,0,0,4,11,25,111,8,39,31,1,0,0,0,0,0,"32"
3209,84,368,113,95,5,8,0,87,0,0.11528706479133,0,0,0,0,1,1,4,4,0,0,4,0,0,0,0,0,0,0,0,9,28,57,13,18,24,0,2,1,2,0,0,"32"
3210,1728,6072,2281,1978,470,696,0,1215,0,2.3714751582582,0,0,2,143,282,210,92,58,32,15,642,7,187,5,4,4,11,0,119,331,821,150,196,733,760,56,1,3,0,6,97,"32"
3211,252,901,393,347,10,91,0,256,0,1.70599803343166,0,0,0,3,7,0,0,13,12,4,74,0,0,0,0,0,0,0,16,23,140,105,32,141,138,3,0,0,0,0,5,"32"
3212,170,638,314,252,8,33,0,221,0,0.794501544864115,0,0,0,4,0,0,4,23,0,0,10,0,0,0,0,20,0,0,6,59,65,114,13,93,104,0,0,0,0,0,0,"32"
3213,309,974,440,375,128,86,0,236,0,1.42710355063363,0,2,0,72,54,31,32,22,15,10,76,17,33,3,0,1,0,0,26,91,81,79,65,167,194,37,0,0,0,0,0,"32"
3214,598,2020,674,569,224,284,0,224,0,2.45152951314089,0,0,0,100,204,30,3,32,22,16,272,54,23,0,0,43,0,0,4,26,26,187,193,254,268,4,2,0,0,0,71,"32"
3215,154,633,278,249,17,2,0,233,0,0.787227315839393,0,0,0,10,0,0,7,2,1,1,1,0,0,0,0,0,0,0,10,86,148,9,3,90,99,0,0,0,0,0,0,"32"
3216,484,1824,823,649,209,162,0,430,0,2.56511600332003,0,0,0,50,118,16,69,19,10,8,141,3,84,0,0,31,0,0,12,60,47,356,165,234,222,2,3,2,3,6,66,"32"
3217,95,372,87,78,1,13,0,69,0,0.383801604093884,0,0,0,0,1,0,0,8,0,0,5,2,0,0,0,8,0,0,0,2,3,64,0,20,25,0,0,0,0,0,1,"32"
