"amphur_ID","household.CNT","HOUSEMEMBER_CNT","MOF_REG_CNT","MOF_VAL_CNT","ELDERLY_CNT","DISABLED_CNT","CHRONICPATIENT_CNT","happiness","indicator1.ALL","indicator2.ALL","indicator3.ALL","indicator4.ALL","indicator5.ALL","indicator6.ALL","indicator7.ALL","indicator8.ALL","indicator9.ALL","indicator10.ALL","indicator11.ALL","indicator12.ALL","indicator13.ALL","indicator14.ALL","indicator15.ALL","indicator16.ALL","indicator17.ALL","indicator18.ALL","indicator19.ALL","indicator20.ALL","indicator21.ALL","indicator22.ALL","indicator23.ALL","indicator24.ALL","indicator25.ALL","indicator26.ALL","indicator27.ALL","indicator28.ALL","indicator29.ALL","indicator30.ALL","indicator31.ALL","indicator1.CNT","indicator2.CNT","indicator3.CNT","indicator4.CNT","indicator5.CNT","indicator6.CNT","indicator7.CNT","indicator8.CNT","indicator9.CNT","indicator10.CNT","indicator11.CNT","indicator12.CNT","indicator13.CNT","indicator14.CNT","indicator15.CNT","indicator16.CNT","indicator17.CNT","indicator18.CNT","indicator19.CNT","indicator20.CNT","indicator21.CNT","indicator22.CNT","indicator23.CNT","indicator24.CNT","indicator25.CNT","indicator26.CNT","indicator27.CNT","indicator28.CNT","indicator29.CNT","indicator30.CNT","indicator31.CNT","province_ID"
1901,19893,54860,8468,6806,10077,386,573,8.56929573216709,695,574,18292,54860,54860,53038,54142,54860,54860,54860,54856,54860,54860,54860,5970,17374,239,0,51989,51588,26145,54860,54792,54860,54860,54860,26272,1555,1818,54860,54860,0,5,14,101,412,296,592,65,257,58,878,1057,360,43,36,3135,10,0,176,2070,3843,41,12693,4270,3115,94,27,18,0,61,278,"19"
1902,24165,69245,10577,8437,10922,759,1404,8.45495551417339,1034,789,26354,69245,69245,66530,67944,69245,69245,69245,69245,69245,69245,69245,9124,24126,507,511,66149,65735,29401,69245,69160,69203,69206,69205,29538,2713,4129,69245,69240,5,23,4,999,1023,1640,1331,26,6,14,1483,1396,1224,13,5,415,11,0,165,913,2455,18,9536,11252,8897,1015,36,2,12,543,1637,"19"
1903,22240,67305,11206,9084,11881,553,563,8.60337230215827,855,708,27538,67305,67305,65142,66836,67303,67303,67303,67296,67296,67296,67296,9391,25006,318,83,64286,63890,34450,67260,67135,67285,67285,67283,34570,2641,2174,67281,67282,0,31,0,130,102,192,559,45,28,16,1136,378,174,24,0,3470,0,0,55,549,746,17,13490,5060,4145,564,12,12,3,50,218,"19"
1904,8728,29982,5127,4078,4960,291,535,8.45623281393217,346,221,13763,29982,29982,29171,29828,29982,29982,29982,29982,29982,29982,29982,4923,12389,146,84,28858,28667,15160,29778,29970,29982,29982,29982,15246,1028,1819,29976,29976,0,0,0,21,33,694,262,63,0,7,255,10,71,11,6,457,0,0,87,93,808,15,2110,5842,5689,965,8,3,0,429,45,"19"
1905,3890,11291,3178,2293,2790,160,176,8.08688946015424,238,184,3702,11291,11291,10976,11253,11291,11291,11291,11291,11291,11291,11291,1109,3406,73,86,10431,10332,6292,11291,11268,11291,11291,11291,6329,581,573,11291,11291,0,11,2,1,0,338,49,6,0,0,185,173,1,0,0,4,0,4,1,1,8,32,1,1236,1059,1,0,0,0,1,1,"19"
1906,11570,31683,7659,6274,6405,454,1577,8.11486603284356,504,371,12032,31683,31683,30420,31243,31683,31683,31683,31676,31683,31683,31683,3761,11208,317,198,29557,29215,15624,31677,31650,31680,31683,31683,15698,1526,4351,31683,31683,0,15,0,15,0,3426,264,1,0,0,662,114,226,18,9,421,3,0,97,890,1776,24,4587,8036,7251,560,20,4,10,292,3,"19"
1907,1694,5133,1680,1327,1232,69,166,8.38961038961039,77,68,2149,5133,5133,5005,5061,5133,5133,5133,5133,5133,5133,5133,698,1841,7,0,4715,4652,2942,5130,5129,5133,5133,5132,2958,209,492,5133,5133,0,0,0,0,0,419,6,4,0,0,2,0,2,0,0,11,0,0,3,0,1,70,1276,1002,993,22,0,0,0,0,0,"19"
1908,3559,11538,3102,2548,2584,359,925,7.86878336611408,137,111,4640,11538,11538,11317,11451,11538,11538,11538,11537,11538,11538,11538,1493,4169,115,0,10773,10662,6930,11538,11535,11538,11538,11538,6958,1238,2465,11538,11538,4,61,0,1,0,324,7,135,0,0,1335,131,3534,4,0,0,0,0,23,0,382,1,313,2821,2308,75,0,0,0,2,2,"19"
1909,10217,28987,5516,4435,5444,578,476,8.76871880199667,485,388,11130,28987,28987,27825,28603,28987,28987,28987,28984,28987,28987,28987,3527,10162,88,153,27353,27100,13934,28987,28919,28987,28987,28987,14011,2027,1491,28987,28987,0,5,0,189,231,305,218,50,11,8,543,864,443,9,0,1390,0,5,119,502,546,599,4402,4656,4005,108,9,0,3,9,117,"19"
1910,7669,22850,4452,3370,5157,309,373,8.23653670621985,441,361,8130,22850,22850,22421,22750,22850,22850,22850,22850,22850,22850,22850,2563,7232,33,7,21381,21197,12828,22850,22845,22850,22850,22850,12893,1071,1117,22850,22849,0,4,0,0,7,0,26,0,0,0,4,0,0,4,0,893,0,0,54,478,1875,0,1670,1483,1189,0,0,2,2,0,2,"19"
1911,11986,28341,5130,4562,4953,401,325,8.56107124979142,126,100,9893,28341,28341,27110,28145,28341,28341,28341,28341,28341,28341,28341,3170,9242,280,9,26045,25909,11840,28341,28322,28341,28341,28341,11884,1706,1026,28341,28341,0,4,0,16,10,136,40,0,10,6,344,28,1054,7,0,1700,21,0,33,17,262,0,7781,1482,1443,71,0,0,0,13,13,"19"
1912,4403,12134,2704,2243,2063,151,238,8.49875085169203,199,168,4693,12134,12134,11676,11635,12134,12134,12134,12129,12134,12134,12134,1549,4342,70,27,11459,11362,5062,12134,12126,12124,12134,12134,5093,533,702,12124,12124,0,0,0,15,46,59,126,19,5,23,92,48,75,13,9,630,0,0,43,151,505,84,4456,1836,1581,109,8,0,0,45,73,"19"
1913,8178,22040,3791,2997,3804,350,290,8.29872829542675,157,116,7976,22040,22040,21001,21839,22040,22040,22040,22040,22040,22040,22040,2565,7305,113,12,20966,20854,9893,22040,22021,22040,22040,22040,9978,1265,923,22040,22040,3,3,0,251,373,171,448,106,14,9,490,683,168,18,4,1409,5,12,141,258,637,0,3976,2077,1711,153,2,0,0,95,103,"19"
