"amphur_ID","poor.household.CNT","poor.JPT.CNT","poor.JPT.MOFreg.CNT","poor.JPT.MOFval.CNT","poor.JPT.MOFval.health","poor.JPT.MOFval.living","poor.JPT.MOFval.education","poor.JPT.MOFval.income","poor.JPT.MOFval.accessibility","JPT.MOFval.pov.rate","poor.JPT.MOFval.ind1.CNT","poor.JPT.MOFval.ind2.CNT","poor.JPT.MOFval.ind3.CNT","poor.JPT.MOFval.ind4.CNT","poor.JPT.MOFval.ind5.CNT","poor.JPT.MOFval.ind6.CNT","poor.JPT.MOFval.ind7.CNT","poor.JPT.MOFval.ind8.CNT","poor.JPT.MOFval.ind9.CNT","poor.JPT.MOFval.ind10.CNT","poor.JPT.MOFval.ind11.CNT","poor.JPT.MOFval.ind12.CNT","poor.JPT.MOFval.ind13.CNT","poor.JPT.MOFval.ind14.CNT","poor.JPT.MOFval.ind15.CNT","poor.JPT.MOFval.ind16.CNT","poor.JPT.MOFval.ind17.CNT","poor.JPT.MOFval.ind18.CNT","poor.JPT.MOFval.ind19.CNT","poor.JPT.MOFval.ind20.CNT","poor.JPT.MOFval.ind21.CNT","poor.JPT.MOFval.ind22.CNT","poor.JPT.MOFval.ind23.CNT","poor.JPT.MOFval.ind24.CNT","poor.JPT.MOFval.ind25.CNT","poor.JPT.MOFval.ind26.CNT","poor.JPT.MOFval.ind27.CNT","poor.JPT.MOFval.ind28.CNT","poor.JPT.MOFval.ind29.CNT","poor.JPT.MOFval.ind30.CNT","poor.JPT.MOFval.ind31.CNT","province_ID"
1601,1246,5203,1056,889,186,0,710,0,0,0.794069045598678,0,0,1,84,119,179,57,0,0,0,34,0,0,0,8,669,2,0,31,31,56,3,155,240,274,9,1,0,2,1,3,"16"
1602,1049,4266,764,644,207,0,456,0,0,1.27431386904644,0,0,0,5,180,203,23,0,0,0,163,1,3,0,0,393,2,0,62,10,24,0,88,247,268,134,0,0,0,1,15,"16"
1603,1235,4657,1270,1013,310,0,716,0,0,1.7497495422669,0,0,0,86,60,267,198,2,0,0,154,1,42,2,2,549,10,0,162,77,101,0,247,297,256,37,7,1,2,27,88,"16"
1604,1430,5900,1132,1001,247,0,778,0,0,1.70717148460817,2,0,0,83,121,22,78,4,1,2,105,8,5,1,0,625,14,0,148,55,125,14,284,231,270,55,0,0,0,22,5,"16"
1605,181,546,204,168,117,0,53,0,0,0.418326693227092,0,0,0,29,18,21,76,0,0,3,5,0,3,0,0,18,0,0,35,15,32,5,52,38,58,20,0,0,0,2,3,"16"
1606,1904,6081,1743,1436,965,0,505,0,0,2.56570601583019,0,1,0,178,195,292,664,25,0,0,157,5,60,1,2,470,1,0,41,75,197,3,527,346,314,53,0,0,0,35,12,"16"
1607,486,1850,350,324,68,0,261,0,0,1.65432729129436,0,0,0,0,21,93,47,2,0,0,2,3,0,0,0,240,0,0,22,13,8,0,14,71,62,0,0,0,0,0,21,"16"
1608,243,926,166,143,6,0,138,0,0,0.924728401448526,0,0,0,0,0,19,6,0,0,0,0,0,0,0,1,118,0,0,19,1,5,7,21,21,33,0,0,0,0,0,1,"16"
1609,1506,4944,1254,1164,910,0,354,0,0,7.45962573699051,2,8,0,653,456,900,130,40,10,5,435,113,302,5,1,138,7,0,213,78,224,0,329,523,586,141,1,0,1,59,79,"16"
1610,571,1858,745,675,431,0,276,0,0,4.27783763229609,0,0,6,313,128,2,71,2,0,0,96,4,63,0,4,156,27,0,95,34,46,0,180,277,325,57,6,1,4,3,7,"16"
1611,985,2564,800,680,562,0,125,0,0,3.62260934420116,0,0,0,9,38,534,517,0,0,0,5,8,0,0,1,104,4,0,16,9,21,0,269,59,63,0,0,0,0,1,1,"16"
