"amphur_ID","poor.household.CNT","poor.JPT.CNT","poor.JPT.MOFreg.CNT","poor.JPT.MOFval.CNT","poor.JPT.MOFval.health","poor.JPT.MOFval.living","poor.JPT.MOFval.education","poor.JPT.MOFval.income","poor.JPT.MOFval.accessibility","JPT.MOFval.pov.rate","poor.JPT.MOFval.ind1.CNT","poor.JPT.MOFval.ind2.CNT","poor.JPT.MOFval.ind3.CNT","poor.JPT.MOFval.ind4.CNT","poor.JPT.MOFval.ind5.CNT","poor.JPT.MOFval.ind6.CNT","poor.JPT.MOFval.ind7.CNT","poor.JPT.MOFval.ind8.CNT","poor.JPT.MOFval.ind9.CNT","poor.JPT.MOFval.ind10.CNT","poor.JPT.MOFval.ind11.CNT","poor.JPT.MOFval.ind12.CNT","poor.JPT.MOFval.ind13.CNT","poor.JPT.MOFval.ind14.CNT","poor.JPT.MOFval.ind15.CNT","poor.JPT.MOFval.ind16.CNT","poor.JPT.MOFval.ind17.CNT","poor.JPT.MOFval.ind18.CNT","poor.JPT.MOFval.ind19.CNT","poor.JPT.MOFval.ind20.CNT","poor.JPT.MOFval.ind21.CNT","poor.JPT.MOFval.ind22.CNT","poor.JPT.MOFval.ind23.CNT","poor.JPT.MOFval.ind24.CNT","poor.JPT.MOFval.ind25.CNT","poor.JPT.MOFval.ind26.CNT","poor.JPT.MOFval.ind27.CNT","poor.JPT.MOFval.ind28.CNT","poor.JPT.MOFval.ind29.CNT","poor.JPT.MOFval.ind30.CNT","poor.JPT.MOFval.ind31.CNT","province_ID"
3101,4963,19415,5138,4268,1363,1353,2164,0,22,3.01909215021893,6,4,0,221,1039,275,300,119,189,83,1234,162,531,8,3,1818,19,0,372,271,276,6,1222,1503,1564,179,15,7,0,28,181,"31"
3102,686,3213,528,436,24,3,409,0,0,0.974388772180753,0,0,0,0,0,3,24,1,0,0,2,3,0,0,0,386,1,0,22,2,8,5,20,93,99,0,0,0,0,0,0,"31"
3103,2512,11082,3175,2577,217,810,1730,0,16,3.58050935767579,0,0,0,74,150,47,35,12,11,21,793,18,66,1,1,1476,18,0,261,36,46,5,151,576,619,27,10,6,0,2,36,"31"
3104,2740,11690,3476,2865,609,657,1829,0,12,3.32551768966478,3,0,0,111,316,253,211,52,15,36,615,38,151,6,9,1647,11,0,168,136,188,25,318,875,913,79,12,3,0,17,140,"31"
3105,2013,7951,1993,1770,367,820,927,0,1,3.74642819345963,0,0,0,71,272,238,51,39,18,5,796,38,126,4,0,807,12,0,110,151,132,3,72,745,809,154,0,1,1,50,60,"31"
3106,114,466,160,144,63,41,39,0,2,0.300965597960122,0,0,0,0,3,3,60,11,0,0,34,0,5,0,0,14,0,0,25,7,4,3,26,52,50,0,0,2,0,0,0,"31"
3107,3031,12750,3742,3315,695,759,2209,0,20,3.96270396270396,0,0,0,479,185,418,79,37,6,14,720,5,62,10,6,2015,22,0,187,110,99,14,151,1024,1219,159,13,7,3,7,85,"31"
3108,993,4310,1338,1113,31,148,938,0,21,2.45348734679482,0,0,0,12,10,10,12,2,2,1,145,22,2,0,1,846,5,0,88,28,34,74,521,202,260,0,19,3,2,0,7,"31"
3109,650,2705,911,657,45,97,512,0,16,2.11628281526816,0,0,0,1,13,2,31,3,1,1,92,0,0,2,2,501,2,0,12,4,16,2,16,93,112,5,6,10,2,1,0,"31"
3110,422,1418,512,368,156,243,11,0,0,0.563906894068251,0,0,0,12,100,71,48,9,12,2,231,5,42,4,0,0,2,0,9,40,29,1,0,148,160,11,0,0,0,0,2,"31"
3111,2689,12044,3548,2842,610,925,1554,0,18,3.49487819574761,3,6,0,240,341,187,70,33,36,22,874,67,171,8,0,1423,7,0,125,85,126,3,611,1084,1177,94,9,9,3,20,128,"31"
3112,892,4445,844,778,33,57,701,0,3,2.10994494616657,0,0,0,2,23,2,8,5,3,8,41,0,2,4,0,680,0,0,23,5,8,3,129,159,174,0,3,0,0,0,0,"31"
