"amphur_ID","household.CNT","HOUSEMEMBER_CNT","MOF_REG_CNT","MOF_VAL_CNT","ELDERLY_CNT","DISABLED_CNT","CHRONICPATIENT_CNT","happiness","indicator1.ALL","indicator2.ALL","indicator3.ALL","indicator4.ALL","indicator5.ALL","indicator6.ALL","indicator7.ALL","indicator8.ALL","indicator9.ALL","indicator10.ALL","indicator11.ALL","indicator12.ALL","indicator13.ALL","indicator14.ALL","indicator15.ALL","indicator16.ALL","indicator17.ALL","indicator18.ALL","indicator19.ALL","indicator20.ALL","indicator21.ALL","indicator22.ALL","indicator23.ALL","indicator24.ALL","indicator25.ALL","indicator26.ALL","indicator27.ALL","indicator28.ALL","indicator29.ALL","indicator30.ALL","indicator31.ALL","indicator1.CNT","indicator2.CNT","indicator3.CNT","indicator4.CNT","indicator5.CNT","indicator6.CNT","indicator7.CNT","indicator8.CNT","indicator9.CNT","indicator10.CNT","indicator11.CNT","indicator12.CNT","indicator13.CNT","indicator14.CNT","indicator15.CNT","indicator16.CNT","indicator17.CNT","indicator18.CNT","indicator19.CNT","indicator20.CNT","indicator21.CNT","indicator22.CNT","indicator23.CNT","indicator24.CNT","indicator25.CNT","indicator26.CNT","indicator27.CNT","indicator28.CNT","indicator29.CNT","indicator30.CNT","indicator31.CNT","province_ID"
7101,26374,66543,13198,11550,11760,393,651,7.99272010313187,782,631,21543,66538,66538,62970,62656,66538,66538,66538,66536,66538,66541,66541,6581,19859,814,28,62465,61980,29929,66543,66507,66519,66527,66520,30035,1518,1850,66530,66529,0,9,6,223,837,729,932,70,0,0,849,69,650,25,0,888,0,0,1030,792,2913,6,4386,8772,9533,1552,13,5,0,310,194,"71"
7102,9053,26085,6395,5879,4128,390,923,8.04672484259362,542,378,12454,26085,26085,24376,25398,26083,26083,26083,26060,26083,26083,26083,4482,11008,834,38,24532,24263,10500,26074,26019,26051,26072,26072,10590,1240,2323,26068,26071,7,42,0,358,1355,6375,159,285,211,360,2286,142,852,47,0,193,41,0,406,260,961,14,5216,8192,10196,141,4,15,1,92,81,"71"
7103,13423,45638,9361,8637,6492,385,1085,7.65804961633018,716,528,22551,45638,45638,44082,44964,45638,45638,45638,45637,45638,45638,45638,7822,20542,516,4,44300,44139,21009,45638,45606,45638,45638,45638,21096,1745,3886,45638,45638,0,0,0,2053,1321,13093,328,22,56,63,1974,566,683,39,0,3260,17,0,465,274,2274,38,10075,8558,10911,700,0,2,0,115,74,"71"
7104,4852,14480,3855,3571,2126,122,128,7.97135201978566,430,339,7294,14480,14480,13551,13880,14480,14480,14480,14478,14480,14480,14480,2563,6466,144,13,13703,13579,5465,14480,14449,14480,14480,14480,5483,390,375,14480,14480,0,1,0,41,132,114,22,72,35,44,725,49,175,23,0,1033,13,0,260,235,581,100,1932,4367,5111,102,0,0,0,53,90,"71"
7105,25789,85356,14020,11253,16058,772,3635,7.16704796618713,878,626,36078,85356,85356,83607,84969,85356,85356,85356,85356,85356,85356,85356,11543,33320,208,138,81694,81152,46701,85356,85343,85356,85356,85352,46926,3247,11953,85356,85356,0,3,0,23,374,1484,694,29,0,0,662,2159,193,52,0,13,4,0,216,774,3184,2,19350,14577,14270,225,0,0,0,4,14,"71"
7106,20563,67538,13100,10421,12967,642,3410,7.72158731702573,1506,1249,28623,67534,67534,65744,66901,67538,67538,67538,67538,67538,67538,67538,9393,26056,339,36,64651,64168,36243,67538,67188,67508,67513,67513,36403,2667,10684,67505,67506,0,0,10,66,295,5363,649,0,0,0,1367,1407,279,8,0,2900,0,0,17,964,2677,0,1627,12015,11594,0,21,13,14,0,164,"71"
7107,7327,19812,3947,3441,2713,146,254,6.77849051453528,402,345,9627,19812,19812,17427,19673,19810,19810,19810,19807,19807,19807,19812,3475,8373,57,2,18360,18077,6591,19812,19786,19798,19798,19756,6610,557,771,19793,19792,0,0,0,390,353,124,34,138,63,77,775,171,237,182,0,1774,2,0,160,133,121,20,11663,3489,4639,27,7,11,0,23,387,"71"
7108,5360,12094,2194,1924,1196,32,25,8.06940298507463,118,123,4836,12094,12094,9811,11922,12094,12094,12094,12090,12094,12094,12094,1830,4624,41,18,11572,11406,2904,12094,12086,12094,12094,12094,2904,124,104,12094,12094,0,0,0,0,171,459,0,0,0,0,460,0,728,0,0,0,0,0,508,830,397,0,5377,1174,1565,0,0,0,0,0,0,"71"
7109,12744,36614,8826,6978,7371,429,903,8.0506905210295,455,342,14389,36614,36614,35562,36146,36614,36614,36614,36614,36614,36614,36614,4409,13209,214,57,34189,33884,18866,36614,36590,36610,36610,36610,18952,1618,2759,36614,36613,6,7,0,18,135,327,82,5,0,0,386,69,125,6,0,610,0,0,262,962,843,343,2374,4544,4957,65,0,10,0,38,76,"71"
7110,13488,39739,8866,7897,6758,376,542,7.82510379596679,977,817,18980,39739,39739,37740,39436,39739,39739,39739,39737,39739,39739,39739,6425,16702,414,0,37492,37186,16790,39739,39667,39739,39739,39738,16895,1350,1642,39739,39739,0,23,0,359,1662,1757,306,94,10,17,1943,594,1259,17,0,1304,37,0,1076,638,1306,8,13391,8468,11970,116,0,53,0,51,332,"71"
7111,7441,24476,5024,4511,3555,375,687,8.37454643193119,499,392,12084,24476,24476,23718,24045,24476,24476,24476,24476,24476,24476,24476,3829,11009,410,12,23570,23445,10652,24476,24470,24472,24472,24472,10795,1449,2161,24472,24470,5,0,0,0,301,236,21,61,0,0,45,216,111,0,0,31,0,0,0,33,765,46,0,5517,6630,0,0,0,6,0,0,"71"
