"tumbol_ID","household.CNT","HOUSEMEMBER_CNT","MOF_REG_CNT","MOF_VAL_CNT","ELDERLY_CNT","DISABLED_CNT","CHRONICPATIENT_CNT","happiness","indicator1.ALL","indicator2.ALL","indicator3.ALL","indicator4.ALL","indicator5.ALL","indicator6.ALL","indicator7.ALL","indicator8.ALL","indicator9.ALL","indicator10.ALL","indicator11.ALL","indicator12.ALL","indicator13.ALL","indicator14.ALL","indicator15.ALL","indicator16.ALL","indicator17.ALL","indicator18.ALL","indicator19.ALL","indicator20.ALL","indicator21.ALL","indicator22.ALL","indicator23.ALL","indicator24.ALL","indicator25.ALL","indicator26.ALL","indicator27.ALL","indicator28.ALL","indicator29.ALL","indicator30.ALL","indicator31.ALL","indicator1.CNT","indicator2.CNT","indicator3.CNT","indicator4.CNT","indicator5.CNT","indicator6.CNT","indicator7.CNT","indicator8.CNT","indicator9.CNT","indicator10.CNT","indicator11.CNT","indicator12.CNT","indicator13.CNT","indicator14.CNT","indicator15.CNT","indicator16.CNT","indicator17.CNT","indicator18.CNT","indicator19.CNT","indicator20.CNT","indicator21.CNT","indicator22.CNT","indicator23.CNT","indicator24.CNT","indicator25.CNT","indicator26.CNT","indicator27.CNT","indicator28.CNT","indicator29.CNT","indicator30.CNT","indicator31.CNT","province_ID"
"740104",2310,5323,1077,912,1015,30,140,8.10865800865801,8,8,1088,5323,5323,5058,5298,5323,5323,5323,5323,5323,5323,5323,276,1149,11,0,4958,4950,2262,5323,5317,5320,5320,5320,2268,84,330,5320,5320,0,0,0,112,108,239,107,0,0,0,14,6,0,0,0,0,0,0,0,76,270,0,352,421,646,85,0,0,0,154,0,"74"
"740105",1954,4711,1044,840,990,13,90,7.89815762538383,12,12,1250,4711,4711,4557,4675,4711,4711,4711,4711,4711,4711,4711,395,1136,96,0,4375,4359,2465,4711,4687,4710,4710,4710,2465,54,263,4708,4709,0,6,0,0,4,2084,489,0,0,0,5,1,3,5,0,97,0,0,0,775,799,0,122,1454,1433,0,1,0,0,352,9,"74"
"740106",1021,3867,903,768,729,15,2,7.79921645445642,0,0,1724,3867,3867,3821,3856,3867,3867,3867,3867,3867,3867,3867,678,1638,37,0,3718,3687,2481,3867,3816,3861,3861,3861,2481,58,12,3854,3854,0,0,0,1,0,2113,374,0,0,0,15,5,0,0,0,407,0,0,0,829,865,0,13,1884,1572,4,0,0,0,167,1,"74"
"740107",712,2279,641,526,511,15,1,7.87640449438202,37,37,613,2279,2279,2249,2235,2279,2279,2279,2279,2279,2279,2279,219,517,10,0,2162,2159,1442,2279,2276,2279,2279,2279,1455,69,7,2279,2279,0,22,0,36,0,793,96,0,0,0,12,0,0,0,0,63,0,0,0,161,491,0,176,290,444,0,0,0,0,42,0,"74"
"740108",2300,5495,961,848,1029,70,1,8.32565217391304,0,0,1042,5495,5495,5285,5491,5495,5495,5495,5495,5495,5495,5495,280,989,41,0,5199,5175,2699,5495,5489,5495,5495,5495,2708,333,6,5495,5495,0,0,0,0,0,96,122,0,0,0,0,0,3,0,0,119,0,0,9,59,528,0,816,131,268,49,0,0,0,0,3,"74"
"740109",7445,18395,1835,1501,2312,58,24,8.21490933512425,201,177,6383,18395,18395,16984,18159,18395,18395,18395,18395,18395,18395,18395,1993,5433,184,2,17808,17718,5969,18395,18390,18395,18395,18395,5977,217,79,18395,18395,0,0,0,3,1,148,480,0,0,0,19,0,5,0,0,798,0,0,0,6,387,0,1222,185,274,0,0,0,0,10,3,"74"
"740110",8308,19490,2259,1853,2438,18,807,8.16670678863746,24,18,5666,19490,19490,17854,19479,19490,19490,19490,19490,19490,19490,19490,1787,5296,11,0,18881,18798,6427,19490,19487,19490,19490,19490,6429,80,2424,19490,19490,0,0,0,1280,87,713,159,0,0,0,546,0,0,4,0,672,0,0,0,3,1513,0,4514,920,1081,218,0,0,0,1710,0,"74"
"740111",3009,8569,856,714,1421,31,14,8.90694582917913,11,8,3097,8569,8569,8168,8450,8569,8569,8569,8569,8569,8569,8569,1248,2732,162,0,8187,8142,3944,8569,8569,8569,8569,8569,3944,138,65,8569,8569,0,0,0,774,12,0,133,0,0,0,383,29,1181,2,0,400,0,0,0,104,334,0,166,453,677,0,0,0,0,12,0,"74"
"740112",4128,10153,1120,931,1555,24,259,8.43338178294574,9,9,2939,10153,10153,9522,10119,10153,10153,10153,10153,10153,10153,10153,995,2673,25,0,9738,9661,4204,10153,10153,10151,10151,10151,4204,111,866,10151,10153,0,0,0,75,14,9,430,0,0,0,41,7,1,12,0,574,0,0,0,85,546,0,667,271,447,166,0,0,0,496,56,"74"
"740113",7512,16912,2040,1646,2138,13,27,7.90495207667732,31,31,4401,16912,16912,15846,16792,16912,16912,16912,16912,16912,16912,16912,1489,3503,0,0,16356,16332,5604,16912,16909,16912,16912,16912,5610,72,91,16912,16912,0,0,0,66,0,0,101,0,0,0,9,1,0,1,0,605,0,0,7,7,7,0,10074,1345,1412,108,0,0,0,30,2,"74"
"740114",5675,18573,2272,1997,2563,171,2,7.73726872246696,190,139,8563,18573,18573,17935,18301,18573,18573,18573,18573,18573,18573,18573,2889,7900,194,7,18016,17944,9083,18573,18561,18573,18573,18573,9083,922,11,18573,18573,0,0,0,10,0,85,126,0,0,0,19,3,10,4,0,1757,0,0,9,0,172,0,213,3278,2842,4,0,0,0,0,2,"74"
"740115",2651,6670,880,720,944,59,117,7.47453791022256,31,27,1973,6670,6670,6332,6587,6670,6670,6670,6670,6670,6670,6670,582,1809,7,0,6450,6420,2463,6670,6669,6670,6670,6670,2463,183,383,6670,6670,0,0,0,0,0,170,32,0,0,0,236,24,321,4,0,368,0,0,0,75,108,0,1099,458,420,216,0,0,0,10,5,"74"
"740116",2251,8090,1390,1142,1245,43,4,8.30208796090626,0,0,3796,8090,8090,7733,7968,8090,8090,8090,8090,8090,8090,8090,1291,3547,82,7,7882,7841,4556,8090,8090,8090,8090,8090,4580,271,17,8090,8090,0,0,0,0,0,221,131,0,0,0,10,0,0,0,0,415,0,0,0,8,364,0,313,170,421,0,0,0,0,1,5,"74"
"740117",5151,13388,1946,1705,2424,53,215,7.91788002329645,20,20,1795,13388,13388,12872,13361,13388,13388,13388,13388,13388,13388,13388,474,1918,12,4,12891,12831,5954,13388,13382,13387,13387,13387,5960,167,622,13387,13388,3,0,5,8,5,0,20,0,0,0,3,0,11,0,0,102,0,0,0,20,51,0,1250,2179,1847,0,0,0,0,0,12,"74"
"740118",901,3180,462,384,494,16,78,7.92452830188679,0,0,1491,3180,3180,3098,3146,3180,3180,3180,3180,3180,3180,3180,513,1337,22,0,3086,3081,1720,3180,3173,3180,3180,3180,1725,62,280,3180,3180,0,0,0,0,0,2094,224,0,0,0,2,0,1,0,0,213,0,0,0,790,542,0,27,1156,1025,1,0,0,0,104,4,"74"
"740151",6514,13192,1388,1213,3891,15,204,8.25176542830826,0,0,1841,13192,13192,12654,13144,13192,13192,13192,13192,13192,13192,13192,459,1933,35,1,11201,11044,7535,13192,13192,13192,13192,13192,7541,58,443,13192,13191,0,0,0,378,38,284,662,0,0,0,134,3,5,2,0,258,0,0,0,9,764,0,2008,416,658,15,0,0,0,1232,0,"74"
"740152",1460,3103,308,257,343,12,4,8.75547945205479,20,20,784,3103,3103,2862,3093,3103,3103,3103,3103,3103,3103,3103,277,671,54,0,2958,2929,809,3103,3103,3103,3103,3103,813,46,7,3103,3103,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,118,0,0,3,3,35,0,0,21,19,0,0,0,0,0,0,"74"
"740203",2801,8354,1102,920,1451,104,475,7.62941806497679,22,5,2722,8354,8354,7939,8232,8354,8354,8354,8354,8354,8354,8354,814,2555,0,0,8064,8020,4074,8354,8354,8354,8354,8354,4082,440,1244,8354,8354,0,0,0,3,2,0,259,0,0,0,11,0,5,1,0,404,0,0,0,2,7,0,3538,1257,1110,0,0,3,0,203,8,"74"
"740204",9747,22557,2979,2472,2820,205,1074,8.59597824971786,69,43,7035,22557,22557,20042,22264,22557,22557,22557,22557,22557,22557,22557,2364,6411,245,15,21794,21634,7444,22557,22541,22553,22553,22553,7486,774,3048,22557,22557,0,0,2,84,144,1715,92,0,0,0,537,43,46,29,0,623,0,0,0,1208,1322,0,2763,2626,3047,377,0,0,0,311,7,"74"
"740205",1314,4483,635,530,1020,70,41,8.26103500761035,10,10,1448,4483,4483,4405,4451,4483,4483,4483,4483,4483,4483,4483,463,1264,71,0,4298,4284,2854,4483,4483,4483,4483,4483,2895,279,142,4483,4483,0,0,0,0,0,1581,194,0,0,0,0,3,0,0,0,140,0,0,0,40,713,0,11,1491,1561,81,0,0,0,0,9,"74"
"740206",6431,15520,2330,1917,2138,34,156,8.39776084590266,0,0,4530,15520,15520,14540,15198,15520,15520,15520,15520,15520,15520,15520,1405,3975,103,8,14944,14888,5532,15520,15515,15520,15520,15520,5543,129,481,15520,15520,0,0,0,4,2,27,186,0,0,0,82,11,31,7,0,534,0,0,0,18,260,0,2802,440,285,48,0,0,0,7,13,"74"
"740207",916,3175,687,578,603,44,20,7.65720524017467,0,0,1319,3175,3175,3120,3161,3175,3175,3175,3175,3175,3175,3175,425,1244,64,2,3069,3050,1869,3175,3166,3175,3175,3175,1877,194,76,3175,3175,0,0,0,0,0,6,5,0,0,0,1,0,4,0,0,202,0,0,0,7,58,0,267,133,136,1,0,0,0,0,0,"74"
"740208",2404,6186,1001,852,977,71,422,7.98585690515807,52,15,1894,6186,6186,5740,5926,6186,6186,6186,6186,6186,6186,6186,633,1633,44,11,5940,5919,2653,6186,6186,6186,6186,6186,2657,252,1157,6186,6186,0,0,0,210,163,2,17,0,0,0,84,1,5,3,0,381,0,0,0,0,0,0,679,676,688,415,0,0,0,1070,19,"74"
"740209",2161,4897,660,554,603,9,53,8.27070800555298,4,4,1656,4897,4897,4452,4881,4897,4897,4897,4897,4897,4897,4897,483,1477,30,17,4700,4672,1479,4897,4896,4897,4897,4897,1479,36,162,4897,4897,0,0,0,36,0,73,1,0,0,0,32,2,0,0,0,178,0,0,0,12,241,0,106,80,36,0,0,0,0,170,1,"74"
"740210",1808,5386,778,649,952,48,0,9.37278761061947,21,14,1847,5386,5386,5167,5353,5386,5386,5386,5386,5386,5386,5386,749,1557,42,0,5188,5167,2901,5386,5386,5386,5386,5386,2912,211,0,5386,5386,0,0,0,8,4,1,11,0,0,0,14,14,33,4,0,271,0,0,0,6,711,0,4,92,103,4,0,0,0,4,8,"74"
"740251",10619,19108,2866,2235,3062,78,187,8.60401167718241,41,32,3516,19108,19108,17344,18978,19108,19108,19108,19108,19108,19108,19108,1089,3313,59,0,17513,17391,6154,19108,19106,19108,19108,19108,6166,286,384,19108,19108,0,0,0,30,13,100,397,0,0,0,28,2,9,3,0,481,0,0,0,126,424,0,4236,214,344,15,0,0,0,211,15,"74"
"740252",2409,6645,685,585,1474,52,193,9.17559153175591,17,17,1871,6645,6645,6348,6596,6645,6645,6645,6645,6645,6645,6645,553,1801,15,4,6149,6082,3744,6645,6645,6645,6645,6645,3763,266,522,6645,6645,0,0,0,4,1,9,45,0,0,0,7,0,0,5,0,274,0,0,0,390,548,0,1851,4,4,0,0,0,0,0,0,"74"
"740301",1773,5591,1008,845,1178,44,155,8.42413987591653,25,25,1803,5591,5591,5429,5541,5591,5591,5591,5591,5591,5591,5591,566,1778,40,0,5290,5275,3430,5591,5580,5591,5591,5591,3430,218,544,5591,5591,0,0,0,0,0,86,4,0,0,0,11,5,6,5,0,78,0,0,0,12,39,0,1674,717,654,17,0,0,0,479,1,"74"
"740302",2825,10134,1892,1483,1825,78,193,8.64106194690265,110,85,4645,10134,10134,9886,10114,10134,10134,10134,10134,10134,10134,10134,1788,4204,163,31,9795,9716,5844,10134,10134,10134,10134,10134,5860,377,636,10134,10134,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,332,0,0,0,0,0,0,1051,0,0,0,0,0,0,0,0,"74"
"740303",2852,8917,1879,1491,1637,62,55,8.67251051893408,19,17,3040,8917,8917,8571,8891,8917,8917,8917,8917,8917,8917,8917,1070,2829,10,0,8612,8580,4682,8917,8917,8917,8917,8917,4718,300,224,8917,8917,0,0,0,14,22,0,7,0,0,0,30,3,100,8,0,327,0,0,0,6,765,0,1334,10,1,0,0,0,0,6,0,"74"
"740304",2603,7355,1464,1158,1489,41,56,8.85439877064925,27,22,2378,7355,7355,7045,7346,7355,7355,7355,7355,7355,7355,7355,793,2221,6,10,6945,6898,3986,7355,7337,7355,7355,7355,3999,151,208,7355,7355,0,1,0,754,2,0,0,0,0,0,3,0,1131,0,0,118,0,0,0,0,398,0,445,32,33,0,0,0,0,414,0,"74"
"740305",1592,4920,944,782,1086,33,38,8.28894472361809,6,0,1825,4920,4920,4761,4875,4920,4920,4920,4920,4920,4920,4920,585,1647,12,0,4653,4618,2970,4920,4920,4920,4920,4920,2985,135,141,4920,4920,0,0,0,1098,0,25,0,0,0,0,9,3,1331,0,0,204,0,0,0,5,5,0,165,39,31,0,0,0,0,431,0,"74"
"740306",1303,3541,768,651,925,13,10,7.97313891020721,0,0,570,3541,3541,3468,3518,3541,3541,3541,3541,3541,3541,3541,141,579,4,0,3275,3262,2204,3541,3501,3541,3541,3541,2206,59,40,3541,3541,0,0,0,762,9,102,5,0,0,0,35,3,890,6,0,125,0,0,0,18,10,0,1065,97,76,41,0,0,0,390,26,"74"
"740307",943,2768,581,493,646,25,22,8.53022269353128,8,2,926,2768,2768,2674,2755,2768,2768,2768,2768,2768,2768,2768,242,882,28,14,2605,2578,1608,2768,2765,2768,2768,2768,1613,123,94,2768,2768,0,0,0,0,6,6,7,0,0,0,6,2,8,8,0,158,0,0,0,24,48,0,29,102,168,5,0,0,0,0,0,"74"
"740308",840,3323,544,438,654,9,9,7.91428571428571,0,0,1459,3323,3323,3252,3165,3323,3323,3323,3323,3323,3323,3323,612,1279,316,0,3209,3191,2090,3323,3323,3323,3323,3323,2100,38,56,3323,3323,0,0,0,2,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,32,382,0,519,941,1135,0,0,0,0,0,0,"74"
"740309",880,2390,400,347,516,13,59,7.70454545454545,0,0,549,2390,2390,2317,2380,2390,2390,2390,2390,2390,2390,2390,135,560,0,5,2245,2229,1320,2390,2390,2390,2390,2390,1320,52,170,2390,2390,0,0,0,0,0,0,306,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,136,141,189,72,0,0,0,9,0,"74"
"740310",1365,3374,669,550,652,21,52,8.35457875457876,4,0,634,3374,3374,3232,3040,3374,3374,3374,3374,3374,3374,3374,222,603,24,0,3172,3163,1574,3374,3352,3374,3374,3374,1584,76,171,3374,3374,0,0,0,0,0,1,0,0,0,0,0,38,0,0,0,16,0,0,0,19,40,0,18,541,571,2,0,0,0,0,0,"74"
"740311",1105,3485,619,544,780,19,21,8.64886877828054,0,0,1157,3485,3485,3409,3477,3485,3485,3485,3485,3485,3485,3485,386,1005,10,16,3306,3288,2061,3485,3483,3485,3485,3485,2066,74,71,3485,3485,0,0,0,8,37,151,14,0,0,0,204,11,0,6,0,0,0,0,0,51,71,0,0,174,245,0,0,0,0,21,110,"74"
"740351",825,2335,382,327,507,22,15,8.06424242424242,0,0,709,2335,2335,2300,2333,2335,2335,2335,2335,2335,2335,2335,227,632,0,0,2189,2156,1258,2335,2335,2335,2335,2335,1272,66,49,2335,2335,0,0,0,0,0,0,66,0,0,0,0,0,2,0,0,4,0,0,0,0,2,0,273,130,225,0,0,0,0,0,0,"74"
"740352",632,1445,168,135,371,13,0,8.39082278481013,0,0,257,1445,1445,1384,1442,1445,1445,1445,1445,1445,1445,1445,85,270,11,0,1286,1278,745,1445,1416,1445,1445,1445,748,47,0,1445,1445,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,4,24,0,236,50,84,39,0,0,0,158,11,"74"
