"village_ID","household.CNT","HOUSEMEMBER_CNT","MOF_REG_CNT","MOF_VAL_CNT","ELDERLY_CNT","DISABLED_CNT","CHRONICPATIENT_CNT","happiness","indicator1.ALL","indicator2.ALL","indicator3.ALL","indicator4.ALL","indicator5.ALL","indicator6.ALL","indicator7.ALL","indicator8.ALL","indicator9.ALL","indicator10.ALL","indicator11.ALL","indicator12.ALL","indicator13.ALL","indicator14.ALL","indicator15.ALL","indicator16.ALL","indicator17.ALL","indicator18.ALL","indicator19.ALL","indicator20.ALL","indicator21.ALL","indicator22.ALL","indicator23.ALL","indicator24.ALL","indicator25.ALL","indicator26.ALL","indicator27.ALL","indicator28.ALL","indicator29.ALL","indicator30.ALL","indicator31.ALL","indicator1.CNT","indicator2.CNT","indicator3.CNT","indicator4.CNT","indicator5.CNT","indicator6.CNT","indicator7.CNT","indicator8.CNT","indicator9.CNT","indicator10.CNT","indicator11.CNT","indicator12.CNT","indicator13.CNT","indicator14.CNT","indicator15.CNT","indicator16.CNT","indicator17.CNT","indicator18.CNT","indicator19.CNT","indicator20.CNT","indicator21.CNT","indicator22.CNT","indicator23.CNT","indicator24.CNT","indicator25.CNT","indicator26.CNT","indicator27.CNT","indicator28.CNT","indicator29.CNT","indicator30.CNT","indicator31.CNT","province_ID"
"9301030101",153,388,36,28,59,3,4,5,6,6,145,388,388,362,388,388,388,388,388,388,388,388,46,134,0,0,367,365,132,388,388,388,388,388,132,11,10,388,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,17,5,0,0,0,0,0,0,"93"
"9301030201",219,549,76,57,87,7,4,5.54337899543379,14,9,207,549,549,521,549,549,549,549,549,549,549,549,68,180,0,0,515,511,205,549,548,548,548,548,205,22,8,548,549,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,93,75,8,1,0,0,0,1,"93"
"9301030301",71,210,66,50,57,5,12,5.59154929577465,0,0,65,210,210,206,210,210,210,210,210,210,210,210,20,75,0,0,200,197,121,210,210,210,210,210,127,19,28,210,210,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"93"
"9301030401",73,223,65,56,46,3,0,8.10958904109589,0,0,83,223,223,215,215,223,223,223,223,223,223,223,38,68,0,0,208,206,107,223,223,223,223,223,107,12,0,223,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,9,24,47,0,0,0,0,0,0,"93"
"9301030501",108,268,76,57,77,1,2,7.47222222222222,0,0,73,268,268,267,268,268,268,268,268,268,268,268,12,57,0,2,234,229,149,268,268,268,268,268,149,1,10,268,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,11,0,5,8,8,0,0,0,0,0,0,"93"
"9301030601",80,183,44,35,62,6,5,8.0125,0,0,50,183,183,178,183,183,183,183,183,183,183,183,15,44,3,0,150,145,98,183,183,183,183,183,99,9,6,183,183,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,15,0,0,0,0,4,0,0,11,8,0,0,0,0,0,9,"93"
"9301030701",55,157,53,48,56,4,7,6.03636363636364,0,0,48,157,157,156,157,157,157,157,157,157,157,157,11,44,0,0,133,131,97,157,147,147,147,147,97,13,20,147,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,6,0,7,0,4,0,0,"93"
"9301030801",167,454,113,94,122,3,0,8.01197604790419,9,0,141,454,454,441,438,454,454,454,454,454,454,454,57,87,0,0,393,393,246,454,454,454,454,454,251,13,0,454,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,56,51,68,0,0,0,0,0,0,"93"
"9301030901",110,335,59,49,98,5,1,8.06363636363636,5,5,124,335,335,332,326,335,335,335,335,335,335,335,56,116,0,0,308,305,213,335,335,335,335,335,214,14,1,335,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,19,26,20,0,0,0,0,0,0,"93"
"9301031001",286,522,95,72,119,0,0,6.0034965034965,0,0,59,522,522,486,522,522,522,522,522,522,522,522,37,47,0,0,470,462,203,522,522,522,522,522,203,0,0,522,521,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"93"
