"tumbol_ID","poor.household.CNT","poor.JPT.CNT","poor.JPT.MOFreg.CNT","poor.JPT.MOFval.CNT","poor.JPT.MOFval.health","poor.JPT.MOFval.living","poor.JPT.MOFval.education","poor.JPT.MOFval.income","poor.JPT.MOFval.accessibility","JPT.MOFval.pov.rate","poor.JPT.MOFval.ind1.CNT","poor.JPT.MOFval.ind2.CNT","poor.JPT.MOFval.ind3.CNT","poor.JPT.MOFval.ind4.CNT","poor.JPT.MOFval.ind5.CNT","poor.JPT.MOFval.ind6.CNT","poor.JPT.MOFval.ind7.CNT","poor.JPT.MOFval.ind8.CNT","poor.JPT.MOFval.ind9.CNT","poor.JPT.MOFval.ind10.CNT","poor.JPT.MOFval.ind11.CNT","poor.JPT.MOFval.ind12.CNT","poor.JPT.MOFval.ind13.CNT","poor.JPT.MOFval.ind14.CNT","poor.JPT.MOFval.ind15.CNT","poor.JPT.MOFval.ind16.CNT","poor.JPT.MOFval.ind17.CNT","poor.JPT.MOFval.ind18.CNT","poor.JPT.MOFval.ind19.CNT","poor.JPT.MOFval.ind20.CNT","poor.JPT.MOFval.ind21.CNT","poor.JPT.MOFval.ind22.CNT","poor.JPT.MOFval.ind23.CNT","poor.JPT.MOFval.ind24.CNT","poor.JPT.MOFval.ind25.CNT","poor.JPT.MOFval.ind26.CNT","poor.JPT.MOFval.ind27.CNT","poor.JPT.MOFval.ind28.CNT","poor.JPT.MOFval.ind29.CNT","poor.JPT.MOFval.ind30.CNT","poor.JPT.MOFval.ind31.CNT","province_ID"
"400102",2,7,3,3,3,0,0,0,0,0.0392927308447937,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,"40"
"400103",74,278,78,51,51,0,0,0,0,0.785219399538106,0,0,0,50,1,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,3,33,27,0,0,0,0,0,0,"40"
"400104",75,204,33,27,27,0,0,0,0,0.204143353999698,0,0,0,9,14,1,5,0,0,0,4,2,2,0,0,0,0,0,0,6,2,0,0,11,12,1,1,0,0,0,2,"40"
"400105",244,891,300,215,215,0,0,0,0,1.64738334227262,2,5,0,113,147,8,25,0,0,0,70,0,4,0,0,0,0,0,17,25,6,7,17,141,122,3,0,0,3,0,10,"40"
"400106",127,428,112,91,91,0,0,0,0,0.778976202705016,0,0,0,36,60,32,11,0,0,0,32,4,33,3,0,3,0,0,4,15,30,0,44,34,31,7,0,0,0,5,2,"40"
"400107",26,78,14,11,11,0,0,0,0,0.08469356328919,0,0,0,1,8,3,2,0,0,0,1,1,2,0,0,0,0,0,2,1,1,0,2,4,2,2,0,0,0,1,0,"40"
"400108",3,22,5,5,5,0,0,0,0,0.0378501135503407,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,"40"
"400109",4,10,5,4,4,0,0,0,0,0.046778154601801,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,3,0,0,0,0,0,0,"40"
"400110",4,10,4,3,3,0,0,0,0,0.0299192181111,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"40"
"400111",48,129,20,18,18,0,0,0,0,0.332042058660764,0,0,0,18,2,4,0,0,0,0,2,2,0,0,0,4,0,0,0,2,4,0,0,8,5,0,0,0,0,0,0,"40"
"400112",9,36,5,3,3,0,0,0,0,0.0893921334922527,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,3,1,0,0,0,0,0,"40"
"400113",40,112,34,24,24,0,0,0,0,0.310679611650485,0,0,0,7,8,4,10,0,0,0,6,0,1,0,0,0,0,0,0,3,6,0,3,9,5,5,0,0,0,0,0,"40"
"400115",95,289,65,52,52,0,0,0,0,0.472598382259384,0,0,0,17,44,1,7,1,0,0,4,3,0,0,0,0,0,0,0,1,2,0,23,29,24,16,0,0,0,6,10,"40"
"400116",8,32,11,10,10,0,0,0,0,0.180603214737222,0,0,0,5,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,"40"
"400117",38,149,51,39,39,0,0,0,0,0.682295311406578,3,2,0,24,14,7,2,2,0,0,13,7,8,0,0,0,0,0,1,1,1,0,5,22,22,1,0,0,0,0,1,"40"
"400118",53,162,62,56,56,0,0,0,0,0.806219406852865,0,0,0,45,19,8,0,0,3,0,40,44,13,1,0,2,0,0,2,0,0,2,3,44,20,0,0,0,0,2,14,"40"
"400165",106,247,52,45,45,0,0,0,0,0.164383561643836,0,0,0,5,8,1,32,0,0,0,0,0,0,0,0,0,0,0,2,3,7,0,0,22,18,0,0,0,0,0,0,"40"
"400190",44,116,30,23,23,0,0,0,0,1.15115115115115,0,0,0,1,6,5,19,3,2,0,3,0,2,0,0,0,0,0,1,8,11,0,6,9,7,7,0,0,0,2,4,"40"
"400191",5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40"
"400192",3,10,6,6,6,0,0,0,0,0.138985406532314,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"40"
"400193",26,59,13,12,12,0,0,0,0,0.549199084668192,0,0,0,2,0,1,10,0,0,0,1,0,0,0,0,0,0,0,3,4,8,1,3,6,5,0,0,0,0,0,1,"40"
"400194",36,59,19,13,13,0,0,0,0,0.282793125951708,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,1,0,0,0,0,0,"40"
"400195",9,24,4,4,4,0,0,0,0,0.167644593461861,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,"40"
"400196",17,60,7,6,6,0,0,0,0,0.143609382479655,0,0,0,0,2,2,4,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,1,3,3,1,0,0,0,1,2,"40"
"400197",52,171,32,26,26,0,0,0,0,0.530612244897959,0,0,0,11,8,13,11,0,4,0,9,3,3,0,0,1,0,0,0,5,9,1,2,9,10,3,0,0,0,7,4,"40"
"400198",13,13,4,4,4,0,0,0,0,13.3333333333333,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"40"
"400199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40"
"400201",148,565,194,150,150,0,0,0,0,2.60960334029228,0,0,0,120,77,0,15,0,0,0,39,8,13,0,0,0,0,0,1,6,15,0,0,112,106,14,0,0,0,0,0,"40"
"400202",56,201,93,73,73,0,0,0,0,1.22175732217573,0,0,0,73,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,50,50,62,0,0,0,0,0,"40"
"400203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40"
"400204",8,33,15,9,9,0,0,0,0,0.101374183374634,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,"40"
"400205",37,152,72,68,68,0,0,0,0,1.49647887323944,0,0,0,58,5,0,5,0,0,0,13,0,4,0,0,0,0,0,0,0,0,0,0,39,8,0,0,0,0,0,0,"40"
"400206",77,302,106,79,79,0,0,0,0,1.05445808862787,0,0,0,44,56,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,53,39,0,0,0,0,0,0,"40"
"400207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40"
"400301",53,85,56,49,49,0,0,0,0,0.656308598982052,0,0,0,0,2,0,47,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,"40"
"400302",73,152,59,45,45,0,0,0,0,1.73611111111111,0,0,0,24,15,1,20,0,0,0,24,0,0,0,0,2,0,0,0,0,6,2,0,7,9,2,0,0,0,0,0,"40"
"400303",10,18,8,6,6,0,0,0,0,0.159786950732357,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,0,0,0,0,0,0,"40"
"400304",87,197,92,62,62,0,0,0,0,1.82245737801293,0,0,0,24,35,0,20,0,0,0,1,0,0,0,0,0,0,0,0,3,6,0,0,23,26,0,0,0,0,0,0,"40"
"400305",13,24,10,8,8,0,0,0,0,0.209533787323206,0,0,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,"40"
"400401",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40"
"400402",4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40"
"400403",1,7,4,3,3,0,0,0,0,0.0620219144097581,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,"40"
"400404",179,516,255,190,190,0,0,0,0,3.53356890459364,0,0,0,11,86,3,96,0,0,0,92,0,3,0,0,12,0,0,3,2,5,3,4,78,83,0,0,0,0,0,59,"40"
"400405",152,524,201,147,147,0,0,0,0,2.72727272727273,0,0,0,108,136,0,1,0,0,0,1,0,0,0,0,5,0,0,0,2,43,1,4,40,83,0,0,0,0,0,0,"40"
"400406",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40"
"400407",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40"
"400408",5,18,6,6,6,0,0,0,0,0.103680663556247,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,3,4,0,0,0,0,0,0,"40"
"400409",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40"
"400410",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40"
"400452",7,13,2,2,2,0,0,0,0,0.202839756592292,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40"
"400501",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40"
"400502",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40"
"400503",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40"
"400504",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40"
"400505",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40"
"400506",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40"
"400507",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40"
"400508",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40"
"400509",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40"
"400510",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40"
"400511",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40"
"400512",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40"
"400551",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40"
"400601",24,121,32,22,22,0,0,0,0,0.329390627339422,0,0,0,1,8,0,14,0,0,0,0,0,0,0,0,1,0,0,1,3,2,2,10,10,11,0,0,0,0,0,0,"40"
"400602",65,251,63,42,42,0,0,0,0,0.4775983625199,3,0,0,7,23,5,15,0,0,0,3,0,1,0,0,0,0,0,0,2,4,1,0,27,22,0,0,0,0,0,0,"40"
"400603",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"40"
