"amphur_ID","poor.household.CNT","poor.JPT.CNT","poor.JPT.MOFreg.CNT","poor.JPT.MOFval.CNT","poor.JPT.MOFval.health","poor.JPT.MOFval.living","poor.JPT.MOFval.education","poor.JPT.MOFval.income","poor.JPT.MOFval.accessibility","JPT.MOFval.pov.rate","poor.JPT.MOFval.ind1.CNT","poor.JPT.MOFval.ind2.CNT","poor.JPT.MOFval.ind3.CNT","poor.JPT.MOFval.ind4.CNT","poor.JPT.MOFval.ind5.CNT","poor.JPT.MOFval.ind6.CNT","poor.JPT.MOFval.ind7.CNT","poor.JPT.MOFval.ind8.CNT","poor.JPT.MOFval.ind9.CNT","poor.JPT.MOFval.ind10.CNT","poor.JPT.MOFval.ind11.CNT","poor.JPT.MOFval.ind12.CNT","poor.JPT.MOFval.ind13.CNT","poor.JPT.MOFval.ind14.CNT","poor.JPT.MOFval.ind15.CNT","poor.JPT.MOFval.ind16.CNT","poor.JPT.MOFval.ind17.CNT","poor.JPT.MOFval.ind18.CNT","poor.JPT.MOFval.ind19.CNT","poor.JPT.MOFval.ind20.CNT","poor.JPT.MOFval.ind21.CNT","poor.JPT.MOFval.ind22.CNT","poor.JPT.MOFval.ind23.CNT","poor.JPT.MOFval.ind24.CNT","poor.JPT.MOFval.ind25.CNT","poor.JPT.MOFval.ind26.CNT","poor.JPT.MOFval.ind27.CNT","poor.JPT.MOFval.ind28.CNT","poor.JPT.MOFval.ind29.CNT","poor.JPT.MOFval.ind30.CNT","poor.JPT.MOFval.ind31.CNT","province_ID"
4201,3587,11103,3233,2601,0,1337,1341,0,0,2.9701613547864,0,0,0,25,105,66,21,852,13,14,493,23,74,0,7,1113,8,0,225,77,95,2,203,474,522,27,12,71,39,14,87,"42"
4202,439,2070,602,496,0,23,473,0,0,2.3858771465679,0,0,0,0,3,0,13,0,0,0,23,4,1,0,0,410,6,0,64,18,15,3,146,111,161,1,0,0,0,3,11,"42"
4203,1653,6307,2975,2209,0,839,1405,0,0,5.07536072052201,0,2,0,7,22,30,2,12,232,213,602,4,8,5,2,839,8,0,626,12,77,0,83,511,494,25,0,1,0,3,5,"42"
4204,774,3176,1113,892,0,188,741,0,0,3.05888001097356,0,0,0,130,36,102,4,5,3,0,184,14,14,0,5,715,5,0,18,4,14,9,210,112,94,2,2,0,2,0,7,"42"
4205,945,4311,2145,1882,0,150,1741,0,0,4.89352297251619,0,0,0,259,17,6,0,12,1,0,137,3,1,0,0,1355,0,0,425,35,46,33,64,1291,952,5,0,0,0,2,7,"42"
4206,3,9,6,5,0,3,2,0,0,0.0606134076857801,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,"42"
4207,224,1094,451,371,0,0,371,0,0,2.17544271138736,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,362,0,0,9,0,0,4,49,15,20,0,0,0,0,0,0,"42"
4208,462,972,557,472,0,411,100,0,0,2.83926852743022,0,0,0,177,130,13,59,106,36,26,404,137,160,54,1,8,6,0,85,22,39,4,140,197,203,70,0,2,0,65,91,"42"
4209,1550,7359,2562,1792,0,33,1759,0,0,2.4779446334246,0,0,162,3,0,0,0,1,0,0,32,0,2,0,52,1232,540,0,0,1,5,77,100,55,54,0,386,19,10,0,0,"42"
4210,481,2485,795,641,0,37,606,0,0,2.50380844498262,0,0,8,2,11,10,0,3,0,0,36,16,11,0,92,513,5,0,0,2,2,0,13,53,34,2,57,0,0,0,38,"42"
4211,254,1312,571,473,0,0,473,0,0,2.4903911967567,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,473,0,0,0,0,2,4,103,139,125,0,0,0,0,0,0,"42"
4212,783,3870,1160,1022,0,70,957,0,0,4.00910089439824,2,2,283,2,0,0,0,58,4,4,13,1,55,1,244,734,0,0,10,7,4,10,101,101,114,0,190,0,0,0,7,"42"
4213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"42"
4214,28,101,37,31,0,18,13,0,0,0.191216382926228,0,0,1,0,0,2,0,6,2,1,12,1,0,0,0,5,1,0,7,4,4,0,6,9,10,2,0,0,0,0,2,"42"
