"province_ID","poor.household.CNT","poor.JPT.CNT","poor.JPT.MOFreg.CNT","poor.JPT.MOFval.CNT","poor.JPT.MOFval.health","poor.JPT.MOFval.living","poor.JPT.MOFval.education","poor.JPT.MOFval.income","poor.JPT.MOFval.accessibility","JPT.MOFval.pov.rate","poor.JPT.MOFval.ind1.CNT","poor.JPT.MOFval.ind2.CNT","poor.JPT.MOFval.ind3.CNT","poor.JPT.MOFval.ind4.CNT","poor.JPT.MOFval.ind5.CNT","poor.JPT.MOFval.ind6.CNT","poor.JPT.MOFval.ind7.CNT","poor.JPT.MOFval.ind8.CNT","poor.JPT.MOFval.ind9.CNT","poor.JPT.MOFval.ind10.CNT","poor.JPT.MOFval.ind11.CNT","poor.JPT.MOFval.ind12.CNT","poor.JPT.MOFval.ind13.CNT","poor.JPT.MOFval.ind14.CNT","poor.JPT.MOFval.ind15.CNT","poor.JPT.MOFval.ind16.CNT","poor.JPT.MOFval.ind17.CNT","poor.JPT.MOFval.ind18.CNT","poor.JPT.MOFval.ind19.CNT","poor.JPT.MOFval.ind20.CNT","poor.JPT.MOFval.ind21.CNT","poor.JPT.MOFval.ind22.CNT","poor.JPT.MOFval.ind23.CNT","poor.JPT.MOFval.ind24.CNT","poor.JPT.MOFval.ind25.CNT","poor.JPT.MOFval.ind26.CNT","poor.JPT.MOFval.ind27.CNT","poor.JPT.MOFval.ind28.CNT","poor.JPT.MOFval.ind29.CNT","poor.JPT.MOFval.ind30.CNT","poor.JPT.MOFval.ind31.CNT"
11,14718,23718,2920,2403,2385,0,0,0,27,0.442411890440921,0,0,0,1003,526,285,1130,166,20,2,986,344,445,99,6,42,1,0,18,82,295,90,1149,338,328,54,17,10,1,97,282
12,2604,7130,1088,882,874,0,0,0,8,0.283289758529206,0,0,0,137,201,60,711,2,0,2,85,20,23,3,0,34,0,0,3,44,215,12,425,94,129,47,8,3,0,47,17
13,4270,9623,1598,1291,1283,0,0,0,9,0.29912302042424,0,0,0,604,672,123,377,119,15,19,479,40,215,74,0,27,0,0,10,70,242,39,836,177,181,29,8,1,0,27,103
14,1682,4056,904,732,708,0,0,0,30,0.147403820014297,1,0,3,47,160,41,526,6,0,1,96,83,23,0,0,32,0,0,16,65,153,3,302,161,142,28,26,4,0,15,11
15,1501,3679,999,809,805,0,0,0,4,0.40694779096264,0,0,0,211,64,119,581,27,0,0,164,7,71,5,0,5,0,0,15,45,96,61,260,221,228,47,0,4,0,1,5
16,5920,16107,4806,4102,4009,0,0,0,100,0.891055342313399,4,6,2,1440,1336,1846,1867,67,9,5,1036,121,426,8,3,128,11,1,117,207,610,11,1310,1298,1325,392,89,22,13,123,175
17,659,1574,496,388,387,0,0,0,1,0.275754237589283,0,0,0,142,30,85,227,0,0,0,47,2,2,0,0,5,0,0,8,16,52,0,89,70,104,38,0,1,0,1,1
18,263,766,197,149,133,0,0,0,16,0.0620151167049579,1,1,1,5,6,11,124,2,0,0,3,2,1,0,1,3,0,0,3,1,39,4,68,53,48,2,9,7,0,2,0
19,2693,6871,1510,1217,1193,0,0,0,36,0.307798143094522,0,1,0,271,356,172,770,20,9,5,328,110,164,9,1,24,0,0,42,125,257,18,410,325,283,100,24,12,0,33,73
20,4014,8542,1305,1106,1083,0,0,0,25,0.189943308963572,3,2,0,123,285,72,718,21,13,5,118,41,65,10,0,40,1,0,17,47,233,4,440,215,223,30,25,0,0,68,16
21,5307,10630,1066,906,897,0,0,0,9,0.256718312572964,0,0,0,136,135,119,673,5,0,5,92,18,63,0,0,29,0,0,9,41,148,2,177,235,193,426,4,5,0,72,102
22,3430,9094,1462,1248,1225,0,0,0,26,0.450343170156104,1,1,0,241,512,240,626,46,29,17,324,58,148,6,4,69,0,0,51,110,215,56,516,356,370,106,24,2,4,66,56
23,1486,2351,417,379,345,0,0,0,34,0.307485112528193,0,0,0,19,14,20,313,2,0,0,15,3,5,0,0,5,0,0,4,21,80,5,138,31,45,7,20,17,1,9,38
24,3895,12417,1768,1463,1434,0,0,0,35,0.33742020000738,0,5,1,908,384,605,297,27,21,11,366,175,174,2,4,29,1,0,18,97,394,64,382,587,530,60,28,10,5,35,46
25,1718,5045,1251,999,951,0,0,0,51,0.302920958552286,3,0,3,451,421,146,294,57,10,6,330,47,75,19,0,46,0,0,23,88,140,1,388,357,312,43,47,7,15,23,70
26,672,1873,419,332,327,0,0,0,6,0.199032414706817,0,0,0,29,176,28,134,14,3,2,146,2,14,0,0,18,0,0,6,15,36,2,198,49,86,18,6,0,0,13,6
27,1426,3726,1037,856,787,0,0,0,69,0.257790172050847,1,2,0,195,263,38,384,7,4,1,260,24,113,8,0,10,0,0,16,37,83,1,187,234,207,31,25,47,0,8,24
30,16116,40795,11805,9472,9346,0,0,0,148,0.552382762998519,31,13,5,2366,3120,1845,4444,59,14,9,1569,354,733,31,3,432,12,1,201,540,1352,53,1863,2745,3021,454,83,66,5,173,374
31,5788,19470,6211,5175,5016,0,0,0,178,0.49110553312234,16,10,0,1334,2991,727,1104,92,51,30,1353,236,477,21,4,383,16,0,181,384,505,37,670,1687,1948,354,99,83,9,59,330
32,2090,6746,2646,2147,2086,0,0,0,67,0.243237333701909,6,5,0,717,1145,312,500,58,33,30,864,95,358,3,3,74,0,0,92,216,255,71,384,889,823,78,52,19,9,19,196
33,6719,22646,9454,7624,7540,0,0,0,102,0.793749121555848,6,6,3,3937,2815,704,1441,80,74,64,2482,230,630,37,5,444,12,0,274,456,411,139,1517,3363,3437,188,56,46,0,34,295
34,5130,14149,5697,4445,4375,0,0,0,81,0.382225195562576,9,6,2,2301,1032,133,1261,16,16,23,424,86,112,11,1,303,8,0,36,129,160,1,485,1611,1657,79,23,60,0,4,110
35,1145,3663,1123,881,855,0,0,0,27,0.22258660286356,1,0,0,578,166,42,157,2,0,1,112,4,76,5,0,45,0,0,7,31,98,7,77,228,203,12,16,11,1,13,26
36,5714,18617,6730,5317,5244,0,0,0,78,0.666476972888414,5,2,1,3412,1807,397,647,50,91,8,1449,247,189,4,2,178,3,0,110,84,336,29,774,2100,2213,180,47,32,1,18,219
37,436,1221,450,372,366,0,0,0,6,0.150514663041367,3,0,0,100,201,45,103,1,0,0,142,0,48,0,0,5,0,0,10,12,16,5,60,184,166,0,0,6,0,0,11
38,2713,8683,2767,2402,2365,0,0,0,39,0.825018461591303,0,10,0,1788,473,772,249,11,3,1,143,22,339,3,0,218,1,0,38,67,481,16,449,774,1013,48,20,19,0,7,53
39,214,732,230,203,120,0,0,0,83,0.0594878767809733,8,8,27,12,50,0,57,0,0,0,23,10,11,0,7,0,0,0,0,5,7,2,20,41,46,1,74,17,0,0,7
40,5304,17310,5758,4396,4241,0,0,0,158,0.385366251348913,13,12,4,2208,1918,736,737,116,53,13,993,205,430,113,8,175,2,0,52,174,334,42,369,2195,2029,166,125,33,6,40,390
41,5028,15969,5826,4660,4589,0,0,0,74,0.45718411864026,14,11,1,2271,1933,1485,1046,49,13,13,1000,196,1088,6,0,186,2,0,92,231,426,96,540,2150,2176,119,52,22,3,39,119
42,4816,15550,7068,5612,2937,0,0,0,2686,1.26101307975256,72,50,443,1948,806,110,422,190,41,32,529,128,212,55,222,351,354,0,164,70,234,71,452,1521,1337,98,2337,349,43,80,145
43,1591,5261,1635,1319,1293,0,0,0,30,0.428056351557911,3,1,0,702,678,83,135,17,7,9,418,17,90,10,0,8,7,0,37,92,140,16,203,636,690,77,18,12,2,7,102
44,2468,8790,2976,2311,2274,0,0,0,39,0.321564884168461,8,6,0,1764,354,79,310,27,7,4,591,80,38,1,0,39,0,0,10,34,78,37,88,971,1025,5,24,15,3,0,33
45,1985,5675,2152,1623,1578,0,0,0,46,0.178442242105333,6,6,4,997,347,135,365,9,7,3,323,277,54,9,0,71,1,0,25,49,91,16,93,538,472,164,31,15,0,50,39
46,1455,4842,2055,1621,1376,0,0,0,245,0.228522610486664,3,0,0,671,446,64,327,17,24,27,161,17,62,7,0,56,7,0,29,46,100,14,443,684,686,28,223,41,23,7,30
47,4842,15384,6675,5821,5782,0,0,0,40,0.782739656030228,9,4,7,4497,1156,1750,505,24,16,8,866,90,163,5,0,138,2,0,28,126,113,33,1001,2370,2670,71,21,22,1,3,127
48,2494,8386,3666,2645,2634,0,0,0,11,0.523527048237723,2,0,0,2390,215,243,60,20,4,2,640,0,55,2,0,77,1,0,8,16,40,34,76,1524,1286,22,2,11,0,2,23
49,768,2423,1121,889,888,0,0,0,1,0.365257405809606,0,0,0,843,0,0,45,0,0,0,2,1,0,0,0,2,0,0,0,2,1,3,13,108,104,0,1,0,0,0,0
50,19852,55462,20848,18218,18073,0,0,0,188,1.8668948449805,25,12,11,11500,8216,1507,3146,391,631,1455,8610,651,4129,60,21,700,6,4,3885,1208,2083,36,4438,7223,4865,565,141,51,10,90,480
51,2567,7518,2682,2372,2348,0,0,0,25,0.759611227643188,0,3,0,1643,1065,404,262,27,29,18,1318,28,382,1,0,12,0,0,738,51,79,10,90,1264,1320,6,17,11,0,9,21
52,4240,10762,4594,3623,3606,0,0,0,17,0.699096943501081,0,0,0,1737,840,629,1261,21,8,13,580,43,192,4,2,52,0,0,122,288,781,40,854,1823,1331,192,6,11,0,27,85
53,2109,4437,2049,1499,1461,0,0,0,40,0.503408671122007,11,2,0,192,366,201,923,17,2,2,183,6,21,0,0,32,0,0,41,72,376,12,132,522,481,39,17,23,0,4,8
54,1429,3627,1694,1336,1296,0,0,0,44,0.430333347291251,0,0,2,476,606,39,326,19,6,16,82,6,36,4,0,8,0,0,24,98,242,25,116,614,381,39,29,15,6,21,2
55,10730,33310,17955,15010,14930,0,0,0,94,4.4230706895688,9,0,5,11254,2466,1998,2258,254,503,232,2210,486,1032,18,4,273,6,0,841,742,2870,285,3131,7997,4423,980,60,34,0,13,155
56,1654,4441,2117,1702,1662,0,0,0,43,0.550880372863801,2,2,0,1089,474,93,297,0,0,0,179,4,105,3,0,1,0,0,60,46,222,43,260,711,478,51,18,30,0,2,4
57,9600,26737,11435,9278,9118,0,0,0,205,1.1942288805681,5,3,13,3607,3622,1426,2756,335,232,221,1985,441,1019,139,25,511,7,0,1163,831,1610,96,3020,3949,2808,396,149,72,2,76,670
58,4038,10461,4600,4258,4213,0,0,0,50,2.56271365978141,1,1,0,786,2427,330,1429,278,111,166,2140,161,1332,25,4,259,5,0,1120,272,345,141,1743,1396,1561,62,20,30,0,2,53
60,4901,13606,4326,3545,3417,0,0,0,152,0.513740567534784,4,1,0,950,1442,480,1528,84,15,9,1003,233,306,13,5,127,5,0,149,279,629,181,1168,1084,1137,471,63,94,2,176,214
61,1652,3981,1292,1088,1070,0,0,0,19,0.517543192023746,0,3,3,173,408,114,580,26,10,7,204,5,115,4,0,30,1,0,51,88,153,65,313,311,336,64,13,7,3,51,66
62,5004,14421,4939,4319,4234,0,0,0,87,0.95962210574729,1,0,4,1372,2670,1136,769,16,110,181,1096,263,643,7,2,114,5,0,135,151,387,27,593,1904,1880,247,72,15,3,32,55
63,7333,22084,7207,6455,6407,0,0,0,72,1.93920713315789,7,6,3,3035,3810,2793,1013,1061,808,157,3701,186,1644,53,4,664,13,0,2084,443,674,139,2070,2977,3090,292,51,23,10,70,388
64,8271,22701,8071,6413,6376,0,0,0,58,1.69799830544376,20,1,0,4162,2476,1901,799,53,21,35,1783,331,442,9,10,208,8,0,183,260,770,109,744,2598,2539,629,37,21,3,76,303
